Tijd (s);Kracht (N);Verplaatsing (mm)
0;-30;-0,423
0;-30;-0,423
0,013;-30,5;-0,424
0,025;-30,5;-0,425
0,037;-30,5;-0,425
0,049;-31;-0,426
0,061;-31;-0,426
0,075;-31,5;-0,427
0,092;-32;-0,428
0,105;-32;-0,429
0,124;-32,5;-0,43
0,138;-32,5;-0,43
0,15;-32,5;-0,431
0,167;-33;-0,432
0,184;-33;-0,433
0,199;-34;-0,434
0,213;-34;-0,434
0,225;-34,5;-0,435
0,241;-34,5;-0,436
0,254;-35;-0,436
0,271;-35,5;-0,437
0,291;-35,5;-0,438
0,308;-36,5;-0,439
0,323;-37;-0,44
0,34;-37;-0,441
0,357;-37,5;-0,442
0,374;-37,5;-0,442
0,394;-39;-0,444
0,411;-39;-0,444
0,426;-39;-0,445
0,441;-39;-0,446
0,462;-39,5;-0,447
0,478;-40;-0,448
0,496;-40;-0,448
0,512;-40,5;-0,449
0,525;-41;-0,45
0,546;-41;-0,451
0,559;-41,5;-0,451
0,576;-42;-0,452
0,589;-42;-0,453
0,603;-43;-0,454
0,623;-43,5;-0,455
0,645;-43,5;-0,456
0,664;-44;-0,457
0,682;-44,5;-0,458
0,698;-44,5;-0,458
0,711;-45,5;-0,459
0,733;-46,5;-0,46
0,745;-46,5;-0,461
0,766;-47;-0,462
0,783;-47;-0,463
0,797;-47;-0,463
0,811;-48,5;-0,464
0,824;-48,5;-0,465
0,839;-49;-0,466
0,859;-49,5;-0,467
0,876;-49,5;-0,467
0,889;-50;-0,468
0,901;-50;-0,469
0,917;-51,5;-0,469
0,93;-51,5;-0,47
0,943;-52;-0,471
0,959;-52,5;-0,472
0,978;-53,5;-0,473
1,003;-53,5;-0,474
1,021;-54,5;-0,475
1,039;-55,5;-0,475
1,053;-55,5;-0,476
1,066;-56;-0,477
1,08;-56;-0,478
1,095;-56,5;-0,478
1,116;-58;-0,479
1,134;-58;-0,48
1,148;-58,5;-0,481
1,161;-58,5;-0,482
1,176;-59;-0,482
1,19;-60;-0,483
1,208;-60;-0,484
1,222;-61;-0,485
1,243;-62;-0,486
1,259;-62;-0,486
1,275;-62,5;-0,488
1,296;-63,5;-0,489
1,316;-63,5;-0,49
1,332;-65;-0,49
1,349;-65,5;-0,491
1,362;-65,5;-0,492
1,376;-66,5;-0,493
1,4;-67;-0,494
1,414;-67;-0,495
1,438;-68,5;-0,496
1,456;-69,5;-0,496
1,475;-70;-0,497
1,488;-70;-0,498
1,501;-70,5;-0,498
1,513;-70,5;-0,499
1,525;-72;-0,5
1,537;-72;-0,5
1,549;-72;-0,501
1,561;-73;-0,501
1,573;-73;-0,502
1,585;-73,5;-0,502
1,597;-73,5;-0,503
1,611;-74,5;-0,504
1,623;-76;-0,505
1,644;-76;-0,506
1,661;-76,5;-0,506
1,678;-77,5;-0,507
1,693;-77,5;-0,508
1,705;-78;-0,509
1,72;-78;-0,509
1,733;-80;-0,51
1,751;-80;-0,511
1,764;-80,5;-0,511
1,778;-81,5;-0,512
1,797;-81,5;-0,513
1,81;-82;-0,514
1,825;-82;-0,515
1,845;-84;-0,516
1,858;-84,5;-0,516
1,876;-84,5;-0,517
1,891;-85,5;-0,518
1,906;-85,5;-0,519
1,927;-86;-0,52
1,942;-88;-0,521
1,96;-88,5;-0,522
1,98;-88,5;-0,523
2,001;-89,5;-0,524
2,019;-90;-0,525
2,041;-92;-0,525
2,057;-92;-0,526
2,071;-92,5;-0,527
