Tijd (s);Kracht (N);Verplaatsing (mm)
0;-30;-1,09
0;-30;-1,091
0,014;-30;-1,092
0,028;-30;-1,092
0,039;-30;-1,093
0,052;-30;-1,094
0,066;-30,5;-1,094
0,079;-30,5;-1,095
0,093;-31;-1,096
0,107;-31;-1,096
0,12;-31;-1,097
0,134;-31;-1,098
0,148;-31,5;-1,098
0,161;-31,5;-1,099
0,173;-31,5;-1,1
0,186;-31,5;-1,1
0,199;-32;-1,101
0,212;-32;-1,102
0,227;-32,5;-1,102
0,239;-33,5;-1,103
0,252;-33,5;-1,104
0,267;-33,5;-1,104
0,28;-33,5;-1,105
0,294;-34;-1,106
0,305;-34;-1,106
0,318;-34,5;-1,107
0,33;-34,5;-1,108
0,344;-35;-1,108
0,356;-35;-1,109
0,369;-35,5;-1,109
0,382;-35,5;-1,11
0,4;-36;-1,111
0,416;-36;-1,112
0,434;-36,5;-1,113
0,447;-37,5;-1,113
0,46;-37,5;-1,114
0,473;-38;-1,115
0,487;-38;-1,115
0,501;-38,5;-1,116
0,514;-38,5;-1,117
0,533;-39;-1,118
0,546;-39,5;-1,118
0,561;-39,5;-1,119
0,578;-40;-1,12
0,596;-40,5;-1,121
0,612;-40,5;-1,122
0,627;-40,5;-1,122
0,643;-40,5;-1,123
0,659;-41,5;-1,124
0,672;-41,5;-1,125
0,687;-42;-1,126
0,7;-42,5;-1,126
0,714;-42,5;-1,127
0,727;-43;-1,127
0,739;-43;-1,128
0,752;-43,5;-1,129
0,766;-43,5;-1,129
0,778;-44;-1,13
0,79;-44;-1,13
0,802;-45;-1,131
0,818;-45;-1,132
0,838;-45;-1,133
0,856;-46;-1,134
0,878;-46,5;-1,135
0,89;-46,5;-1,135
0,902;-46,5;-1,136
0,916;-47;-1,137
0,93;-47;-1,137
0,943;-47,5;-1,138
0,957;-48,5;-1,139
0,97;-48,5;-1,14
0,986;-49;-1,14
1,001;-49;-1,141
1,015;-49,5;-1,142
1,029;-49,5;-1,142
1,042;-50;-1,143
1,054;-50;-1,144
1,067;-51;-1,144
1,081;-51,5;-1,145
1,096;-51,5;-1,146
1,109;-52;-1,146
1,123;-52;-1,147
1,137;-52,5;-1,148
1,155;-52,5;-1,149
1,173;-53,5;-1,15
1,189;-54,5;-1,151
1,204;-54,5;-1,151
1,217;-55;-1,152
1,23;-55;-1,153
1,244;-55,5;-1,153
1,257;-55,5;-1,154
1,27;-57;-1,154
1,283;-57;-1,155
1,295;-57,5;-1,156
1,308;-57,5;-1,156
1,32;-58;-1,157
1,332;-58;-1,158
1,347;-58,5;-1,158
1,362;-58,5;-1,159
1,374;-60;-1,16
1,388;-60;-1,16
1,401;-60,5;-1,161
1,414;-61;-1,162
1,432;-61;-1,162
1,445;-61,5;-1,163
1,458;-61,5;-1,164
1,473;-63;-1,165
1,486;-63;-1,165
1,5;-63,5;-1,166
1,513;-63,5;-1,167
1,528;-64;-1,168
1,548;-65;-1,169
1,573;-66;-1,17
1,587;-66;-1,17
1,6;-66,5;-1,171
1,613;-66,5;-1,172
1,628;-67,5;-1,172
1,643;-67,5;-1,173
1,655;-68;-1,174
1,67;-68;-1,175
1,685;-70;-1,175
1,698;-70,5;-1,176
1,719;-71;-1,178
1,744;-71;-1,179
1,766;-71,5;-1,18
1,784;-73;-1,18
1,802;-74;-1,181
1,818;-74;-1,182
1,831;-74,5;-1,183
1,852;-75,5;-1,184
1,863;-75,5;-1,184
1,876;-75,5;-1,185
1,888;-76,5;-1,185
1,901;-76,5;-1,186
1,914;-77,5;-1,187
1,929;-78;-1,187
1,941;-78;-1,188
1,957;-78,5;-1,189
1,972;-78,5;-1,19
1,986;-80,5;-1,19
2,005;-81;-1,191
2,019;-81;-1,192
2,031;-81,5;-1,192
2,043;-81,5;-1,193
2,056;-81,5;-1,194
2,071;-82,5;-1,194
2,087;-84;-1,195
2,103;-84;-1,196
2,12;-84,5;-1,197
2,135;-85,5;-1,198
2,149;-85,5;-1,198
2,164;-86;-1,199
2,177;-86;-1,2
2,188;-87,5;-1,201
2,209;-88,5;-1,202
2,224;-88,5;-1,203
2,247;-89;-1,204
2,265;-89,5;-1,204
2,278;-89,5;-1,205
2,29;-91,5;-1,206
2,302;-91,5;-1,206
2,314;-92,5;-1,207
2,328;-92,5;-1,208
2,341;-93;-1,208
2,355;-93;-1,209
2,371;-94;-1,21
2,384;-94;-1,21
2,399;-95,5;-1,211
2,411;-96,5;-1,212
2,438;-96,5;-1,213
2,454;-97;-1,214
2,47;-97,5;-1,214
2,484;-97,5;-1,215
2,497;-99;-1,216
2,51;-99;-1,216
2,522;-100;-1,217
2,535;-100;-1,218
2,548;-100,5;-1,218
2,564;-100,5;-1,219
2,584;-101,5;-1,22
2,599;-103;-1,221
2,619;-103;-1,222
2,637;-104;-1,223
2,653;-104,5;-1,224
2,667;-104,5;-1,224
2,682;-105,5;-1,225
2,695;-105,5;-1,226
2,708;-107;-1,226
2,721;-107;-1,227
2,734;-108;-1,228
2,746;-108;-1,228
2,757;-108,5;-1,229
2,769;-108,5;-1,23
2,784;-109,5;-1,23
2,799;-109,5;-1,231
2,812;-111;-1,232
2,824;-111;-1,232
2,84;-112;-1,233
2,858;-112,5;-1,234
2,871;-112,5;-1,235
2,885;-113,5;-1,235
2,898;-113,5;-1,236
2,912;-115;-1,237
2,925;-115;-1,237
2,938;-116;-1,238
2,951;-116;-1,238
2,963;-116,5;-1,239
2,975;-116,5;-1,24
2,989;-117,5;-1,24
3,003;-117,5;-1,241
3,018;-118,5;-1,242
3,03;-118,5;-1,242
3,044;-119,5;-1,243
3,056;-119,5;-1,244
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-1,09
0;-30;-1,091
0,014;-30;-1,092
0,028;-30;-1,092
0,039;-30;-1,093
0,052;-30;-1,094
0,066;-30,5;-1,094
0,079;-30,5;-1,095
0,093;-31;-1,096
0,107;-31;-1,096
0,12;-31;-1,097
0,134;-31;-1,098
0,148;-31,5;-1,098
0,161;-31,5;-1,099
0,173;-31,5;-1,1
0,186;-31,5;-1,1
0,199;-32;-1,101
0,212;-32;-1,102
0,227;-32,5;-1,102
0,239;-33,5;-1,103
0,252;-33,5;-1,104
0,267;-33,5;-1,104
0,28;-33,5;-1,105
0,294;-34;-1,106
0,305;-34;-1,106
0,318;-34,5;-1,107
0,33;-34,5;-1,108
0,344;-35;-1,108
0,356;-35;-1,109
0,369;-35,5;-1,109
0,382;-35,5;-1,11
0,4;-36;-1,111
0,416;-36;-1,112
0,434;-36,5;-1,113
0,447;-37,5;-1,113
0,46;-37,5;-1,114
0,473;-38;-1,115
0,487;-38;-1,115
0,501;-38,5;-1,116
0,514;-38,5;-1,117
0,533;-39;-1,118
0,546;-39,5;-1,118
0,561;-39,5;-1,119
0,578;-40;-1,12
0,596;-40,5;-1,121
0,612;-40,5;-1,122
0,627;-40,5;-1,122
0,643;-40,5;-1,123
0,659;-41,5;-1,124
0,672;-41,5;-1,125
0,687;-42;-1,126
0,7;-42,5;-1,126
0,714;-42,5;-1,127
0,727;-43;-1,127
0,739;-43;-1,128
0,752;-43,5;-1,129
0,766;-43,5;-1,129
0,778;-44;-1,13
0,79;-44;-1,13
0,802;-45;-1,131
0,818;-45;-1,132
0,838;-45;-1,133
0,856;-46;-1,134
0,878;-46,5;-1,135
0,89;-46,5;-1,135
0,902;-46,5;-1,136
0,916;-47;-1,137
0,93;-47;-1,137
0,943;-47,5;-1,138
0,957;-48,5;-1,139
0,97;-48,5;-1,14
0,986;-49;-1,14
1,001;-49;-1,141
1,015;-49,5;-1,142
1,029;-49,5;-1,142
1,042;-50;-1,143
1,054;-50;-1,144
1,067;-51;-1,144
1,081;-51,5;-1,145
1,096;-51,5;-1,146
1,109;-52;-1,146
1,123;-52;-1,147
1,137;-52,5;-1,148
1,155;-52,5;-1,149
1,173;-53,5;-1,15
1,189;-54,5;-1,151
1,204;-54,5;-1,151
1,217;-55;-1,152
1,23;-55;-1,153
1,244;-55,5;-1,153
1,257;-55,5;-1,154
1,27;-57;-1,154
1,283;-57;-1,155
1,295;-57,5;-1,156
1,308;-57,5;-1,156
1,32;-58;-1,157
1,332;-58;-1,158
1,347;-58,5;-1,158
1,362;-58,5;-1,159
1,374;-60;-1,16
