Tijd (s);Kracht (N);Verplaatsing (mm)
0;-30;-0,363
0;-31;-0,364
0,016;-31;-0,364
0,03;-31,5;-0,365
0,042;-31,5;-0,366
0,058;-32;-0,366
0,072;-32;-0,367
0,083;-32,5;-0,368
0,097;-32,5;-0,368
0,112;-33;-0,369
0,126;-33;-0,37
0,137;-33,5;-0,37
0,153;-34;-0,371
0,17;-34;-0,372
0,187;-34,5;-0,373
0,2;-34,5;-0,373
0,213;-35,5;-0,374
0,226;-35,5;-0,375
0,238;-36;-0,375
0,251;-36;-0,376
0,265;-36,5;-0,377
0,278;-37;-0,378
0,298;-37;-0,378
0,312;-38;-0,379
0,326;-38;-0,38
0,342;-38,5;-0,38
0,354;-38,5;-0,381
0,367;-39;-0,382
0,381;-39;-0,382
0,395;-40;-0,383
0,408;-40;-0,384
0,42;-40,5;-0,384
0,433;-40,5;-0,385
0,446;-41;-0,386
0,458;-41;-0,386
0,473;-41,5;-0,387
0,488;-42;-0,388
0,501;-42;-0,388
0,514;-43;-0,389
0,527;-43;-0,39
0,541;-43;-0,39
0,553;-43;-0,391
0,574;-43,5;-0,392
0,589;-43,5;-0,393
0,602;-44;-0,394
0,615;-45;-0,394
0,628;-45;-0,395
0,641;-45,5;-0,396
0,659;-45,5;-0,396
0,677;-46;-0,397
0,689;-46;-0,398
0,702;-46,5;-0,399
0,719;-47,5;-0,4
0,737;-47,5;-0,4
0,749;-48;-0,401
0,762;-48;-0,402
0,775;-48,5;-0,402
0,79;-48,5;-0,403
0,803;-49;-0,404
0,819;-49;-0,404
0,832;-50;-0,405
0,845;-51;-0,406
0,858;-51;-0,406
0,873;-51,5;-0,407
0,887;-51,5;-0,408
0,902;-52;-0,409
0,915;-52;-0,409
0,929;-52,5;-0,41
0,942;-52,5;-0,411
0,958;-53;-0,412
0,978;-54;-0,412
0,991;-54;-0,413
1,003;-54,5;-0,414
1,018;-54,5;-0,414
1,031;-55,5;-0,415
1,044;-55,5;-0,416
1,059;-56;-0,416
1,071;-56;-0,417
1,091;-56,5;-0,418
1,107;-57;-0,419
1,12;-57;-0,42
1,136;-58;-0,42
1,151;-58,5;-0,421
1,167;-58,5;-0,422
1,186;-59;-0,423
1,199;-59;-0,423
1,213;-59,5;-0,424
1,225;-59,5;-0,424
1,237;-60,5;-0,425
1,254;-61,5;-0,426
1,271;-61,5;-0,427
1,284;-62;-0,428
1,303;-62;-0,428
1,316;-62,5;-0,429
1,329;-62,5;-0,43
1,343;-64;-0,431
1,363;-64,5;-0,432
1,376;-64,5;-0,432
1,39;-65;-0,433
1,403;-65;-0,434
1,416;-66;-0,434
1,431;-66;-0,435
1,448;-67;-0,436
1,463;-67,5;-0,437
1,481;-67,5;-0,438
1,498;-68;-0,438
1,514;-69;-0,439
1,532;-69;-0,44
1,546;-70;-0,441
1,563;-70,5;-0,442
1,576;-70,5;-0,442
1,59;-71;-0,443
1,604;-71;-0,443
1,616;-72;-0,444
1,63;-72;-0,445
1,644;-73;-0,446
1,658;-73;-0,446
1,67;-73,5;-0,447
1,684;-73,5;-0,447
1,698;-74,5;-0,448
1,711;-74,5;-0,449
1,724;-75;-0,449
1,736;-75;-0,45
1,75;-76;-0,451
1,763;-76;-0,451
1,776;-76,5;-0,452
1,788;-76,5;-0,452
1,801;-77;-0,454
1,82;-78;-0,454
1,836;-78;-0,455
1,848;-79,5;-0,456
1,863;-79,5;-0,456
1,876;-80;-0,457
1,89;-80;-0,458
1,904;-80,5;-0,458
1,918;-80,5;-0,459
1,932;-81,5;-0,46
1,944;-81,5;-0,46
1,957;-83;-0,461
1,97;-83;-0,462
1,984;-83,5;-0,462
1,997;-83,5;-0,463
2,01;-84;-0,464
2,022;-84;-0,464
2,034;-85;-0,465
2,046;-85;-0,466
2,061;-86;-0,466
2,073;-86;-0,467
2,086;-87;-0,468
2,101;-87,5;-0,468
2,121;-87,5;-0,469
2,136;-88;-0,47
2,15;-88;-0,471
2,168;-89,5;-0,472
2,18;-90;-0,472
2,195;-90;-0,473
2,207;-90,5;-0,474
2,222;-90,5;-0,474
2,236;-91,5;-0,475
2,249;-91,5;-0,476
2,269;-92,5;-0,477
2,283;-93;-0,478
