Tijd (s),Kracht (N),Verplaatsing (mm)
0,-30,-0,416
0,-30,-0,416
0,015,-30,-0,417
0,031,-30,5,-0,418
0,048,-30,5,-0,419
0,066,-30,5,-0,42
0,085,-31,-0,421
0,101,-31,-0,422
0,12,-31,-0,422
0,137,-32,-0,423
0,152,-32,-0,424
0,166,-32,5,-0,425
0,183,-32,5,-0,425
0,198,-32,5,-0,426
0,21,-32,5,-0,426
0,223,-33,-0,427
0,236,-34,-0,428
0,25,-34,-0,429
0,262,-34,-0,429
0,275,-34,-0,43
0,287,-34,-0,43
0,3,-34,5,-0,431
0,312,-34,5,-0,432
0,324,-35,-0,432
0,336,-35,-0,433
0,348,-35,5,-0,434
0,36,-35,5,-0,434
0,375,-36,-0,435
0,391,-36,5,-0,436
0,405,-36,5,-0,437
0,424,-36,5,-0,437
0,436,-36,5,-0,438
0,449,-37,5,-0,439
0,465,-37,5,-0,44
0,481,-37,5,-0,44
0,498,-38,-0,441
0,51,-38,-0,442
0,522,-38,5,-0,442
0,534,-38,5,-0,443
0,546,-39,5,-0,444
0,558,-39,5,-0,444
0,57,-39,5,-0,445
0,582,-39,5,-0,446
0,596,-40,-0,446
0,61,-40,-0,447
0,626,-40,5,-0,448
0,641,-40,5,-0,448
0,653,-41,5,-0,449
0,666,-41,5,-0,45
0,68,-42,-0,45
0,692,-42,-0,451
0,706,-42,5,-0,452
0,718,-42,5,-0,452
0,731,-42,5,-0,453
0,743,-42,5,-0,453
0,758,-44,-0,454
0,77,-44,-0,455
0,784,-44,5,-0,455
0,796,-44,5,-0,456
0,808,-45,-0,457
0,823,-45,-0,457
0,837,-45,-0,458
0,85,-45,-0,458
0,863,-46,5,-0,459
0,88,-47,-0,46
0,897,-47,-0,461
0,911,-47,5,-0,462
0,933,-48,-0,463
0,947,-48,-0,464
0,96,-49,5,-0,464
0,973,-49,5,-0,465
0,987,-50,-0,466
1,002,-50,-0,466
1,018,-50,5,-0,467
1,033,-51,-0,468
1,05,-51,-0,469
1,063,-52,5,-0,47
1,081,-53,-0,47
1,097,-53,-0,472
1,118,-54,-0,472
1,133,-54,-0,473
1,147,-54,5,-0,474
1,164,-55,5,-0,474
1,178,-55,5,-0,475
1,19,-56,5,-0,476
1,202,-56,5,-0,476
1,215,-57,-0,477
1,228,-57,-0,478
1,241,-57,5,-0,478
1,253,-57,5,-0,479
1,265,-59,-0,48
1,279,-59,-0,48
1,296,-59,5,-0,481
1,319,-60,-0,482
1,335,-60,-0,483
1,347,-61,-0,484
1,359,-61,-0,484
1,372,-62,-0,485
1,387,-62,5,-0,486
1,405,-62,5,-0,486
1,421,-63,5,-0,487
1,44,-64,-0,488
1,458,-64,-0,489
1,475,-65,5,-0,49
1,493,-66,-0,491
1,51,-66,-0,492
1,525,-66,5,-0,492
1,541,-66,5,-0,493
1,559,-67,5,-0,494
1,579,-69,-0,495
1,595,-70,-0,496
1,613,-70,-0,497
1,632,-70,5,-0,498
1,646,-70,5,-0,499
1,66,-70,5,-0,5
1,679,-73,-0,5
1,693,-73,-0,501
1,707,-73,5,-0,502
1,722,-74,-0,502
1,738,-74,-0,503
1,754,-75,-0,504
1,771,-76,-0,505
1,791,-76,-0,506
1,81,-77,-0,507
1,828,-78,-0,508
1,844,-78,-0,508
1,859,-78,5,-0,509
1,876,-80,-0,51
1,891,-80,-0,511
1,91,-80,5,-0,512
1,929,-81,5,-0,513
1,948,-81,5,-0,514
1,966,-82,5,-0,514
1,982,-84,-0,515
1,996,-84,-0,516
2,012,-85,-0,517
2,03,-85,5,-0,518
2,047,-85,5,-0,518
2,063,-86,-0,519
2,08,-88,-0,52
2,096,-88,-0,521
2,117,-89,-0,522
2,134,-89,5,-0,523
2,148,-89,5,-0,524
2,171,-90,5,-0,525
2,186,-92,-0,526
2,206,-92,-0,526
2,223,-93,-0,527
2,236,-93,5,-0,528
2,249,-93,5,-0,528
2,262,-94,5,-0,529
2,277,-94,5,-0,53
2,29,-96,-0,53
2,303,-96,-0,531
2,315,-97,-0,532
2,327,-97,-0,532
2,338,-97,5,-0,533
2,35,-97,5,-0,534
2,363,-98,5,-0,534
2,377,-98,5,-0,535
2,391,-100,-0,536
2,411,-101,-0,537
2,43,-101,-0,538
2,445,-101,5,-0,539
2,471,-102,5,-0,54
2,491,-104,-0,541
2,508,-104,-0,541
2,521,-105,-0,542
2,534,-105,-0,543
2,549,-105,5,-0,543
2,562,-105,5,-0,544
2,575,-106,5,-0,545
2,593,-106,5,-0,546
2,61,-108,-0,547
2,633,-109,-0,548
2,647,-109,-0,548
2,66,-109,5,-0,549
2,679,-110,5,-0,55
2,692,-110,5,-0,551
2,709,-112,5,-0,552
2,724,-112,5,-0,552
2,736,-113,-0,553
2,75,-114,-0,554
2,768,-114,-0,554
2,782,-114,5,-0,555
2,801,-114,5,-0,556
2,818,-116,5,-0,557
2,831,-117,-0,558
2,845,-117,-0,558
2,86,-118,-0,559
