Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-25	-0,282
0	-25,5	-0,284
0,028	-26	-0,285
0,053	-26,5	-0,286
0,249	-29	-0,295
0,265	-30	-0,297
0,295	-30	-0,298
0,335	-31	-0,3
0,357	-31,5	-0,301
0,383	-31,5	-0,303
0,425	-32,5	-0,305
0,45	-32,5	-0,305
0,463	-33	-0,306
0,494	-33,5	-0,308
0,507	-33,5	-0,308
0,519	-34	-0,309
0,532	-35	-0,31
0,558	-35	-0,311
0,584	-35	-0,313
0,616	-36	-0,314
0,635	-36	-0,315
0,649	-37	-0,316
0,682	-37	-0,317
0,703	-37,5	-0,318
0,727	-38	-0,319
0,745	-39	-0,32
0,759	-39	-0,321
0,786	-39	-0,322
0,804	-39,5	-0,323
0,818	-39,5	-0,324
0,835	-41	-0,326
0,869	-41	-0,326
0,883	-41	-0,327
0,91	-41,5	-0,329
0,928	-42	-0,329
0,942	-42	-0,33
0,959	-43	-0,332
0,991	-43	-0,332
1,006	-44	-0,334
1,034	-44	-0,335
1,054	-45	-0,336
1,069	-45	-0,337
1,087	-45,5	-0,338
1,118	-46	-0,339
1,143	-46,5	-0,34
1,161	-47,5	-0,342
1,185	-47,5	-0,342
1,202	-48	-0,343
1,216	-48,5	-0,344
1,249	-48,5	-0,346
1,275	-50	-0,347
1,3	-50	-0,348
1,316	-50,5	-0,35
1,348	-50,5	-0,35
1,364	-51,5	-0,351
1,381	-52	-0,352
1,404	-52,5	-0,354
1,435	-52,5	-0,355
1,463	-54	-0,356
1,48	-54	-0,357
1,495	-54	-0,358
1,513	-55	-0,358
1,53	-55	-0,36
1,556	-55,5	-0,361
1,587	-56,5	-0,362
1,604	-56,5	-0,363
1,632	-57	-0,365
1,656	-58	-0,366
1,678	-58,5	-0,367
1,702	-59	-0,368
1,717	-59,5	-0,369
1,733	-59,5	-0,37
1,761	-60	-0,371
1,777	-60	-0,372
1,795	-61,5	-0,373
1,826	-61,5	-0,374
1,843	-62,5	-0,375
1,859	-62,5	-0,376
1,873	-63,5	-0,376
1,898	-64	-0,378
1,912	-64	-0,378
1,931	-65	-0,38
1,964	-65	-0,381
1,989	-65,5	-0,382
2,005	-66	-0,383
2,029	-66,5	-0,384
2,044	-67	-0,386
2,076	-68	-0,387
2,093	-68	-0,388
2,109	-68,5	-0,389
2,133	-69	-0,39
2,149	-69	-0,391
2,181	-70,5	-0,392
2,194	-70,5	-0,393
2,214	-71	-0,394
2,244	-71,5	-0,395
2,26	-72	-0,396
2,275	-72	-0,396
2,29	-73	-0,398
2,316	-74	-0,399
2,34	-74,5	-0,4
2,364	-75	-0,401
2,381	-75,5	-0,402
2,408	-76,5	-0,403
2,439	-77	-0,404
2,453	-77	-0,406
2,478	-77	-0,406
2,494	-78	-0,407
2,51	-78,5	-0,408
2,527	-78,5	-0,409
2,55	-79	-0,41
2,565	-79,5	-0,411
2,595	-80,5	-0,412
2,609	-80,5	-0,414
2,633	-81	-0,414
2,652	-82	-0,416
2,669	-82	-0,417
2,7	-83,5	-0,419
2,737	-83,5	-0,42
2,769	-84,5	-0,421
2,784	-84,5	-0,422
2,801	-86	-0,423
2,826	-86,5	-0,424
2,843	-87	-0,425
2,856	-87	-0,426
2,883	-87	-0,427
2,901	-88,5	-0,428
2,918	-88,5	-0,429
2,936	-88,5	-0,43
2,96	-89,5	-0,43
2,975	-89,5	-0,431
2,992	-89,5	-0,433
3,018	-90,5	-0,433
3,042	-91,5	-0,435
3,057	-92	-0,435
3,069	-92	-0,437
3,098	-93	-0,438
3,112	-93	-0,438
3,126	-93,5	-0,439
3,141	-94	-0,44
3,165	-94	-0,441
3,185	-94,5	-0,443
3,214	-96	-0,444
3,234	-96	-0,444
3,25	-96	-0,446
3,272	-97	-0,447
3,298	-98,5	-0,448
3,332	-99	-0,45
3,356	-99,5	-0,45
3,381	-99,5	-0,452
