Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-25	0,354
0	-25	0,352
0,026	-24,5	0,351
0,061	-25	0,35
0,078	-25	0,349
0,104	-25	0,348
0,119	-25	0,346
0,15	-25	0,344
0,187	-25,5	0,344
0,204	-25,5	0,343
0,221	-25,5	0,342
0,237	-25,5	0,341
0,254	-25,5	0,34
0,271	-25,5	0,34
0,288	-25,5	0,338
0,307	-25,5	0,338
0,323	-26	0,337
0,339	-26	0,336
0,351	-26	0,336
0,363	-26	0,335
0,382	-26,5	0,334
0,401	-26,5	0,333
0,415	-26,5	0,333
0,428	-26,5	0,332
0,44	-26,5	0,331
0,452	-26,5	0,33
0,468	-27	0,33
0,484	-27	0,328
0,508	-27	0,328
0,521	-27	0,327
0,533	-27	0,326
0,552	-27	0,326
0,567	-27	0,325
0,579	-27,5	0,324
0,592	-27,5	0,324
0,604	-27,5	0,323
0,616	-27,5	0,322
0,628	-28	0,322
0,639	-28	0,321
0,653	-28	0,32
0,665	-28	0,32
0,678	-28	0,319
0,69	-28	0,319
0,701	-28,5	0,318
0,714	-28,5	0,318
0,725	-28,5	0,316
0,76	-28,5	0,315
0,774	-29	0,314
0,787	-29	0,314
0,811	-29	0,312
0,825	-29	0,312
0,838	-29	0,311
0,861	-29,5	0,31
0,881	-30	0,309
0,896	-30	0,309
0,918	-30	0,308
0,931	-30	0,307
0,944	-30	0,306
0,963	-30	0,305
0,987	-30,5	0,303
1,019	-30,5	0,302
1,046	-31	0,301
1,063	-31,5	0,3
1,079	-31,5	0,299
1,113	-32	0,298
1,13	-32	0,297
1,145	-32	0,296
1,162	-32,5	0,294
1,189	-32,5	0,294
1,205	-32,5	0,293
1,218	-33	0,292
1,234	-33	0,291
1,258	-33,5	0,29
1,295	-34	0,288
1,311	-34	0,287
1,337	-34,5	0,285
1,372	-34,5	0,284
1,398	-35	0,283
1,415	-35,5	0,282
1,44	-35,5	0,28
1,473	-35,5	0,279
1,5	-36,5	0,278
1,517	-36,5	0,277
1,533	-36,5	0,276
1,551	-37	0,276
1,568	-37	0,275
1,586	-37	0,274
1,604	-37,5	0,273
1,62	-37,5	0,272
1,635	-37,5	0,272
1,648	-38	0,27
1,668	-38	0,27
1,682	-38,5	0,269
1,695	-38,5	0,268
1,707	-39	0,268
1,724	-39,5	0,266
1,748	-39,5	0,266
1,761	-39,5	0,265
1,774	-39,5	0,264
1,786	-40	0,264
1,798	-40	0,263
1,812	-40,5	0,263
1,824	-41	0,262
1,843	-41	0,261
1,862	-41	0,26
1,877	-41	0,259
1,894	-41,5	0,258
1,909	-42	0,258
1,921	-42	0,257
1,954	-42,5	0,256
1,968	-42,5	0,255
1,982	-43	0,254
1,995	-43	0,254
2,007	-44	0,253
2,023	-44	0,252
2,041	-44	0,251
2,059	-44	0,25
2,075	-44	0,25
2,087	-44,5	0,249
2,104	-45	0,248
2,124	-45	0,247
2,144	-45,5	0,246
2,17	-46	0,244
2,203	-46	0,243
2,216	-46,5	0,242
2,234	-47	0,241
2,262	-47,5	0,24
2,277	-47,5	0,239
2,291	-48	0,238
2,312	-49	0,237
2,337	-49	0,236
2,353	-49	0,235
2,385	-49,5	0,234
2,399	-50	0,233
2,416	-50,5	0,232
2,432	-51	0,231
2,459	-51	0,23
2,484	-51,5	0,228
2,51	-51,5	0,228
2,527	-52,5	0,226
2,555	-53	0,226
2,569	-53,5	0,224
2,603	-54	0,223
2,63	-54,5	0,222
2,647	-55	0,221
2,664	-55	0,22
2,689	-55,5	0,219
2,707	-56	0,218
2,73	-57	0,216
2,757	-57,5	0,216
2,772	-58	0,214
2,798	-58,5	0,213
2,815	-58,5	0,212
2,831	-59,5	0,212
2,847	-59,5	0,21
2,883	-60	0,209
2,899	-60,5	0,208
2,925	-61,5	0,207
2,943	-61,5	0,205
2,971	-62,5	0,204
3,003	-63	0,203
3,019	-63	0,202
3,035	-64	0,201
3,062	-64,5	0,199
3,094	-65	0,199
3,109	-65,5	0,198
3,129	-65,5	0,196
3,155	-66,5	0,196
3,182	-67	0,194
3,204	-67,5	0,192
3,231	-67,5	0,192
3,245	-68,5	0,19
3,271	-69	0,19
3,289	-69,5	0,188
3,324	-70	0,187
3,337	-71	0,186
