Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,537
0	-30	-0,537
0,012	-30	-0,538
0,03	-30,5	-0,539
0,049	-30,5	-0,54
0,066	-30,5	-0,541
0,082	-31	-0,542
0,098	-31,5	-0,542
0,114	-31,5	-0,544
0,145	-31,5	-0,545
0,161	-32	-0,546
0,18	-32,5	-0,546
0,195	-32,5	-0,547
0,208	-33	-0,548
0,225	-33,5	-0,549
0,241	-33,5	-0,55
0,26	-33,5	-0,551
0,285	-34	-0,552
0,308	-34,5	-0,553
0,323	-34,5	-0,553
0,336	-35	-0,554
0,354	-35	-0,555
0,368	-35	-0,556
0,38	-35,5	-0,556
0,392	-35,5	-0,557
0,405	-35,5	-0,558
0,419	-35,5	-0,558
0,431	-36	-0,559
0,446	-36	-0,56
0,462	-36,5	-0,56
0,476	-36,5	-0,561
0,489	-37	-0,562
0,501	-37	-0,562
0,513	-37,5	-0,563
0,525	-37,5	-0,563
0,537	-38	-0,564
0,549	-38	-0,564
0,561	-38	-0,565
0,573	-38	-0,566
0,585	-39	-0,566
0,598	-39	-0,567
0,611	-39	-0,568
0,623	-39	-0,568
0,637	-39,5	-0,569
0,653	-39,5	-0,57
0,669	-40	-0,571
0,686	-40	-0,572
0,7	-41	-0,573
0,722	-41	-0,574
0,738	-41,5	-0,574
0,753	-41,5	-0,575
0,768	-42	-0,576
0,784	-42	-0,577
0,802	-42,5	-0,577
0,816	-43	-0,578
0,828	-43	-0,579
0,843	-43,5	-0,58
0,858	-43,5	-0,58
0,873	-43,5	-0,581
0,888	-43,5	-0,582
0,9	-44	-0,582
0,915	-44	-0,583
0,927	-44,5	-0,583
0,939	-44,5	-0,584
0,953	-45	-0,585
0,969	-45	-0,586
0,981	-45	-0,586
0,994	-45	-0,587
1,006	-46	-0,587
1,018	-46	-0,588
1,031	-46	-0,589
1,044	-46,5	-0,59
1,061	-46,5	-0,59
1,074	-47	-0,591
1,086	-47	-0,591
1,098	-47,5	-0,592
1,112	-47,5	-0,593
1,132	-48	-0,594
1,145	-48	-0,594
1,158	-48,5	-0,595
1,176	-49	-0,596
1,202	-49,5	-0,597
1,214	-49,5	-0,598
1,23	-50	-0,599
1,245	-50	-0,599
1,257	-50,5	-0,6
1,272	-50,5	-0,601
1,286	-51	-0,602
1,3	-51	-0,602
1,319	-51,5	-0,603
1,339	-52	-0,604
1,352	-52	-0,605
1,365	-52	-0,606
1,385	-52,5	-0,607
1,405	-53	-0,608
1,421	-53	-0,608
1,436	-53,5	-0,609
1,45	-53,5	-0,61
1,469	-54	-0,611
1,488	-54	-0,612
1,501	-54	-0,612
1,513	-55	-0,613
1,528	-55	-0,614
1,54	-55,5	-0,614
1,557	-55,5	-0,615
1,571	-55,5	-0,616
1,585	-56	-0,617
1,604	-56	-0,618
1,62	-57	-0,618
1,64	-57	-0,619
1,655	-57	-0,62
1,671	-57,5	-0,621
1,684	-57,5	-0,621
1,696	-58	-0,622
1,711	-58,5	-0,623
1,728	-58,5	-0,624
1,745	-59	-0,624
1,759	-59	-0,625
1,772	-59	-0,626
1,786	-59	-0,627
1,803	-59,5	-0,627
1,815	-59,5	-0,628
1,828	-60	-0,629
1,843	-60,5	-0,63
1,864	-60,5	-0,63
1,878	-61	-0,631
1,892	-61	-0,632
1,905	-61,5	-0,632
1,917	-61,5	-0,633
1,931	-62	-0,634
1,943	-62	-0,634
1,957	-62,5	-0,635
1,978	-62,5	-0,636
1,996	-63	-0,637
2,018	-63	-0,638
2,037	-64	-0,639
2,054	-64	-0,64
2,067	-64	-0,64
2,079	-64,5	-0,641
2,099	-65	-0,642
2,126	-65,5	-0,643
2,141	-65,5	-0,644
2,16	-66	-0,645
2,178	-66,5	-0,646
2,195	-66,5	-0,647
2,208	-66,5	-0,648
2,225	-66,5	-0,648
2,244	-67	-0,649
2,258	-67,5	-0,65
2,271	-67,5	-0,651
2,284	-68	-0,651
2,295	-68	-0,652
2,308	-68,5	-0,653
2,321	-68,5	-0,653
2,336	-69	-0,654
2,355	-69,5	-0,655
2,373	-69,5	-0,656
2,386	-70	-0,657
2,403	-70	-0,658
2,426	-70,5	-0,659
2,446	-71	-0,659
2,459	-71,5	-0,66
2,471	-71,5	-0,66
2,483	-71,5	-0,661
2,499	-71,5	-0,662
2,513	-72	-0,663
2,527	-72	-0,663
2,54	-72,5	-0,664
2,56	-73	-0,665
2,577	-73	-0,666
2,593	-73	-0,667
2,608	-73	-0,668
2,627	-73,5	-0,668
2,645	-74	-0,669
2,663	-74,5	-0,67
2,68	-74,5	-0,671
2,696	-74,5	-0,672
2,713	-74,5	-0,673
2,729	-75	-0,674
2,75	-75,5	-0,675
2,778	-76	-0,676
2,796	-76	-0,677
2,81	-76	-0,678
2,827	-76,5	-0,678
2,842	-77	-0,679
2,86	-77	-0,68
2,873	-77,5	-0,681
2,887	-77,5	-0,681
2,899	-78	-0,682
2,912	-78	-0,683
2,926	-78	-0,683
2,938	-78	-0,684
2,951	-78,5	-0,685
2,972	-79	-0,686
2,99	-79	-0,687
3,008	-79,5	-0,688
3,022	-79,5	-0,688
3,035	-79,5	-0,689
