Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,312
0	-30	-0,313
0,016	-30,5	-0,314
0,03	-30,5	-0,314
0,043	-31,5	-0,315
0,056	-31,5	-0,316
0,067	-31,5	-0,316
0,081	-31,5	-0,317
0,096	-32	-0,318
0,114	-32,5	-0,318
0,129	-32,5	-0,319
0,143	-33,5	-0,32
0,156	-33,5	-0,32
0,168	-34	-0,321
0,181	-34	-0,322
0,194	-34	-0,322
0,206	-34	-0,323
0,223	-35	-0,324
0,238	-35,5	-0,325
0,256	-35,5	-0,326
0,271	-36	-0,326
0,284	-36	-0,327
0,298	-36,5	-0,328
0,312	-36,5	-0,328
0,326	-37	-0,329
0,345	-38	-0,33
0,361	-38	-0,331
0,379	-38,5	-0,332
0,396	-39	-0,333
0,412	-39	-0,334
0,43	-39	-0,334
0,444	-40	-0,335
0,464	-40	-0,336
0,482	-40	-0,337
0,496	-40,5	-0,338
0,51	-40,5	-0,338
0,523	-41	-0,339
0,538	-41	-0,34
0,551	-42	-0,34
0,564	-42	-0,341
0,577	-42,5	-0,342
0,59	-42,5	-0,342
0,603	-43	-0,343
0,621	-43	-0,344
0,634	-43,5	-0,344
0,647	-44,5	-0,345
0,659	-44,5	-0,346
0,671	-45	-0,346
0,685	-45	-0,347
0,697	-45	-0,348
0,709	-45,5	-0,348
0,721	-45,5	-0,349
0,733	-46	-0,349
0,745	-46	-0,35
0,757	-47	-0,35
0,769	-47	-0,351
0,781	-47,5	-0,352
0,793	-47,5	-0,352
0,804	-48	-0,353
0,818	-48	-0,354
0,83	-48,5	-0,354
0,842	-48,5	-0,355
0,855	-49	-0,356
0,871	-49	-0,356
0,884	-49,5	-0,357
0,898	-49,5	-0,358
0,911	-50	-0,358
0,925	-50	-0,359
0,939	-50,5	-0,36
0,953	-50,5	-0,36
0,965	-51,5	-0,361
0,983	-52	-0,362
1	-52	-0,363
1,016	-52,5	-0,364
1,039	-53	-0,365
1,051	-53	-0,366
1,065	-54,5	-0,366
1,078	-54,5	-0,367
1,092	-55	-0,368
1,109	-55,5	-0,368
1,124	-55,5	-0,369
1,136	-56	-0,37
1,149	-56	-0,37
1,164	-57	-0,371
1,182	-57,5	-0,372
1,2	-57,5	-0,373
1,213	-58	-0,374
1,23	-58	-0,374
1,247	-58,5	-0,375
1,266	-59,5	-0,376
1,279	-59,5	-0,377
1,293	-60	-0,377
1,307	-60	-0,378
1,318	-60,5	-0,379
1,333	-60,5	-0,38
1,347	-61	-0,38
1,361	-61	-0,381
1,374	-62	-0,381
1,386	-62	-0,382
1,399	-63	-0,383
1,415	-63	-0,384
1,428	-63	-0,384
1,441	-63	-0,385
1,453	-63,5	-0,386
1,467	-65	-0,386
1,481	-65	-0,387
1,5	-65,5	-0,388
1,514	-65,5	-0,389
1,533	-66	-0,39
1,548	-66,5	-0,39
1,561	-66,5	-0,391
1,572	-68	-0,392
1,588	-68	-0,392
1,6	-68,5	-0,393
1,614	-68,5	-0,394
1,629	-68,5	-0,394
1,642	-68,5	-0,395
1,656	-69	-0,396
1,668	-69	-0,396
1,681	-70,5	-0,397
1,695	-70,5	-0,398
1,712	-71	-0,398
1,729	-71,5	-0,399
1,742	-71,5	-0,4
1,757	-72	-0,401
1,777	-73	-0,402
1,796	-73,5	-0,403
