Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,457
0	-30	-0,458
0,022	-30	-0,459
0,034	-30	-0,46
0,047	-30	-0,46
0,059	-30	-0,461
0,073	-30,5	-0,462
0,087	-31	-0,462
0,103	-31	-0,463
0,118	-31,5	-0,464
0,138	-31,5	-0,465
0,161	-31,5	-0,466
0,176	-32	-0,467
0,19	-32,5	-0,467
0,202	-32,5	-0,468
0,215	-32,5	-0,469
0,231	-32,5	-0,47
0,247	-33	-0,47
0,267	-33	-0,471
0,287	-33	-0,472
0,301	-34	-0,473
0,314	-34	-0,473
0,327	-34	-0,474
0,343	-34,5	-0,475
0,358	-34,5	-0,476
0,373	-34,5	-0,476
0,388	-34,5	-0,477
0,406	-35	-0,478
0,422	-35	-0,479
0,438	-35	-0,48
0,452	-35,5	-0,48
0,472	-36	-0,481
0,486	-36	-0,482
0,498	-36,5	-0,482
0,51	-36,5	-0,483
0,523	-36,5	-0,484
0,537	-36,5	-0,485
0,554	-37,5	-0,485
0,567	-37,5	-0,486
0,586	-37,5	-0,488
0,609	-38	-0,488
0,626	-38	-0,489
0,642	-38	-0,49
0,659	-38,5	-0,491
0,674	-38,5	-0,492
0,69	-39	-0,492
0,709	-39,5	-0,493
0,724	-39,5	-0,494
0,737	-40	-0,495
0,759	-40	-0,496
0,773	-40	-0,496
0,787	-40,5	-0,497
0,804	-41	-0,498
0,823	-41	-0,499
0,838	-41,5	-0,5
0,851	-41,5	-0,5
0,869	-41,5	-0,501
0,885	-42	-0,502
0,904	-42	-0,503
0,92	-42,5	-0,504
0,939	-43	-0,505
0,955	-43	-0,505
0,97	-43,5	-0,506
0,992	-43,5	-0,507
1,008	-43,5	-0,508
1,023	-44	-0,509
1,038	-44,5	-0,51
1,056	-44,5	-0,51
1,071	-45	-0,511
1,085	-45,5	-0,512
1,106	-45,5	-0,514
1,128	-46,5	-0,514
1,15	-46,5	-0,515
1,166	-47	-0,516
1,179	-47	-0,517
1,196	-47,5	-0,518
1,214	-48	-0,518
1,229	-48	-0,519
1,249	-48,5	-0,52
1,267	-49	-0,521
1,284	-49	-0,522
1,297	-49	-0,523
1,311	-49	-0,523
1,327	-50	-0,524
1,345	-50,5	-0,525
1,361	-50,5	-0,526
1,376	-51	-0,527
1,395	-51	-0,528
1,412	-51	-0,528
1,426	-52	-0,529
1,441	-52	-0,53
1,458	-52,5	-0,531
1,475	-52,5	-0,532
1,492	-52,5	-0,532
1,51	-53	-0,533
1,527	-54	-0,534
1,545	-54	-0,535
1,561	-54,5	-0,536
1,584	-55	-0,537
1,606	-55,5	-0,538
1,622	-55,5	-0,539
1,637	-56	-0,54
1,649	-56	-0,54
1,662	-56,5	-0,541
1,675	-57	-0,542
1,691	-57	-0,542
1,707	-57,5	-0,543
1,724	-58	-0,544
1,746	-58	-0,545
1,764	-58,5	-0,546
1,781	-59	-0,547
1,797	-59	-0,548
1,812	-59	-0,548
1,828	-59	-0,549
1,845	-60	-0,55
1,862	-60,5	-0,551
1,879	-60,5	-0,552
1,891	-60,5	-0,552
1,905	-60,5	-0,553
1,922	-61	-0,554
1,938	-61,5	-0,554
1,954	-61,5	-0,555
1,977	-62	-0,557
1,995	-62,5	-0,558
2,012	-62,5	-0,558
2,03	-62,5	-0,559
2,046	-63	-0,56
2,062	-63,5	-0,56
2,074	-63,5	-0,561
2,09	-64	-0,562
2,111	-64	-0,563
2,129	-64	-0,564
2,147	-65	-0,565
2,164	-65	-0,566
2,181	-65	-0,567
2,196	-65,5	-0,567
2,209	-65,5	-0,568
2,227	-66	-0,569
2,248	-66,5	-0,57
2,263	-66,5	-0,571
2,28	-67	-0,572
2,293	-67	-0,573
2,314	-67	-0,574
2,328	-67,5	-0,574
2,345	-68	-0,575
2,362	-68	-0,576
2,378	-68,5	-0,577
2,399	-68,5	-0,578
2,413	-68,5	-0,579
2,433	-69	-0,58
2,456	-69,5	-0,58
2,473	-70	-0,581
2,489	-70	-0,582
2,509	-70,5	-0,583
2,524	-70,5	-0,584
2,54	-70,5	-0,584
2,553	-71,5	-0,585
2,565	-71,5	-0,586
2,58	-72	-0,587
2,598	-72	-0,588
2,613	-72	-0,588
2,631	-72,5	-0,59
2,656	-73,5	-0,59
2,669	-73,5	-0,591
2,686	-73,5	-0,592
2,698	-73,5	-0,592
2,712	-74	-0,593
2,727	-74	-0,594
2,743	-74,5	-0,595
2,758	-75,5	-0,596
2,778	-75,5	-0,596
2,792	-75,5	-0,597
2,808	-76	-0,598
2,827	-76	-0,599
2,842	-76,5	-0,6
2,856	-77,5	-0,601
2,879	-78	-0,602
2,897	-78	-0,602
2,911	-78,5	-0,603
2,924	-78,5	-0,604
2,942	-79	-0,605
2,958	-79	-0,606
