Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,367
0	-30	-0,367
0,014	-30	-0,368
0,027	-30,5	-0,369
0,04	-30,5	-0,369
0,052	-31	-0,37
0,069	-31	-0,371
0,086	-31	-0,372
0,102	-31,5	-0,372
0,115	-31,5	-0,373
0,128	-31,5	-0,374
0,141	-31,5	-0,374
0,153	-32	-0,375
0,178	-32,5	-0,376
0,193	-32,5	-0,377
0,21	-32,5	-0,378
0,226	-32,5	-0,379
0,244	-33	-0,38
0,264	-33,5	-0,381
0,285	-34	-0,382
0,302	-34	-0,382
0,316	-34,5	-0,383
0,328	-34,5	-0,384
0,342	-34,5	-0,384
0,355	-34,5	-0,385
0,369	-35	-0,386
0,382	-35	-0,387
0,401	-35,5	-0,388
0,418	-35,5	-0,388
0,43	-35,5	-0,389
0,446	-36	-0,39
0,466	-37	-0,39
0,478	-37	-0,391
0,495	-37	-0,392
0,51	-37	-0,393
0,523	-37,5	-0,393
0,535	-37,5	-0,394
0,549	-37,5	-0,395
0,561	-37,5	-0,396
0,579	-38,5	-0,396
0,595	-39	-0,397
0,61	-39	-0,398
0,629	-39	-0,399
0,65	-39,5	-0,4
0,669	-40	-0,401
0,69	-40,5	-0,402
0,708	-40,5	-0,403
0,729	-40,5	-0,404
0,748	-41	-0,404
0,761	-41	-0,405
0,779	-41,5	-0,406
0,8	-42	-0,407
0,818	-42,5	-0,408
0,831	-42,5	-0,409
0,843	-42,5	-0,41
0,864	-42,5	-0,41
0,878	-43,5	-0,412
0,901	-43,5	-0,412
0,918	-43,5	-0,413
0,935	-44	-0,414
0,951	-44,5	-0,415
0,97	-44,5	-0,416
0,985	-45	-0,417
1,001	-45	-0,418
1,017	-45	-0,418
1,033	-45,5	-0,419
1,05	-46	-0,42
1,07	-46	-0,421
1,086	-46,5	-0,422
1,099	-47	-0,422
1,117	-47	-0,423
1,13	-47	-0,424
1,142	-47	-0,425
1,164	-47,5	-0,426
1,184	-48	-0,427
1,206	-48,5	-0,428
1,222	-48,5	-0,428
1,241	-48,5	-0,429
1,259	-49	-0,43
1,275	-49	-0,431
1,288	-50	-0,432
1,31	-50	-0,433
1,329	-50	-0,434
1,351	-50	-0,435
1,368	-50,5	-0,436
1,384	-51	-0,436
1,399	-51	-0,437
1,412	-51,5	-0,438
