Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,641
0	-30	-0,642
0,015	-30	-0,642
0,028	-30	-0,644
0,048	-30	-0,645
0,071	-31	-0,645
0,085	-31	-0,646
0,1	-31	-0,647
0,114	-31	-0,647
0,128	-31	-0,648
0,142	-31,5	-0,649
0,155	-31,5	-0,65
0,171	-32	-0,651
0,196	-32,5	-0,652
0,215	-32,5	-0,653
0,233	-32,5	-0,654
0,252	-33	-0,655
0,269	-33,5	-0,655
0,281	-33,5	-0,656
0,295	-34	-0,657
0,313	-34	-0,658
0,327	-34	-0,658
0,339	-34	-0,659
0,352	-34,5	-0,659
0,364	-34,5	-0,66
0,377	-35	-0,661
0,391	-35,5	-0,661
0,403	-35,5	-0,662
0,418	-35,5	-0,663
0,439	-35,5	-0,664
0,455	-36	-0,665
0,474	-36,5	-0,666
0,493	-37	-0,667
0,515	-37	-0,668
0,53	-37,5	-0,668
0,546	-37,5	-0,669
0,567	-37,5	-0,67
0,589	-38,5	-0,671
0,605	-39	-0,673
0,632	-39	-0,674
0,649	-39,5	-0,674
0,666	-39,5	-0,675
0,679	-40,5	-0,676
0,691	-40,5	-0,676
0,709	-40,5	-0,678
0,739	-41	-0,679
0,759	-41,5	-0,68
0,778	-42,5	-0,681
0,793	-42,5	-0,682
0,807	-42,5	-0,682
0,825	-42,5	-0,683
0,843	-43	-0,684
0,862	-43,5	-0,685
0,874	-43,5	-0,686
0,888	-44	-0,686
0,902	-44	-0,687
0,916	-44	-0,688
0,932	-44,5	-0,688
0,945	-44,5	-0,689
0,961	-45	-0,69
0,98	-45,5	-0,691
1,004	-46	-0,692
1,021	-46	-0,693
1,033	-46,5	-0,693
1,045	-46,5	-0,694
1,063	-46,5	-0,695
1,076	-46,5	-0,695
1,088	-47	-0,696
1,101	-47	-0,697
1,121	-47,5	-0,698
1,133	-48	-0,698
1,148	-48	-0,699
1,162	-48	-0,7
1,176	-48	-0,7
1,189	-49	-0,701
1,205	-49	-0,702
1,222	-49,5	-0,703
1,247	-50	-0,704
1,264	-50,5	-0,705
1,28	-50,5	-0,706
1,297	-51,5	-0,706
1,312	-51,5	-0,707
1,326	-51,5	-0,708
1,345	-52,5	-0,709
1,367	-52,5	-0,71
1,383	-52,5	-0,711
1,399	-53	-0,712
1,419	-53,5	-0,713
1,435	-53,5	-0,714
1,45	-54	-0,714
1,464	-54	-0,715
1,481	-54,5	-0,716
1,501	-55	-0,717
1,518	-55,5	-0,718
1,532	-55,5	-0,718
1,547	-56	-0,719
1,561	-56	-0,72
1,579	-56	-0,72
1,594	-56	-0,721
1,61	-57	-0,722
1,629	-57,5	-0,723
1,642	-57,5	-0,724
1,655	-58	-0,724
1,668	-58	-0,725
1,682	-58	-0,726
1,697	-58	-0,726
1,711	-59	-0,727
1,725	-59,5	-0,728
1,739	-59,5	-0,729
1,757	-60	-0,729
1,769	-60	-0,73
1,785	-60	-0,731
1,805	-61	-0,732
1,82	-61	-0,732
1,832	-61,5	-0,734
1,849	-61,5	-0,734
1,862	-61,5	-0,735
1,877	-62	-0,736
1,899	-62	-0,737
1,913	-63	-0,738
1,931	-63	-0,738
1,95	-63,5	-0,74
1,972	-63,5	-0,741
1,991	-64	-0,741
2,005	-65	-0,742
2,026	-65	-0,743
2,045	-65	-0,744
2,06	-65,5	-0,744
2,073	-65,5	-0,745
2,086	-65,5	-0,746
2,101	-65,5	-0,747
2,117	-66,5	-0,748
2,135	-66,5	-0,748
2,149	-66,5	-0,749
2,162	-67	-0,75
2,174	-67	-0,75
2,186	-67	-0,751
2,198	-67	-0,751
2,211	-68	-0,752
2,228	-68	-0,753
2,243	-68,5	-0,754
2,26	-68,5	-0,755
2,277	-69	-0,756
2,292	-69	-0,756
2,312	-69	-0,757
2,331	-70	-0,758
2,346	-70,5	-0,759
2,358	-70,5	-0,759
2,37	-70,5	-0,76
2,382	-70,5	-0,761
2,397	-71	-0,762
2,412	-71	-0,762
2,424	-72	-0,763
2,436	-72	-0,763
2,448	-72	-0,764
2,46	-72	-0,765
2,479	-72,5	-0,766
2,495	-73	-0,766
2,509	-73	-0,767
2,524	-73,5	-0,768
2,542	-73,5	-0,769
2,568	-74,5	-0,771
2,597	-74,5	-0,772
2,614	-74,5	-0,772
2,63	-75,5	-0,773
2,646	-75,5	-0,774
2,666	-75,5	-0,775
2,68	-76	-0,776
2,696	-76	-0,776
2,713	-76,5	-0,777
2,726	-77	-0,778
2,747	-77	-0,779
2,763	-78	-0,78
2,777	-78	-0,781
2,801	-78,5	-0,782
2,817	-78,5	-0,782
2,829	-79,5	-0,783
2,842	-79,5	-0,784
