Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,381
0	-30	-0,381
0,014	-30	-0,382
0,031	-30,5	-0,383
0,05	-30,5	-0,384
0,063	-30,5	-0,384
0,075	-30,5	-0,385
0,088	-31	-0,386
0,101	-31	-0,386
0,115	-31	-0,387
0,127	-31	-0,388
0,139	-31,5	-0,388
0,155	-31,5	-0,389
0,169	-32	-0,39
0,184	-32	-0,391
0,197	-32,5	-0,391
0,209	-32,5	-0,392
0,226	-32,5	-0,393
0,244	-33	-0,394
0,259	-33	-0,394
0,273	-33,5	-0,395
0,29	-33,5	-0,396
0,306	-33,5	-0,397
0,32	-34	-0,398
0,34	-34,5	-0,399
0,359	-34,5	-0,399
0,374	-35	-0,4
0,386	-35	-0,401
0,4	-35	-0,402
0,418	-35	-0,402
0,431	-35	-0,403
0,443	-36	-0,404
0,461	-36	-0,404
0,477	-36	-0,405
0,492	-36,5	-0,406
0,506	-36,5	-0,406
0,518	-36,5	-0,407
0,533	-36,5	-0,408
0,551	-37,5	-0,409
0,564	-37,5	-0,41
0,581	-37,5	-0,41
0,597	-38	-0,411
0,609	-38	-0,412
0,622	-38,5	-0,412
0,635	-38,5	-0,413
0,654	-39	-0,414
0,669	-39	-0,415
0,682	-39,5	-0,415
0,694	-39,5	-0,416
0,709	-39,5	-0,417
0,725	-40	-0,418
0,741	-40	-0,419
0,758	-41	-0,419
0,771	-41	-0,42
0,785	-41	-0,421
0,802	-41,5	-0,422
0,821	-41,5	-0,423
0,84	-42	-0,424
0,856	-42,5	-0,424
0,876	-43	-0,425
0,893	-43	-0,426
0,906	-43	-0,427
0,92	-43	-0,428
0,937	-43,5	-0,428
0,95	-43,5	-0,429
0,968	-44	-0,43
0,987	-44,5	-0,431
1,006	-45	-0,432
1,021	-45	-0,432
1,038	-45	-0,433
1,052	-45	-0,434
1,068	-45,5	-0,435
1,083	-46	-0,435
1,098	-46	-0,436
1,113	-46,5	-0,437
1,125	-46,5	-0,438
1,145	-46,5	-0,439
1,16	-47,5	-0,439
1,172	-47,5	-0,44
1,187	-48	-0,441
1,205	-48	-0,442
1,22	-48	-0,443
1,24	-48,5	-0,444
1,259	-48,5	-0,444
1,273	-49,5	-0,445
1,285	-49,5	-0,446
1,305	-49,5	-0,447
1,32	-50	-0,448
1,337	-50,5	-0,448
1,356	-50,5	-0,449
1,371	-51,5	-0,45
1,384	-51,5	-0,451
1,397	-51,5	-0,451
1,409	-51,5	-0,452
1,423	-52	-0,453
1,437	-52	-0,453
1,453	-52	-0,454
1,466	-52	-0,455
1,48	-53	-0,456
1,5	-53	-0,457
1,521	-53,5	-0,458
1,537	-53,5	-0,458
1,55	-54	-0,459
1,567	-54	-0,46
1,58	-54,5	-0,461
1,601	-55	-0,461
1,614	-55	-0,462
1,633	-55,5	-0,463
1,649	-56	-0,464
1,667	-56	-0,465
1,683	-56,5	-0,466
1,702	-57	-0,466
1,715	-57	-0,467
1,735	-57,5	-0,468
1,757	-58	-0,47
1,777	-59	-0,47
1,796	-59	-0,471
1,815	-59	-0,472
1,827	-59,5	-0,473
1,84	-59,5	-0,474
1,862	-60	-0,474
1,876	-60	-0,475
1,891	-60,5	-0,476
1,904	-61	-0,476
1,917	-61	-0,478
1,936	-61,5	-0,478
1,952	-61,5	-0,479
1,971	-61,5	-0,48
1,994	-62,5	-0,481
2,011	-62,5	-0,482
2,031	-63	-0,483
2,047	-63	-0,484
2,06	-63,5	-0,484
2,08	-64	-0,485
2,097	-64	-0,486
2,109	-64,5	-0,486
2,122	-64,5	-0,488
2,141	-65	-0,488
2,158	-65	-0,489
2,171	-65,5	-0,49
2,184	-65,5	-0,491
2,203	-66	-0,492
2,221	-66,5	-0,492
2,238	-66,5	-0,493
2,251	-66,5	-0,494
2,265	-67	-0,494
2,277	-67	-0,495
2,29	-68	-0,496
2,315	-68	-0,497
2,332	-68	-0,498
2,344	-68,5	-0,498
2,359	-68,5	-0,499
2,372	-69	-0,5
2,385	-69,5	-0,501
2,405	-69,5	-0,502
2,425	-70	-0,503
2,441	-70,5	-0,503
2,454	-70,5	-0,504
2,469	-71	-0,505
2,487	-71	-0,506
2,502	-71,5	-0,507
2,521	-72	-0,507
2,536	-72	-0,508
2,551	-72,5	-0,509
2,563	-72,5	-0,509
2,575	-73	-0,51
2,588	-73	-0,511
2,602	-73,5	-0,511
2,616	-73,5	-0,512
2,628	-74	-0,513
2,642	-74	-0,513
2,655	-74,5	-0,514
2,675	-75	-0,515
2,694	-75	-0,516
2,709	-75,5	-0,517
2,723	-76	-0,517
2,738	-76	-0,518
2,757	-76,5	-0,52
2,779	-77	-0,52
2,795	-77	-0,521
2,809	-78	-0,522
2,822	-78,5	-0,522
2,841	-78,5	-0,524
2,86	-78,5	-0,524
2,875	-78,5	-0,525
2,89	-79	-0,526
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,381
0	-30	-0,381
0,014	-30	-0,382
0,031	-30,5	-0,383
0,05	-30,5	-0,384
0,063	-30,5	-0,384
0,075	-30,5	-0,385
0,088	-31	-0,386
0,101	-31	-0,386
0,115	-31	-0,387
0,127	-31	-0,388
0,139	-31,5	-0,388
0,155	-31,5	-0,389
0,169	-32	-0,39
0,184	-32	-0,391
0,197	-32,5	-0,391
0,209	-32,5	-0,392
0,226	-32,5	-0,393
0,244	-33	-0,394
0,259	-33	-0,394
0,273	-33,5	-0,395
0,29	-33,5	-0,396
0,306	-33,5	-0,397
0,32	-34	-0,398
0,34	-34,5	-0,399
0,359	-34,5	-0,399
0,374	-35	-0,4
0,386	-35	-0,401
0,4	-35	-0,402
0,418	-35	-0,402
0,431	-35	-0,403
0,443	-36	-0,404
0,461	-36	-0,404
0,477	-36	-0,405
0,492	-36,5	-0,406
0,506	-36,5	-0,406
0,518	-36,5	-0,407
0,533	-36,5	-0,408
0,551	-37,5	-0,409
0,564	-37,5	-0,41
0,581	-37,5	-0,41
0,597	-38	-0,411
0,609	-38	-0,412
0,622	-38,5	-0,412
0,635	-38,5	-0,413
0,654	-39	-0,414
0,669	-39	-0,415
0,682	-39,5	-0,415
0,694	-39,5	-0,416
0,709	-39,5	-0,417
0,725	-40	-0,418
0,741	-40	-0,419
0,758	-41	-0,419
0,771	-41	-0,42
0,785	-41	-0,421
0,802	-41,5	-0,422
0,821	-41,5	-0,423
0,84	-42	-0,424
0,856	-42,5	-0,424
0,876	-43	-0,425
0,893	-43	-0,426
0,906	-43	-0,427
0,92	-43	-0,428
0,937	-43,5	-0,428
0,95	-43,5	-0,429
0,968	-44	-0,43
0,987	-44,5	-0,431
1,006	-45	-0,432
1,021	-45	-0,432
1,038	-45	-0,433
1,052	-45	-0,434
1,068	-45,5	-0,435
1,083	-46	-0,435
1,098	-46	-0,436
1,113	-46,5	-0,437
1,125	-46,5	-0,438
1,145	-46,5	-0,439
1,16	-47,5	-0,439
1,172	-47,5	-0,44
1,187	-48	-0,441
1,205	-48	-0,442
1,22	-48	-0,443
1,24	-48,5	-0,444
1,259	-48,5	-0,444
1,273	-49,5	-0,445
1,285	-49,5	-0,446
1,305	-49,5	-0,447
1,32	-50	-0,448
1,337	-50,5	-0,448
1,356	-50,5	-0,449
1,371	-51,5	-0,45
1,384	-51,5	-0,451
1,397	-51,5	-0,451
1,409	-51,5	-0,452
1,423	-52	-0,453
1,437	-52	-0,453
1,453	-52	-0,454
1,466	-52	-0,455
1,48	-53	-0,456
1,5	-53	-0,457
1,521	-53,5	-0,458
1,537	-53,5	-0,458
1,55	-54	-0,459
1,567	-54	-0,46
1,58	-54,5	-0,461
1,601	-55	-0,461
1,614	-55	-0,462
1,633	-55,5	-0,463
1,649	-56	-0,464
1,667	-56	-0,465
1,683	-56,5	-0,466
1,702	-57	-0,466
1,715	-57	-0,467
1,735	-57,5	-0,468
1,757	-58	-0,47
1,777	-59	-0,47
1,796	-59	-0,471
1,815	-59	-0,472
1,827	-59,5	-0,473
1,84	-59,5	-0,474
1,862	-60	-0,474
1,876	-60	-0,475
1,891	-60,5	-0,476
1,904	-61	-0,476
1,917	-61	-0,478
1,936	-61,5	-0,478
1,952	-61,5	-0,479
1,971	-61,5	-0,48
1,994	-62,5	-0,481
2,011	-62,5	-0,482
2,031	-63	-0,483
2,047	-63	-0,484
2,06	-63,5	-0,484
2,08	-64	-0,485
2,097	-64	-0,486
2,109	-64,5	-0,486
2,122	-64,5	-0,488
2,141	-65	-0,488
2,158	-65	-0,489
2,171	-65,5	-0,49
2,184	-65,5	-0,491
2,203	-66	-0,492
2,221	-66,5	-0,492
2,238	-66,5	-0,493
2,251	-66,5	-0,494
2,265	-67	-0,494
2,277	-67	-0,495
2,29	-68	-0,496
2,315	-68	-0,497
2,332	-68	-0,498
2,344	-68,5	-0,498
2,359	-68,5	-0,499
2,372	-69	-0,5
2,385	-69,5	-0,501
2,405	-69,5	-0,502
2,425	-70	-0,503
2,441	-70,5	-0,503
2,454	-70,5	-0,504
2,469	-71	-0,505
2,487	-71	-0,506
2,502	-71,5	-0,507
2,521	-72	-0,507
2,536	-72	-0,508
2,551	-72,5	-0,509
2,563	-72,5	-0,509
2,575	-73	-0,51
2,588	-73	-0,511
2,602	-73,5	-0,511
2,616	-73,5	-0,512
2,628	-74	-0,513
2,642	-74	-0,513
2,655	-74,5	-0,514
2,675	-75	-0,515
2,694	-75	-0,516
2,709	-75,5	-0,517
2,723	-76	-0,517
2,738	-76	-0,518
2,757	-76,5	-0,52
2,779	-77	-0,52
2,795	-77	-0,521
2,809	-78	-0,522
2,822	-78,5	-0,522
2,841	-78,5	-0,524
2,86	-78,5	-0,524
2,875	-78,5	-0,525
2,89	-79	-0,526
