Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,38
0	-30	-0,38
0,018	-30	-0,381
0,032	-30	-0,382
0,05	-30	-0,383
0,074	-30,5	-0,384
0,088	-31	-0,385
0,102	-31	-0,385
0,115	-31,5	-0,386
0,132	-32	-0,387
0,152	-32	-0,388
0,167	-32	-0,388
0,181	-32	-0,39
0,2	-32,5	-0,39
0,214	-33	-0,391
0,228	-33	-0,392
0,243	-33,5	-0,392
0,255	-33,5	-0,393
0,268	-34	-0,394
0,28	-34	-0,394
0,296	-34,5	-0,396
0,319	-34,5	-0,396
0,333	-34,5	-0,397
0,346	-35,5	-0,398
0,359	-35,5	-0,398
0,371	-35,5	-0,399
0,389	-35,5	-0,4
0,404	-36	-0,401
0,42	-36,5	-0,401
0,436	-36,5	-0,402
0,457	-37	-0,403
0,47	-37,5	-0,404
0,484	-37,5	-0,404
0,498	-37,5	-0,405
0,511	-37,5	-0,406
0,525	-38,5	-0,406
0,538	-38,5	-0,407
0,554	-39	-0,408
0,573	-39,5	-0,409
0,588	-39,5	-0,41
0,602	-40	-0,41
0,616	-40	-0,411
0,63	-40,5	-0,412
0,646	-40,5	-0,412
0,66	-41	-0,413
0,674	-41,5	-0,414
0,699	-42	-0,415
0,712	-42	-0,416
0,725	-42	-0,416
0,739	-42,5	-0,417
0,752	-43	-0,418
0,765	-43	-0,418
0,78	-43,5	-0,419
0,795	-43,5	-0,42
0,813	-44	-0,421
0,827	-44	-0,422
0,839	-44	-0,422
0,852	-44	-0,423
0,864	-45	-0,424
0,878	-45	-0,424
0,891	-45,5	-0,425
0,908	-46	-0,426
0,923	-46	-0,426
0,938	-46,5	-0,427
0,958	-47	-0,428
0,976	-47	-0,429
0,993	-47,5	-0,43
1,009	-48	-0,431
1,024	-48	-0,431
1,036	-48,5	-0,432
1,052	-48,5	-0,433
1,077	-49,5	-0,434
1,093	-50	-0,435
1,109	-50	-0,436
1,126	-50,5	-0,436
1,144	-50,5	-0,438
1,162	-51,5	-0,438
1,179	-51,5	-0,439
1,195	-52	-0,44
1,212	-52,5	-0,441
1,233	-52,5	-0,442
1,246	-53	-0,442
1,263	-53	-0,443
1,28	-54	-0,444
1,297	-54	-0,445
1,314	-54	-0,446
1,329	-55	-0,447
1,346	-55	-0,448
1,36	-55	-0,448
1,373	-56	-0,449
1,388	-56	-0,45
1,404	-56,5	-0,45
1,421	-57	-0,451
1,437	-57	-0,452
1,458	-57,5	-0,453
1,477	-58	-0,454
1,496	-59	-0,455
1,513	-59	-0,456
1,527	-59	-0,456
1,542	-59	-0,457
1,555	-59,5	-0,458
1,572	-59,5	-0,459
1,589	-61	-0,46
1,614	-61	-0,461
1,628	-61,5	-0,461
1,642	-61,5	-0,462
1,654	-62	-0,463
1,667	-62	-0,463
1,682	-62,5	-0,464
1,698	-62,5	-0,465
1,714	-63	-0,466
1,733	-64	-0,467
1,748	-64	-0,468
1,763	-64	-0,468
1,778	-64	-0,469
1,791	-65	-0,47
1,804	-65,5	-0,47
1,82	-65,5	-0,471
1,837	-66	-0,472
1,853	-66	-0,473
1,866	-66,5	-0,473
1,881	-67	-0,474
1,895	-67	-0,475
1,91	-67,5	-0,476
1,924	-67,5	-0,476
1,938	-68	-0,477
1,955	-68	-0,478
1,971	-68,5	-0,479
1,984	-69,5	-0,479
1,998	-69,5	-0,48
2,01	-70	-0,481
2,023	-70	-0,481
2,035	-70,5	-0,482
2,049	-70,5	-0,482
2,061	-70,5	-0,483
2,073	-71	-0,484
2,089	-72	-0,485
2,105	-72	-0,486
2,125	-72	-0,486
2,143	-72,5	-0,487
2,155	-72,5	-0,488
2,168	-73	-0,488
2,18	-73	-0,489
2,192	-74	-0,49
2,205	-74	-0,49
2,218	-74,5	-0,491
2,231	-74,5	-0,491
2,243	-75	-0,492
2,255	-75	-0,493
2,267	-75,5	-0,493
2,279	-75,5	-0,494
2,291	-76	-0,494
2,307	-76	-0,495
2,323	-77	-0,496
2,338	-77	-0,497
2,355	-77	-0,498
2,367	-77	-0,498
2,379	-77,5	-0,499
2,394	-78,5	-0,5
2,406	-78,5	-0,5
2,418	-79	-0,501
2,432	-79	-0,502
2,447	-79,5	-0,502
2,462	-79,5	-0,503
