Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,616
0	-30	-0,618
0,019	-30	-0,618
0,035	-30,5	-0,619
0,053	-30,5	-0,62
0,072	-31,5	-0,621
0,094	-31,5	-0,622
0,108	-31,5	-0,623
0,127	-31,5	-0,624
0,144	-31,5	-0,624
0,159	-32	-0,625
0,175	-32	-0,626
0,192	-32,5	-0,627
0,208	-32,5	-0,628
0,22	-32,5	-0,628
0,237	-33	-0,629
0,252	-33	-0,63
0,264	-33,5	-0,631
0,278	-33,5	-0,632
0,3	-34	-0,632
0,313	-34	-0,633
0,326	-34	-0,634
0,34	-34	-0,634
0,353	-34	-0,635
0,367	-34,5	-0,636
0,382	-34,5	-0,636
0,395	-35	-0,637
0,413	-35,5	-0,638
0,428	-35,5	-0,638
0,44	-35,5	-0,639
0,455	-35,5	-0,64
0,467	-36	-0,641
0,484	-36	-0,642
0,504	-36,5	-0,642
0,519	-36,5	-0,643
0,531	-36,5	-0,644
0,543	-37	-0,644
0,555	-37	-0,645
0,567	-37,5	-0,646
0,582	-37,5	-0,647
0,606	-38	-0,648
0,624	-38,5	-0,649
0,645	-38,5	-0,65
0,66	-38,5	-0,65
0,674	-39	-0,651
0,686	-39	-0,652
0,702	-39,5	-0,652
0,718	-39,5	-0,653
0,731	-40	-0,654
0,745	-40	-0,654
0,759	-40	-0,655
0,771	-40	-0,656
0,783	-40,5	-0,657
0,799	-41	-0,658
0,82	-41,5	-0,659
0,84	-41,5	-0,66
0,857	-41,5	-0,66
0,87	-41,5	-0,661
0,883	-41,5	-0,662
0,896	-41,5	-0,662
0,91	-42,5	-0,663
0,922	-42,5	-0,663
0,934	-42,5	-0,664
0,948	-43	-0,665
0,967	-43	-0,666
0,98	-43	-0,666
0,995	-43	-0,667
1,017	-44	-0,668
1,033	-44	-0,669
1,048	-44	-0,67
1,063	-44	-0,67
1,08	-44,5	-0,672
1,098	-44,5	-0,672
1,112	-45	-0,673
1,124	-45	-0,674
1,144	-45	-0,675
1,165	-45,5	-0,676
1,18	-45,5	-0,676
1,192	-46	-0,677
1,207	-46,5	-0,678
1,226	-46,5	-0,679
1,243	-46,5	-0,679
1,256	-46,5	-0,68
1,27	-47	-0,681
1,286	-47	-0,681
1,298	-47	-0,682
1,313	-48	-0,683
1,328	-48	-0,684
1,343	-48	-0,685
1,362	-48	-0,686
1,38	-48	-0,686
1,393	-48,5	-0,687
1,406	-49	-0,688
1,432	-49	-0,689
1,448	-49,5	-0,69
1,461	-49,5	-0,69
1,473	-50	-0,691
1,488	-50	-0,692
1,509	-50,5	-0,693
1,523	-51	-0,694
1,544	-51	-0,695
1,565	-51,5	-0,696
1,58	-51,5	-0,696
1,593	-51,5	-0,697
1,608	-51,5	-0,698
1,628	-52	-0,699
1,648	-52,5	-0,7
1,672	-52,5	-0,701
1,687	-52,5	-0,701
1,701	-53	-0,702
1,715	-53	-0,703
1,73	-53	-0,704
1,747	-53,5	-0,705
1,766	-53,5	-0,706
1,782	-54	-0,706
1,796	-54	-0,707
1,815	-54	-0,708
1,829	-54,5	-0,709
1,844	-54,5	-0,709
1,856	-55	-0,71
1,872	-55	-0,711
1,892	-55,5	-0,712
1,905	-55,5	-0,712
1,917	-55,5	-0,713
1,93	-56	-0,714
1,949	-56	-0,715
1,968	-56	-0,716
1,983	-56,5	-0,716
2,002	-56,5	-0,718
2,02	-56,5	-0,718
2,036	-57	-0,719
2,056	-57,5	-0,72
2,076	-57,5	-0,721
2,099	-57,5	-0,722
2,114	-58	-0,723
2,129	-58	-0,724
2,144	-58,5	-0,724
2,162	-58,5	-0,726
2,185	-58,5	-0,726
2,203	-58,5	-0,727
2,221	-59	-0,728
2,239	-59,5	-0,729
2,252	-59,5	-0,73
2,27	-59,5	-0,731
2,286	-59,5	-0,732
2,306	-59,5	-0,732
2,318	-60	-0,733
2,331	-60	-0,734
2,347	-60,5	-0,734
2,361	-60,5	-0,735
2,376	-60,5	-0,736
2,392	-61	-0,737
2,413	-61	-0,738
2,425	-61	-0,738
2,44	-61	-0,739
2,456	-61,5	-0,74
2,472	-61,5	-0,741
2,486	-61,5	-0,741
2,499	-62	-0,742
2,518	-62	-0,743
2,534	-62	-0,744
2,551	-62,5	-0,745
2,566	-62,5	-0,746
2,579	-62,5	-0,746
2,593	-62,5	-0,747
2,609	-63	-0,748
2,627	-63	-0,749
2,643	-63	-0,749
2,659	-63,5	-0,75
2,675	-63,5	-0,751
2,692	-63,5	-0,752
2,708	-64	-0,753
2,724	-64	-0,753
2,741	-64	-0,754
2,758	-64	-0,755
2,774	-64,5	-0,756
2,789	-64,5	-0,756
2,805	-64,5	-0,758
2,826	-65	-0,759
2,849	-65,5	-0,76
2,868	-65,5	-0,761
2,887	-65,5	-0,762
2,904	-65,5	-0,762
2,918	-65,5	-0,763
2,932	-66	-0,764
2,952	-66	-0,765
2,972	-66	-0,766
2,99	-66,5	-0,766
3,004	-66,5	-0,767
3,019	-66,5	-0,768
3,032	-66,5	-0,769
3,051	-66,5	-0,77
3,064	-67	-0,77
3,078	-67	-0,771
3,093	-67	-0,772
3,11	-67,5	-0,772
3,122	-67,5	-0,773
3,134	-67,5	-0,774
3,147	-67,5	-0,774
3,161	-67,5	-0,775
3,175	-67,5	-0,776
3,189	-68	-0,777
3,206	-68	-0,777
3,219	-68	-0,778
3,233	-68	-0,778
3,244	-68	-0,779
3,26	-68	-0,78
3,273	-68,5	-0,78
3,285	-68,5	-0,781
3,298	-68,5	-0,782
3,313	-68,5	-0,783
3,337	-68,5	-0,784
3,353	-69	-0,784
3,366	-69	-0,785
3,378	-69	-0,786
3,391	-69	-0,786
3,404	-69	-0,787
3,418	-69	-0,788
3,43	-69	-0,789
3,45	-69,5	-0,79
3,468	-69,5	-0,79
3,482	-69,5	-0,791
3,496	-70	-0,792
3,51	-70	-0,792
3,522	-70	-0,793
3,539	-70	-0,794
3,556	-70	-0,795
3,569	-70	-0,795
3,583	-70,5	-0,796
3,599	-70,5	-0,797
3,615	-70,5	-0,798
3,632	-70,5	-0,799
3,661	-71	-0,8
3,676	-71	-0,801
3,689	-71	-0,802
3,703	-71	-0,802
3,719	-71	-0,803
3,734	-71,5	-0,804
3,752	-71,5	-0,805
3,766	-71,5	-0,805
3,779	-71,5	-0,806
3,792	-71,5	-0,807
3,812	-71,5	-0,808
3,83	-72	-0,808
3,845	-72	-0,809
3,857	-71,5	-0,81
3,869	-71,5	-0,81
3,884	-72	-0,811
3,9	-72	-0,812
3,914	-72	-0,813
3,932	-72	-0,814
3,946	-72	-0,814
3,962	-72	-0,816
3,989	-72	-0,816
4,006	-72	-0,817
4,018	-72,5	-0,818
4,039	-72,5	-0,819
4,057	-72,5	-0,82
4,07	-72,5	-0,821
4,088	-72,5	-0,822
4,104	-72,5	-0,822
4,118	-73	-0,823
4,135	-73	-0,824
4,153	-73	-0,825
4,167	-73	-0,825
4,18	-73	-0,826
4,196	-73	-0,827
4,209	-73	-0,828
4,223	-73	-0,828
4,235	-73	-0,829
4,249	-73,5	-0,83
4,267	-73	-0,83
4,283	-73	-0,831
4,298	-73,5	-0,832
4,31	-73,5	-0,832
4,322	-73,5	-0,833
4,334	-73,5	-0,834
4,349	-73,5	-0,834
4,362	-73,5	-0,835
4,375	-73,5	-0,836
4,393	-73,5	-0,837
4,415	-73,5	-0,838
4,428	-73,5	-0,838
4,442	-73,5	-0,839
4,455	-73,5	-0,84
4,476	-73,5	-0,841
4,49	-73,5	-0,841
4,504	-73,5	-0,842
4,517	-74	-0,843
4,534	-74	-0,844
4,557	-74	-0,845
4,571	-74	-0,845
4,584	-73,5	-0,846
4,604	-74	-0,847
4,622	-74	-0,848
4,637	-74	-0,849
4,654	-74	-0,85
4,673	-74	-0,851
4,691	-74	-0,852
4,707	-74	-0,852
4,723	-74	-0,853
4,742	-74	-0,854
4,758	-74	-0,855
4,77	-74	-0,856
4,785	-74	-0,856
4,796	-74	-0,857
4,819	-74	-0,858
4,834	-74	-0,859
4,848	-74	-0,86
4,864	-74	-0,86
4,88	-74	-0,861
4,896	-74	-0,862
4,911	-74	-0,862
4,927	-74	-0,863
4,939	-73,5	-0,864
4,956	-73,5	-0,865
