Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,376
0	-30	-0,377
0,018	-30	-0,378
0,039	-30,5	-0,379
0,057	-31	-0,38
0,08	-31	-0,381
0,095	-31,5	-0,382
0,11	-31,5	-0,383
0,128	-32	-0,384
0,141	-32	-0,384
0,154	-32	-0,385
0,167	-32,5	-0,386
0,186	-32,5	-0,386
0,199	-33	-0,387
0,214	-33	-0,388
0,228	-33,5	-0,388
0,24	-33,5	-0,389
0,255	-33,5	-0,39
0,273	-34	-0,391
0,287	-34	-0,392
0,31	-35	-0,393
0,326	-35	-0,394
0,348	-35	-0,394
0,361	-35	-0,395
0,375	-35,5	-0,396
0,387	-35,5	-0,397
0,404	-36,5	-0,397
0,417	-36,5	-0,398
0,433	-37	-0,399
0,448	-37	-0,4
0,46	-37,5	-0,4
0,472	-37,5	-0,401
0,486	-37,5	-0,401
0,499	-37,5	-0,402
0,512	-38,5	-0,403
0,531	-39	-0,404
0,548	-39	-0,405
0,564	-39	-0,406
0,585	-39,5	-0,406
0,603	-40	-0,407
0,622	-40	-0,408
0,637	-40,5	-0,409
0,652	-40,5	-0,41
0,676	-40,5	-0,411
0,69	-41	-0,412
0,708	-42	-0,412
0,723	-42	-0,413
0,737	-42	-0,414
0,75	-42	-0,414
0,764	-42,5	-0,415
0,78	-42,5	-0,416
0,796	-43	-0,417
0,813	-44	-0,418
0,832	-44	-0,419
0,853	-44	-0,42
0,865	-45	-0,42
0,88	-45	-0,421
0,893	-45	-0,422
0,907	-45,5	-0,423
0,923	-45,5	-0,424
0,94	-46	-0,424
0,959	-46	-0,425
0,973	-46,5	-0,426
0,986	-47	-0,427
1,003	-47	-0,428
1,019	-47,5	-0,428
1,032	-47,5	-0,429
1,046	-48	-0,43
1,062	-48,5	-0,43
1,078	-48,5	-0,431
1,095	-48,5	-0,432
1,11	-48,5	-0,432
1,122	-49,5	-0,433
1,136	-49,5	-0,434
1,148	-50	-0,435
1,167	-50,5	-0,435
1,182	-50,5	-0,436
1,2	-50,5	-0,437
1,216	-50,5	-0,438
1,228	-51,5	-0,438
1,244	-52	-0,439
1,26	-52	-0,44
1,279	-52,5	-0,441
1,296	-53	-0,442
1,313	-53	-0,443
1,33	-53,5	-0,444
1,347	-54	-0,444
1,359	-54	-0,445
1,38	-54	-0,446
1,396	-54,5	-0,447
1,41	-54,5	-0,448
1,424	-55,5	-0,449
1,448	-56	-0,45
1,464	-56	-0,45
1,483	-56,5	-0,451
1,501	-56,5	-0,452
1,519	-56,5	-0,453
1,533	-57,5	-0,454
1,546	-57,5	-0,454
1,558	-58	-0,455
1,576	-58	-0,456
1,589	-58	-0,457
1,612	-58,5	-0,458
1,624	-58,5	-0,458
1,641	-59	-0,459
1,655	-59,5	-0,46
1,668	-59,5	-0,46
1,683	-60	-0,461
1,699	-60	-0,462
1,717	-60,5	-0,463
1,731	-61	-0,464
1,748	-61	-0,464
1,76	-61,5	-0,465
1,778	-61,5	-0,466
1,794	-62	-0,467
1,81	-62,5	-0,467
1,823	-62,5	-0,468
1,838	-63	-0,469
1,861	-63,5	-0,47
1,885	-63,5	-0,472
1,907	-63,5	-0,472
1,925	-64	-0,473
1,938	-64,5	-0,474
1,951	-64,5	-0,475
1,967	-65	-0,476
1,984	-65	-0,476
1,998	-65,5	-0,477
2,015	-66	-0,478
2,029	-66	-0,478
2,042	-66,5	-0,479
2,055	-66,5	-0,48
2,07	-67	-0,481
2,085	-67	-0,481
2,1	-67	-0,482
2,113	-67	-0,483
2,132	-67,5	-0,484
2,151	-68	-0,484
2,166	-68,5	-0,485
2,182	-68,5	-0,486
2,199	-68,5	-0,487
2,211	-68,5	-0,488
2,224	-69	-0,488
2,237	-69	-0,489
2,249	-69,5	-0,489
2,262	-69,5	-0,49
2,277	-69,5	-0,491
2,302	-70	-0,492
2,321	-70,5	-0,493
2,343	-71	-0,494
2,362	-71	-0,495
2,375	-71,5	-0,496
2,388	-71,5	-0,496
2,406	-71,5	-0,498
2,429	-72	-0,498
2,447	-72	-0,499
2,459	-72,5	-0,5
2,477	-73	-0,501
2,493	-73	-0,501
2,505	-73	-0,502
2,524	-73	-0,503
2,541	-73	-0,504
2,557	-74	-0,505
2,571	-74	-0,505
2,584	-74	-0,506
2,597	-74	-0,507
2,611	-74	-0,508
2,628	-74,5	-0,508
2,64	-74,5	-0,509
2,654	-75	-0,51
2,669	-75	-0,511
2,686	-75,5	-0,511
