Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-1,099
0	-30	-1,1
0,012	-30	-1,1
0,026	-30	-1,101
0,039	-30	-1,102
0,055	-30	-1,103
0,073	-30,5	-1,103
0,085	-31	-1,104
0,104	-31	-1,105
0,117	-31	-1,106
0,133	-31	-1,107
0,151	-31,5	-1,108
0,171	-31,5	-1,108
0,188	-31,5	-1,109
0,203	-32,5	-1,11
0,221	-32,5	-1,111
0,241	-32,5	-1,112
0,257	-32,5	-1,112
0,269	-33	-1,113
0,282	-33	-1,114
0,301	-33,5	-1,115
0,317	-34	-1,116
0,338	-34	-1,117
0,353	-34	-1,118
0,367	-34	-1,118
0,382	-34,5	-1,119
0,401	-35	-1,12
0,419	-35	-1,121
0,432	-35	-1,122
0,445	-35,5	-1,122
0,467	-35,5	-1,123
0,481	-36	-1,124
0,494	-36	-1,124
0,508	-36,5	-1,126
0,531	-37	-1,126
0,549	-37	-1,128
0,567	-37	-1,128
0,586	-37,5	-1,129
0,606	-38	-1,13
0,623	-38	-1,131
0,647	-38,5	-1,132
0,666	-38,5	-1,133
0,679	-39	-1,134
0,697	-39	-1,135
0,713	-39,5	-1,135
0,726	-39,5	-1,136
0,738	-40	-1,136
0,75	-40,5	-1,137
0,769	-40,5	-1,138
0,784	-40,5	-1,139
0,798	-40,5	-1,14
0,812	-41,5	-1,14
0,825	-41,5	-1,141
0,837	-41,5	-1,142
0,85	-41,5	-1,142
0,869	-42	-1,143
0,884	-42,5	-1,144
0,902	-42,5	-1,145
0,921	-43	-1,146
0,941	-43	-1,147
0,955	-43,5	-1,148
0,976	-43,5	-1,149
0,996	-44	-1,15
1,015	-44,5	-1,151
1,034	-45	-1,152
1,05	-45	-1,152
1,063	-45	-1,153
1,076	-45	-1,153
1,088	-45,5	-1,154
1,106	-45,5	-1,155
1,122	-46	-1,156
1,136	-46,5	-1,157
1,155	-46,5	-1,158
1,17	-46,5	-1,158
1,192	-47	-1,159
1,205	-47	-1,16
1,221	-47,5	-1,161
1,238	-47,5	-1,162
1,256	-48	-1,163
1,278	-48	-1,164
1,293	-48	-1,164
1,307	-48,5	-1,165
1,323	-49	-1,166
1,335	-49	-1,166
1,351	-49,5	-1,168
1,371	-50	-1,168
1,39	-50	-1,17
1,409	-50,5	-1,17
1,425	-51	-1,171
1,447	-51,5	-1,172
1,468	-51,5	-1,174
1,487	-52	-1,174
1,5	-52	-1,175
1,523	-53	-1,176
1,545	-53	-1,178
1,568	-53	-1,178
1,582	-53,5	-1,179
1,596	-53,5	-1,18
1,608	-53,5	-1,18
1,62	-53,5	-1,181
1,632	-54,5	-1,182
1,65	-55	-1,182
1,665	-55	-1,183
1,681	-55,5	-1,184
1,695	-55,5	-1,185
1,715	-55,5	-1,186
1,737	-56	-1,186
1,751	-56	-1,187
1,763	-56,5	-1,188
1,777	-56,5	-1,188
1,79	-57	-1,189
1,804	-57,5	-1,19
1,826	-57,5	-1,191
1,847	-58	-1,192
1,861	-58,5	-1,193
1,875	-58,5	-1,193
1,889	-58,5	-1,194
1,909	-59	-1,195
1,926	-59	-1,196
1,938	-59,5	-1,196
1,951	-59,5	-1,197
1,964	-60	-1,198
1,983	-60	-1,199
1,999	-60,5	-1,2
2,013	-60,5	-1,2
2,026	-60,5	-1,201
2,039	-61,5	-1,202
2,051	-61,5	-1,202
2,064	-61,5	-1,203
2,077	-61,5	-1,204
2,089	-62	-1,204
2,105	-62	-1,205
2,123	-62	-1,206
2,141	-63	-1,207
2,159	-63	-1,208
2,175	-63,5	-1,209
2,197	-63,5	-1,21
2,211	-63,5	-1,21
2,225	-64	-1,211
2,245	-64,5	-1,212
2,264	-64,5	-1,213
2,278	-65	-1,213
2,29	-65	-1,214
2,308	-65	-1,215
2,321	-65,5	-1,216
2,335	-65,5	-1,216
2,349	-66	-1,217
2,362	-66	-1,218
2,376	-66,5	-1,219
2,394	-66,5	-1,219
2,406	-66,5	-1,22
2,427	-67	-1,221
2,442	-67	-1,222
2,454	-67,5	-1,222
2,469	-67,5	-1,223
2,482	-68	-1,224
2,496	-68	-1,224
2,509	-68,5	-1,225
2,528	-69	-1,227
2,552	-69	-1,228
2,572	-69	-1,228
2,585	-69,5	-1,229
2,598	-69,5	-1,23
2,613	-70	-1,23
2,627	-70	-1,231
2,638	-70,5	-1,232
2,652	-71	-1,233
2,67	-71	-1,233
2,686	-71,5	-1,234
2,7	-71,5	-1,235
2,716	-72	-1,236
2,734	-72	-1,236
2,751	-73	-1,237
2,768	-73	-1,238
2,786	-73	-1,239
2,807	-73,5	-1,24
2,826	-73,5	-1,241
2,84	-74	-1,242
2,853	-74	-1,242
2,871	-74,5	-1,243
2,888	-75	-1,244
2,901	-75	-1,244
2,915	-75,5	-1,246
2,931	-75,5	-1,246
2,948	-75,5	-1,247
2,963	-76,5	-1,248
2,979	-76,5	-1,248
2,993	-76,5	-1,249
3,005	-77	-1,25
3,027	-77	-1,251
3,04	-77,5	-1,252
3,055	-77,5	-1,253
3,077	-78	-1,254
3,094	-78,5	-1,255
3,111	-79	-1,256
3,13	-79	-1,256
3,146	-79,5	-1,257
3,16	-79,5	-1,258
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-1,099
0	-30	-1,1
0,012	-30	-1,1
0,026	-30	-1,101
0,039	-30	-1,102
0,055	-30	-1,103
0,073	-30,5	-1,103
0,085	-31	-1,104
0,104	-31	-1,105
0,117	-31	-1,106
0,133	-31	-1,107
0,151	-31,5	-1,108
0,171	-31,5	-1,108
0,188	-31,5	-1,109
0,203	-32,5	-1,11
0,221	-32,5	-1,111
0,241	-32,5	-1,112
0,257	-32,5	-1,112
0,269	-33	-1,113
0,282	-33	-1,114
0,301	-33,5	-1,115
0,317	-34	-1,116
0,338	-34	-1,117
0,353	-34	-1,118
0,367	-34	-1,118
0,382	-34,5	-1,119
0,401	-35	-1,12
0,419	-35	-1,121
0,432	-35	-1,122
0,445	-35,5	-1,122
0,467	-35,5	-1,123
0,481	-36	-1,124
0,494	-36	-1,124
0,508	-36,5	-1,126
0,531	-37	-1,126
0,549	-37	-1,128
0,567	-37	-1,128
0,586	-37,5	-1,129
0,606	-38	-1,13
0,623	-38	-1,131
0,647	-38,5	-1,132
0,666	-38,5	-1,133
0,679	-39	-1,134
0,697	-39	-1,135
0,713	-39,5	-1,135
0,726	-39,5	-1,136
0,738	-40	-1,136
0,75	-40,5	-1,137
0,769	-40,5	-1,138
0,784	-40,5	-1,139
0,798	-40,5	-1,14
0,812	-41,5	-1,14
0,825	-41,5	-1,141
0,837	-41,5	-1,142
0,85	-41,5	-1,142
0,869	-42	-1,143
0,884	-42,5	-1,144
0,902	-42,5	-1,145
0,921	-43	-1,146
0,941	-43	-1,147
0,955	-43,5	-1,148
0,976	-43,5	-1,149
0,996	-44	-1,15
1,015	-44,5	-1,151
1,034	-45	-1,152
1,05	-45	-1,152
1,063	-45	-1,153
