Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,52
0	-30	-0,52
0,013	-30	-0,521
0,026	-30	-0,522
0,038	-30	-0,522
0,052	-30,5	-0,523
0,074	-30,5	-0,524
0,095	-31	-0,525
0,109	-31	-0,526
0,123	-31	-0,527
0,142	-31,5	-0,527
0,154	-31,5	-0,528
0,184	-32	-0,53
0,202	-32	-0,531
0,219	-32	-0,532
0,242	-32,5	-0,532
0,255	-32,5	-0,533
0,269	-33	-0,534
0,282	-33	-0,534
0,297	-33	-0,535
0,311	-33,5	-0,536
0,326	-33,5	-0,537
0,339	-33,5	-0,537
0,352	-33,5	-0,538
0,368	-34	-0,539
0,382	-34	-0,539
0,395	-34	-0,54
0,408	-34	-0,541
0,42	-34,5	-0,541
0,433	-34,5	-0,542
0,447	-35	-0,542
0,461	-35	-0,543
0,476	-35	-0,544
0,495	-35,5	-0,545
0,511	-35,5	-0,546
0,525	-35,5	-0,546
0,539	-35,5	-0,548
0,561	-36	-0,548
0,579	-36,5	-0,55
0,597	-36,5	-0,55
0,612	-36,5	-0,551
0,628	-37	-0,552
0,644	-37	-0,553
0,665	-37	-0,554
0,684	-37,5	-0,554
0,7	-38	-0,555
0,713	-38	-0,556
0,728	-38	-0,557
0,749	-38	-0,558
0,765	-38	-0,559
0,78	-39	-0,559
0,795	-39	-0,56
0,809	-39	-0,561
0,823	-39,5	-0,562
0,838	-39,5	-0,562
0,85	-39,5	-0,563
0,865	-39,5	-0,564
0,879	-40	-0,564
0,892	-40	-0,565
0,905	-40,5	-0,566
0,923	-40,5	-0,567
0,944	-40,5	-0,568
0,965	-41	-0,569
0,984	-41,5	-0,57
1,006	-41,5	-0,571
1,019	-41,5	-0,571
1,034	-41,5	-0,572
1,05	-41,5	-0,573
1,068	-42	-0,574
1,087	-42,5	-0,575
1,104	-42,5	-0,576
1,122	-42,5	-0,576
1,139	-43	-0,577
1,16	-43	-0,579
1,186	-43,5	-0,58
1,209	-44	-0,581
1,225	-44	-0,582
1,242	-44	-0,582
1,256	-44	-0,583
1,275	-44	-0,584
1,295	-44,5	-0,585
1,31	-44,5	-0,586
1,323	-44,5	-0,586
1,335	-45	-0,587
1,354	-45	-0,588
1,369	-45	-0,589
1,381	-45	-0,589
1,393	-45,5	-0,59
1,405	-45,5	-0,59
1,419	-46	-0,591
1,432	-46	-0,592
1,453	-46	-0,593
1,469	-46,5	-0,594
1,483	-46,5	-0,594
1,498	-47	-0,596
1,519	-47	-0,596
1,533	-47	-0,597
1,548	-47	-0,598
1,561	-47	-0,598
1,575	-47,5	-0,599
1,589	-47,5	-0,6
1,605	-47,5	-0,6
1,619	-48	-0,601
1,631	-48	-0,602
1,644	-48	-0,602
1,656	-48	-0,603
1,671	-48	-0,604
1,683	-48	-0,604
1,696	-48,5	-0,605
1,714	-48,5	-0,606
1,729	-48,5	-0,607
1,748	-48,5	-0,608
1,765	-48,5	-0,609
1,783	-49	-0,61
1,798	-49,5	-0,61
1,815	-49,5	-0,611
1,832	-49,5	-0,612
1,849	-50	-0,613
1,865	-50	-0,614
1,886	-50	-0,615
1,905	-50	-0,616
1,919	-50	-0,616
1,936	-50,5	-0,617
1,953	-50,5	-0,618
1,97	-50,5	-0,619
1,989	-50,5	-0,62
2,006	-51	-0,621
2,024	-51	-0,622
2,045	-51	-0,623
2,061	-51	-0,624
2,076	-51	-0,624
2,088	-51,5	-0,625
2,104	-51,5	-0,626
2,116	-51,5	-0,626
2,129	-51,5	-0,627
2,147	-51,5	-0,628
2,168	-52	-0,629
2,188	-52	-0,63
2,204	-52	-0,63
2,219	-52,5	-0,632
2,24	-52	-0,632
2,26	-52,5	-0,633
2,278	-52,5	-0,634
2,296	-52,5	-0,635
2,312	-52,5	-0,636
2,332	-52,5	-0,637
2,346	-53	-0,638
2,363	-53	-0,638
2,38	-53	-0,64
2,398	-53	-0,64
2,416	-53	-0,641
2,434	-53	-0,642
2,452	-53	-0,643
2,472	-53,5	-0,644
2,492	-53	-0,645
2,512	-53	-0,646
2,532	-53,5	-0,647
2,551	-53,5	-0,648
2,566	-53,5	-0,649
2,584	-53,5	-0,65
2,602	-54	-0,65
2,618	-54	-0,652
2,638	-54	-0,652
2,653	-54	-0,653
2,668	-54	-0,654
2,689	-54	-0,655
2,713	-54	-0,656
2,731	-54	-0,657
2,752	-54,5	-0,658
2,768	-54,5	-0,659
2,784	-54	-0,66
2,801	-54,5	-0,66
2,818	-54,5	-0,661
2,835	-54,5	-0,662
2,855	-54,5	-0,663
2,874	-54,5	-0,664
2,897	-54,5	-0,665
2,911	-54,5	-0,666
2,924	-54,5	-0,666
2,939	-54,5	-0,668
2,958	-55	-0,668
2,971	-55	-0,669
2,985	-55	-0,67
3	-55	-0,67
3,014	-55	-0,671
3,03	-55	-0,672
3,045	-55	-0,673
3,059	-55	-0,674
3,081	-55	-0,674
3,095	-55	-0,675
3,107	-55	-0,676
3,121	-55	-0,676
3,137	-55,5	-0,677
3,153	-55,5	-0,678
3,17	-55	-0,679
3,19	-55,5	-0,68
3,212	-55	-0,681
3,234	-55,5	-0,682
3,249	-55,5	-0,683
3,263	-55	-0,684
3,278	-55	-0,684
3,291	-55	-0,685
3,304	-55	-0,685
3,318	-55	-0,686
3,332	-55	-0,687
3,347	-55	-0,688
3,362	-55,5	-0,688
3,375	-55,5	-0,689
3,388	-55	-0,69
3,402	-55	-0,69
3,416	-55	-0,691
3,431	-55	-0,692
3,451	-55	-0,693
3,467	-55	-0,694
3,48	-55	-0,694
3,495	-55	-0,695
3,508	-55	-0,696
3,527	-55	-0,696
3,54	-54,5	-0,697
3,555	-54,5	-0,698
3,568	-54,5	-0,699
3,582	-54,5	-0,7
3,598	-54,5	-0,7
3,619	-54,5	-0,701
3,634	-54,5	-0,702
3,651	-54,5	-0,703
3,667	-54,5	-0,704
3,687	-54,5	-0,705
3,706	-54,5	-0,706
3,72	-54,5	-0,706
3,732	-54	-0,707
3,746	-54	-0,708
3,76	-54	-0,708
3,775	-54	-0,709
3,788	-54	-0,71
3,805	-54	-0,71
3,82	-54	-0,711
3,835	-54	-0,712
3,847	-54	-0,712
3,859	-53,5	-0,713
3,871	-53,5	-0,714
3,882	-53,5	-0,714
3,897	-53,5	-0,715
3,909	-53	-0,716
3,921	-53	-0,716
3,934	-53	-0,717
3,953	-53	-0,718
3,972	-53	-0,719
3,991	-53	-0,72
4,01	-53	-0,721
4,03	-53	-0,722
4,049	-53	-0,723
4,068	-52,5	-0,724
4,087	-52,5	-0,725
4,105	-52,5	-0,726
4,125	-52,5	-0,727
4,145	-52	-0,728
4,164	-52	-0,729
4,184	-52	-0,73
4,204	-52	-0,731
4,22	-52	-0,732
4,238	-52	-0,732
4,254	-52	-0,733
4,274	-52	-0,734
4,292	-51,5	-0,735
4,311	-51,5	-0,736
4,33	-51,5	-0,737
4,35	-51,5	-0,738
4,368	-51	-0,739
4,387	-51,5	-0,74
4,407	-51,5	-0,741
4,426	-51,5	-0,742
4,443	-51,5	-0,742
4,454	-51,5	-0,743
4,467	-51,5	-0,744
4,483	-51,5	-0,744
4,495	-51	-0,745
4,511	-51	-0,746
4,528	-51	-0,747
4,548	-51	-0,748
4,566	-51	-0,748
4,581	-51	-0,75
4,601	-51	-0,75
4,619	-50,5	-0,752
4,638	-50,5	-0,752
4,657	-50,5	-0,753
4,675	-50,5	-0,754
4,694	-50,5	-0,755
4,71	-50,5	-0,756
4,725	-50,5	-0,757
4,747	-50,5	-0,758
4,767	-50,5	-0,759
4,785	-50,5	-0,76
4,802	-50,5	-0,76
4,815	-50,5	-0,761
4,827	-50,5	-0,762
4,839	-50,5	-0,762
4,851	-50	-0,763
4,863	-50	-0,763
4,875	-50	-0,764
4,887	-50,5	-0,764
4,898	-50,5	-0,765
4,911	-50	-0,766
4,924	-50	-0,766
4,936	-50	-0,767
4,948	-50	-0,768
4,96	-50	-0,768
4,974	-50	-0,769
4,986	-50	-0,769
4,998	-50	-0,77
5,014	-50	-0,771
5,026	-50	-0,772
5,043	-50	-0,772
5,062	-49,5	-0,773
5,078	-49,5	-0,774
5,093	-50	-0,775
5,11	-49,5	-0,776
5,124	-49,5	-0,776
5,141	-49,5	-0,777
5,158	-49,5	-0,778
5,174	-49,5	-0,779
5,193	-49	-0,78
5,209	-49,5	-0,78
5,221	-49,5	-0,781
5,234	-49,5	-0,782
5,246	-49,5	-0,783
5,266	-49	-0,784
5,281	-49	-0,784
5,293	-49	-0,785
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,52
0	-30	-0,52
0,013	-30	-0,521
0,026	-30	-0,522
0,038	-30	-0,522
0,052	-30,5	-0,523
0,074	-30,5	-0,524
0,095	-31	-0,525
0,109	-31	-0,526
0,123	-31	-0,527
0,142	-31,5	-0,527
0,154	-31,5	-0,528
0,184	-32	-0,53
0,202	-32	-0,531
0,219	-32	-0,532
0,242	-32,5	-0,532
0,255	-32,5	-0,533
0,269	-33	-0,534
0,282	-33	-0,534
0,297	-33	-0,535
0,311	-33,5	-0,536
0,326	-33,5	-0,537
0,339	-33,5	-0,537
0,352	-33,5	-0,538
0,368	-34	-0,539
0,382	-34	-0,539
0,395	-34	-0,54
0,408	-34	-0,541
0,42	-34,5	-0,541
0,433	-34,5	-0,542
0,447	-35	-0,542
