Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,317
0	-30	-0,318
0,025	-30	-0,319
0,041	-30	-0,32
0,056	-30,5	-0,32
0,07	-30,5	-0,321
0,083	-30,5	-0,322
0,101	-30,5	-0,322
0,113	-31	-0,323
0,125	-31	-0,324
0,14	-31,5	-0,324
0,153	-31,5	-0,325
0,17	-31,5	-0,326
0,186	-31,5	-0,327
0,206	-31,5	-0,328
0,221	-32	-0,329
0,241	-32,5	-0,33
0,258	-32,5	-0,331
0,275	-32,5	-0,332
0,294	-33	-0,332
0,311	-33	-0,334
0,334	-34	-0,334
0,348	-34	-0,335
0,36	-34	-0,336
0,372	-34	-0,336
0,39	-34	-0,337
0,403	-34	-0,338
0,419	-34,5	-0,338
0,431	-34,5	-0,339
0,449	-35	-0,34
0,464	-35	-0,341
0,479	-35	-0,342
0,494	-35,5	-0,342
0,509	-35,5	-0,343
0,529	-36	-0,344
0,544	-36,5	-0,345
0,557	-36,5	-0,346
0,577	-36,5	-0,346
0,598	-37	-0,348
0,614	-37	-0,348
0,63	-37,5	-0,349
0,643	-38	-0,35
0,657	-38	-0,35
0,676	-38,5	-0,352
0,695	-38,5	-0,353
0,716	-38,5	-0,353
0,73	-39	-0,354
0,745	-39	-0,355
0,761	-39	-0,356
0,781	-40	-0,357
0,795	-40	-0,357
0,808	-40,5	-0,358
0,826	-40,5	-0,359
0,842	-40,5	-0,36
0,854	-41,5	-0,36
0,871	-41,5	-0,362
0,893	-42	-0,362
0,909	-42,5	-0,363
0,927	-42,5	-0,364
0,946	-42,5	-0,365
0,961	-43	-0,366
0,977	-43	-0,366
0,993	-43	-0,367
1,012	-44	-0,368
1,028	-44	-0,369
1,043	-44	-0,37
1,06	-44,5	-0,37
1,076	-44,5	-0,371
1,093	-45	-0,372
1,109	-45,5	-0,373
1,125	-45,5	-0,374
1,141	-45,5	-0,374
1,156	-46	-0,375
1,17	-46	-0,376
1,187	-46,5	-0,377
1,201	-46,5	-0,378
1,216	-47	-0,378
1,231	-47	-0,379
1,248	-47	-0,38
1,262	-48	-0,381
1,279	-48	-0,381
1,292	-48,5	-0,382
1,305	-48,5	-0,383
1,32	-48,5	-0,384
1,342	-48,5	-0,385
1,361	-49,5	-0,386
1,375	-49,5	-0,386
1,389	-50	-0,387
1,407	-50	-0,388
1,424	-50,5	-0,389
1,437	-50,5	-0,389
1,452	-50,5	-0,39
1,469	-51,5	-0,391
1,486	-51,5	-0,392
1,505	-52	-0,392
1,518	-52	-0,393
1,531	-52	-0,394
1,548	-52,5	-0,395
1,563	-52,5	-0,396
1,587	-53	-0,397
1,602	-53,5	-0,398
1,618	-54	-0,398
1,631	-54	-0,399
1,648	-54	-0,4
1,663	-54	-0,401
1,685	-55	-0,402
1,699	-55,5	-0,402
1,712	-55,5	-0,403
1,728	-55,5	-0,404
1,744	-55,5	-0,404
1,758	-56	-0,405
1,777	-56,5	-0,406
1,789	-56,5	-0,407
1,805	-57	-0,408
1,82	-57	-0,409
1,84	-57,5	-0,41
1,856	-58	-0,41
1,871	-58	-0,411
1,887	-58,5	-0,412
1,903	-59	-0,412
1,916	-59	-0,414
1,935	-59	-0,414
1,949	-59	-0,415
1,961	-59,5	-0,416
1,975	-59,5	-0,416
1,987	-60	-0,417
2,004	-60,5	-0,418
2,02	-60,5	-0,418
2,038	-60,5	-0,419
2,053	-60,5	-0,42
2,068	-61	-0,42
2,081	-61,5	-0,421
2,093	-61,5	-0,422
2,106	-62	-0,422
2,12	-62	-0,423
2,134	-62	-0,424
2,15	-62	-0,425
2,166	-62,5	-0,426
2,187	-63	-0,427
2,201	-63	-0,427
2,215	-63,5	-0,428
2,231	-64	-0,429
2,248	-64	-0,43
2,266	-64	-0,431
2,284	-64,5	-0,431
2,296	-64,5	-0,432
2,309	-65	-0,433
2,323	-65	-0,434
2,338	-65,5	-0,434
2,356	-66	-0,436
2,387	-66,5	-0,437
2,406	-66,5	-0,438
2,424	-66,5	-0,439
2,437	-67	-0,439
2,454	-67	-0,44
2,474	-67,5	-0,441
2,489	-68	-0,442
2,503	-68	-0,442
2,515	-68,5	-0,443
2,531	-68,5	-0,444
2,544	-69	-0,444
2,556	-69	-0,445
2,569	-69	-0,446
2,585	-69	-0,447
2,605	-70	-0,448
2,623	-70	-0,448
2,64	-70	-0,449
2,655	-70,5	-0,45
2,67	-71	-0,451
2,687	-71	-0,452
2,703	-71,5	-0,452
2,718	-71,5	-0,453
2,732	-72	-0,454
2,751	-72	-0,455
2,765	-72	-0,455
2,777	-72	-0,456
2,795	-73	-0,457
2,815	-73	-0,458
2,829	-73,5	-0,458
2,842	-73,5	-0,459
2,856	-74	-0,46
2,871	-74	-0,46
2,883	-74,5	-0,462
2,901	-75	-0,462
2,913	-75	-0,463
2,93	-75,5	-0,464
2,944	-75,5	-0,464
2,958	-76	-0,465
2,97	-76	-0,466
2,986	-76	-0,467
3	-76	-0,467
3,016	-77	-0,468
3,03	-77,5	-0,469
3,048	-78	-0,47
3,07	-78	-0,471
3,089	-78	-0,472
3,104	-78	-0,472
3,116	-78,5	-0,473
3,129	-78,5	-0,474
3,146	-79	-0,474
3,158	-79,5	-0,475
3,171	-79,5	-0,476
