Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-1,18
0	-30	-1,181
0,013	-30	-1,182
0,027	-30,5	-1,182
0,04	-30,5	-1,183
0,053	-30,5	-1,184
0,067	-30,5	-1,184
0,08	-30,5	-1,185
0,094	-30,5	-1,186
0,108	-31	-1,186
0,12	-31	-1,187
0,136	-31,5	-1,188
0,15	-31,5	-1,189
0,163	-31,5	-1,19
0,179	-31,5	-1,19
0,191	-31,5	-1,191
0,203	-31,5	-1,191
0,215	-32	-1,192
0,231	-32	-1,193
0,246	-32	-1,193
0,259	-32	-1,194
0,273	-32	-1,195
0,287	-32,5	-1,195
0,3	-32,5	-1,196
0,313	-32,5	-1,197
0,326	-32,5	-1,197
0,338	-33	-1,198
0,353	-33	-1,198
0,365	-33,5	-1,199
0,383	-33,5	-1,2
0,397	-34	-1,201
0,414	-34,5	-1,202
0,427	-34,5	-1,202
0,442	-35	-1,203
0,456	-35	-1,204
0,472	-35	-1,204
0,486	-35	-1,205
0,499	-36	-1,206
0,52	-36,5	-1,207
0,537	-36,5	-1,208
0,549	-37	-1,209
0,566	-37,5	-1,209
0,578	-37,5	-1,21
0,591	-37,5	-1,211
0,605	-38	-1,211
0,619	-39	-1,212
0,631	-39	-1,213
0,646	-39	-1,214
0,661	-39,5	-1,215
0,683	-39,5	-1,215
0,698	-40	-1,216
0,71	-40	-1,217
0,724	-41	-1,217
0,737	-41	-1,218
0,751	-41,5	-1,219
0,764	-41,5	-1,219
0,777	-41,5	-1,22
0,796	-42	-1,221
0,812	-42	-1,222
0,827	-43	-1,223
0,844	-43,5	-1,224
0,862	-43,5	-1,224
0,875	-43,5	-1,225
0,888	-43,5	-1,226
0,904	-44	-1,226
0,922	-44	-1,228
0,949	-45,5	-1,228
0,964	-45,5	-1,229
0,978	-46	-1,23
0,991	-46	-1,231
1,011	-46,5	-1,232
1,033	-47,5	-1,232
1,047	-47,5	-1,233
1,062	-48	-1,234
1,08	-48,5	-1,235
1,097	-48,5	-1,236
1,117	-49	-1,237
1,135	-50,5	-1,238
1,151	-50,5	-1,238
1,166	-51	-1,239
1,182	-51,5	-1,24
1,201	-51,5	-1,242
1,223	-52	-1,242
1,24	-53	-1,243
1,259	-54	-1,244
1,278	-54	-1,245
1,295	-54,5	-1,246
1,313	-55	-1,247
1,329	-55	-1,248
1,344	-56,5	-1,248
1,365	-57	-1,25
1,385	-57,5	-1,25
1,406	-57,5	-1,251
1,423	-58	-1,252
1,436	-58	-1,253
1,449	-59	-1,253
1,462	-59	-1,254
1,474	-60	-1,254
1,486	-60	-1,255
1,499	-60,5	-1,256
1,511	-60,5	-1,256
1,522	-61	-1,257
1,535	-61	-1,258
1,547	-62	-1,258
1,56	-62	-1,259
1,574	-63	-1,259
1,589	-63	-1,26
1,602	-63,5	-1,261
1,622	-64	-1,262
1,64	-64	-1,263
1,66	-65,5	-1,264
1,686	-66	-1,265
1,702	-66,5	-1,266
1,718	-66,5	-1,267
1,737	-67	-1,268
1,76	-68	-1,269
1,776	-69	-1,27
1,791	-69	-1,27
1,806	-69,5	-1,271
1,818	-69,5	-1,272
1,833	-70,5	-1,272
1,849	-72	-1,273
1,865	-72	-1,274
1,878	-72	-1,275
1,891	-72	-1,275
1,905	-73	-1,276
1,918	-73	-1,277
1,933	-73,5	-1,277
1,945	-73,5	-1,278
1,958	-75	-1,278
1,97	-75,5	-1,28
1,994	-75,5	-1,28
2,008	-76	-1,281
2,02	-76	-1,282
2,033	-77	-1,282
2,047	-77	-1,283
2,062	-78,5	-1,284
2,082	-79	-1,285
2,095	-79	-1,286
2,115	-79,5	-1,287
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-1,18
0	-30	-1,181
0,013	-30	-1,182
0,027	-30,5	-1,182
0,04	-30,5	-1,183
0,053	-30,5	-1,184
0,067	-30,5	-1,184
0,08	-30,5	-1,185
0,094	-30,5	-1,186
0,108	-31	-1,186
0,12	-31	-1,187
0,136	-31,5	-1,188
0,15	-31,5	-1,189
0,163	-31,5	-1,19
0,179	-31,5	-1,19
0,191	-31,5	-1,191
0,203	-31,5	-1,191
0,215	-32	-1,192
0,231	-32	-1,193
0,246	-32	-1,193
0,259	-32	-1,194
0,273	-32	-1,195
0,287	-32,5	-1,195
0,3	-32,5	-1,196
0,313	-32,5	-1,197
0,326	-32,5	-1,197
0,338	-33	-1,198
0,353	-33	-1,198
0,365	-33,5	-1,199
0,383	-33,5	-1,2
0,397	-34	-1,201
0,414	-34,5	-1,202
0,427	-34,5	-1,202
0,442	-35	-1,203
0,456	-35	-1,204
0,472	-35	-1,204
0,486	-35	-1,205
0,499	-36	-1,206
0,52	-36,5	-1,207
0,537	-36,5	-1,208
0,549	-37	-1,209
0,566	-37,5	-1,209
0,578	-37,5	-1,21
0,591	-37,5	-1,211
0,605	-38	-1,211
0,619	-39	-1,212
0,631	-39	-1,213
0,646	-39	-1,214
0,661	-39,5	-1,215
0,683	-39,5	-1,215
0,698	-40	-1,216
0,71	-40	-1,217
0,724	-41	-1,217
0,737	-41	-1,218
0,751	-41,5	-1,219
0,764	-41,5	-1,219
0,777	-41,5	-1,22
0,796	-42	-1,221
0,812	-42	-1,222
0,827	-43	-1,223
0,844	-43,5	-1,224
0,862	-43,5	-1,224
0,875	-43,5	-1,225
0,888	-43,5	-1,226
0,904	-44	-1,226
0,922	-44	-1,228
0,949	-45,5	-1,228
0,964	-45,5	-1,229
0,978	-46	-1,23
0,991	-46	-1,231
1,011	-46,5	-1,232
1,033	-47,5	-1,232
1,047	-47,5	-1,233
1,062	-48	-1,234
1,08	-48,5	-1,235
1,097	-48,5	-1,236
1,117	-49	-1,237
1,135	-50,5	-1,238
1,151	-50,5	-1,238
1,166	-51	-1,239
1,182	-51,5	-1,24
1,201	-51,5	-1,242
1,223	-52	-1,242
1,24	-53	-1,243
1,259	-54	-1,244
1,278	-54	-1,245
1,295	-54,5	-1,246
1,313	-55	-1,247
1,329	-55	-1,248
1,344	-56,5	-1,248
1,365	-57	-1,25
1,385	-57,5	-1,25
1,406	-57,5	-1,251
1,423	-58	-1,252
1,436	-58	-1,253
1,449	-59	-1,253
1,462	-59	-1,254
1,474	-60	-1,254
1,486	-60	-1,255
1,499	-60,5	-1,256
1,511	-60,5	-1,256
1,522	-61	-1,257
1,535	-61	-1,258
1,547	-62	-1,258
1,56	-62	-1,259
1,574	-63	-1,259
1,589	-63	-1,26
1,602	-63,5	-1,261
1,622	-64	-1,262
1,64	-64	-1,263
1,66	-65,5	-1,264
1,686	-66	-1,265
1,702	-66,5	-1,266
1,718	-66,5	-1,267
1,737	-67	-1,268
1,76	-68	-1,269
1,776	-69	-1,27
1,791	-69	-1,27
1,806	-69,5	-1,271
1,818	-69,5	-1,272
1,833	-70,5	-1,272
1,849	-72	-1,273
1,865	-72	-1,274
1,878	-72	-1,275
1,891	-72	-1,275
1,905	-73	-1,276
1,918	-73	-1,277
1,933	-73,5	-1,277
1,945	-73,5	-1,278
1,958	-75	-1,278
