Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,749
0	-30	-0,75
0,014	-30	-0,751
0,032	-30	-0,752
0,047	-30,5	-0,752
0,061	-30,5	-0,753
0,076	-30,5	-0,754
0,09	-31,5	-0,754
0,102	-31,5	-0,755
0,118	-31,5	-0,756
0,136	-31,5	-0,757
0,153	-31,5	-0,758
0,167	-32	-0,759
0,195	-32,5	-0,76
0,211	-32,5	-0,761
0,226	-33	-0,761
0,241	-33	-0,762
0,253	-33	-0,763
0,267	-33,5	-0,764
0,288	-33,5	-0,765
0,308	-34	-0,765
0,321	-34,5	-0,766
0,335	-34,5	-0,767
0,349	-34,5	-0,768
0,371	-35	-0,768
0,385	-35	-0,769
0,403	-35	-0,77
0,417	-35	-0,771
0,43	-35,5	-0,771
0,444	-35,5	-0,772
0,456	-36	-0,773
0,469	-36	-0,774
0,486	-36	-0,774
0,499	-36,5	-0,775
0,512	-36,5	-0,775
0,525	-37	-0,776
0,54	-37	-0,777
0,557	-37	-0,778
0,571	-37	-0,778
0,585	-37	-0,779
0,601	-38	-0,78
0,616	-38	-0,781
0,629	-38	-0,781
0,645	-38	-0,782
0,659	-38	-0,783
0,671	-38	-0,783
0,682	-38,5	-0,784
0,695	-38,5	-0,784
0,707	-39	-0,785
0,719	-39	-0,786
0,733	-39,5	-0,786
0,745	-39,5	-0,787
0,759	-39,5	-0,788
0,771	-39,5	-0,788
0,783	-40	-0,789
0,795	-40	-0,79
0,807	-40	-0,79
0,819	-40,5	-0,791
0,831	-40,5	-0,792
0,842	-40,5	-0,792
0,856	-40,5	-0,793
0,869	-41	-0,794
0,884	-41	-0,794
0,901	-41	-0,795
0,915	-41,5	-0,796
0,929	-41,5	-0,796
0,941	-41,5	-0,797
0,955	-41,5	-0,798
0,969	-42	-0,798
0,982	-42	-0,799
0,995	-42	-0,8
1,009	-42	-0,8
1,021	-42,5	-0,801
1,036	-42,5	-0,802
1,05	-42,5	-0,802
1,062	-42,5	-0,803
1,076	-42,5	-0,804
1,088	-43	-0,804
1,108	-43	-0,806
1,131	-43,5	-0,806
1,148	-43,5	-0,808
1,17	-44	-0,808
1,189	-44	-0,81
1,212	-44	-0,811
1,23	-44,5	-0,811
1,243	-45	-0,812
1,255	-45	-0,813
1,267	-45	-0,813
1,281	-45	-0,814
1,294	-45	-0,815
1,315	-45	-0,816
1,328	-45,5	-0,816
1,341	-45,5	-0,817
1,354	-46	-0,818
1,375	-46,5	-0,819
1,392	-46,5	-0,82
1,407	-46,5	-0,82
1,423	-46,5	-0,822
1,448	-47	-0,822
1,465	-47	-0,823
1,482	-47	-0,824
