Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-1,111
0	-30	-1,112
0,014	-30	-1,112
0,026	-30	-1,113
0,04	-30	-1,114
0,056	-30,5	-1,115
0,069	-30,5	-1,115
0,085	-30,5	-1,116
0,101	-30,5	-1,117
0,119	-31,5	-1,118
0,139	-31,5	-1,119
0,156	-31,5	-1,12
0,169	-32	-1,12
0,183	-32,5	-1,121
0,201	-32,5	-1,122
0,217	-33	-1,123
0,237	-34	-1,124
0,256	-34	-1,125
0,273	-34	-1,126
0,289	-34,5	-1,126
0,307	-34,5	-1,127
0,324	-35,5	-1,128
0,34	-36	-1,129
0,36	-36	-1,13
0,378	-36	-1,131
0,396	-36,5	-1,132
0,414	-37,5	-1,132
0,43	-37,5	-1,133
0,444	-37,5	-1,134
0,46	-37,5	-1,135
0,475	-38	-1,136
0,496	-38,5	-1,137
0,516	-39	-1,138
0,534	-39	-1,138
0,549	-39,5	-1,139
0,563	-39,5	-1,14
0,582	-40	-1,141
0,598	-40,5	-1,142
0,617	-41	-1,143
0,634	-41	-1,144
0,649	-41,5	-1,144
0,666	-41,5	-1,145
0,681	-42	-1,146
0,693	-42	-1,147
0,711	-42,5	-1,148
0,733	-43,5	-1,148
0,747	-44	-1,149
0,761	-44	-1,15
0,782	-44,5	-1,151
0,798	-44,5	-1,152
0,814	-45	-1,153
0,829	-46	-1,153
0,842	-46	-1,154
0,855	-46,5	-1,154
0,87	-46,5	-1,155
0,885	-46,5	-1,156
0,9	-46,5	-1,157
0,913	-47	-1,157
0,926	-47	-1,158
0,938	-48	-1,158
0,951	-48	-1,16
0,97	-48,5	-1,16
0,986	-49	-1,161
1	-49	-1,162
1,013	-50	-1,162
1,027	-50	-1,163
1,039	-51	-1,164
1,054	-51	-1,164
1,067	-51,5	-1,165
1,081	-51,5	-1,166
1,094	-52	-1,166
1,109	-52,5	-1,167
1,123	-52,5	-1,168
1,144	-53,5	-1,169
1,156	-53,5	-1,17
1,169	-54	-1,17
1,181	-54	-1,171
1,193	-54,5	-1,172
1,212	-55,5	-1,172
1,228	-55,5	-1,173
1,242	-55,5	-1,174
1,254	-55,5	-1,175
1,274	-57	-1,176
1,287	-58	-1,176
1,299	-58	-1,177
1,316	-58	-1,178
1,336	-58	-1,178
