Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,513
0;-40;-0,514
0,019;-40;-0,515
0,033;-40;-0,515
0,046;-40,5;-0,516
0,057;-40,5;-0,516
0,07;-41,5;-0,517
0,083;-41,5;-0,518
0,097;-41,5;-0,519
0,114;-41,5;-0,52
0,127;-42;-0,52
0,14;-42;-0,521
0,16;-42;-0,522
0,18;-43;-0,523
0,195;-43,5;-0,524
0,208;-43,5;-0,524
0,221;-44;-0,525
0,233;-44;-0,526
0,244;-44;-0,526
0,257;-44;-0,527
0,269;-44;-0,527
0,281;-45;-0,528
0,294;-45;-0,529
0,31;-45;-0,53
0,328;-45,5;-0,53
0,346;-45,5;-0,531
0,361;-45,5;-0,532
0,379;-46,5;-0,533
0,394;-46,5;-0,533
0,407;-46,5;-0,534
0,421;-46,5;-0,535
0,438;-47,5;-0,536
0,457;-47,5;-0,536
0,469;-47,5;-0,537
0,484;-48,5;-0,538
0,496;-48,5;-0,538
0,51;-48,5;-0,539
0,522;-48,5;-0,54
0,539;-49;-0,54
0,552;-49,5;-0,541
0,566;-49,5;-0,542
0,583;-50,5;-0,543
0,598;-50,5;-0,544
0,612;-50,5;-0,544
0,626;-50,5;-0,545
0,64;-51;-0,546
0,653;-51;-0,546
0,666;-51,5;-0,547
0,681;-52,5;-0,548
0,696;-52,5;-0,548
0,711;-53;-0,549
0,727;-53;-0,55
0,745;-53,5;-0,551
0,759;-54;-0,552
0,772;-54;-0,552
0,788;-55;-0,553
0,8;-55;-0,554
0,814;-55,5;-0,555
0,83;-55,5;-0,556
0,846;-56;-0,556
0,862;-56,5;-0,557
0,882;-56,5;-0,558
0,895;-57,5;-0,558
0,908;-57,5;-0,559
0,921;-58;-0,56
0,935;-58;-0,56
0,947;-58,5;-0,561
0,959;-58,5;-0,562
0,971;-59;-0,562
0,984;-59;-0,563
0,996;-60;-0,563
1,008;-60;-0,564
1,02;-60,5;-0,565
1,036;-60,5;-0,566
1,053;-60,5;-0,566
1,069;-61;-0,567
1,084;-62;-0,568
1,106;-62;-0,569
1,121;-62,5;-0,57
1,133;-62,5;-0,57
1,147;-63;-0,571
1,159;-63;-0,572
1,171;-63,5;-0,572
1,184;-63,5;-0,573
1,197;-64,5;-0,573
1,209;-64,5;-0,574
1,221;-65;-0,574
1,233;-65;-0,575
1,244;-65,5;-0,576
1,258;-65,5;-0,576
1,271;-66;-0,577
1,287;-66;-0,578
1,306;-66,5;-0,58
1,328;-67;-0,58
1,344;-67;-0,581
1,357;-67,5;-0,582
1,369;-67,5;-0,582
1,381;-68;-0,583
1,394;-68;-0,584
1,409;-69;-0,584
1,424;-69,5;-0,585
1,44;-69,5;-0,586
1,457;-70;-0,586
1,472;-70;-0,588
1,491;-70,5;-0,588
1,506;-71,5;-0,589
1,518;-71,5;-0,59
1,532;-72;-0,59
1,544;-72;-0,591
1,557;-72,5;-0,591
1,569;-72,5;-0,592
1,581;-73;-0,592
1,593;-73;-0,593
1,607;-74;-0,594
1,626;-74;-0,595
1,638;-74,5;-0,595
1,651;-75;-0,596
1,67;-75;-0,597
1,683;-75,5;-0,598
1,695;-75,5;-0,598
1,707;-76,5;-0,599
1,72;-76,5;-0,6
1,734;-77;-0,6
1,746;-77;-0,601
1,761;-77,5;-0,602
1,777;-77,5;-0,602
1,793;-78;-0,603
1,811;-79;-0,604
1,828;-79;-0,605
1,841;-79,5;-0,606
1,854;-79,5;-0,606
1,868;-80;-0,607
1,882;-80;-0,608
1,896;-80,5;-0,608
1,909;-80,5;-0,609
1,921;-81,5;-0,61
1,942;-82;-0,611
1,955;-82;-0,611
1,968;-82,5;-0,612
1,983;-82,5;-0,613
1,999;-83;-0,614
2,012;-83;-0,614
2,024;-84;-0,615
2,039;-84,5;-0,616
2,053;-84,5;-0,616
2,068;-85;-0,617
2,085;-85;-0,618
2,101;-85,5;-0,618
2,118;-86,5;-0,619
2,132;-86,5;-0,62
2,146;-86,5;-0,621
2,159;-86,5;-0,621
2,172;-87;-0,622
2,186;-87;-0,623
2,2;-87,5;-0,624
2,215;-88,5;-0,624
2,232;-88,5;-0,625
2,245;-89,5;-0,626
2,261;-89,5;-0,627
2,281;-90;-0,628
2,302;-90;-0,629
2,325;-91;-0,63
2,341;-91;-0,631
2,357;-92;-0,632
2,373;-92;-0,632
2,386;-92;-0,633
2,401;-92,5;-0,634
2,414;-92,5;-0,634
2,428;-93,5;-0,635
2,441;-93,5;-0,636
2,454;-94;-0,636
2,468;-94;-0,637
2,484;-94,5;-0,638
2,505;-95;-0,639
2,522;-96;-0,64
2,545;-96;-0,641
2,559;-96,5;-0,642
2,575;-96,5;-0,642
2,59;-97;-0,643
2,608;-97,5;-0,644
2,62;-97,5;-0,644
2,634;-98,5;-0,645
2,65;-99;-0,646
2,668;-99;-0,647
2,685;-99,5;-0,648
2,705;-100;-0,649
2,724;-100;-0,65
2,74;-101;-0,65
2,756;-101,5;-0,652
2,778;-101,5;-0,652
2,79;-102;-0,653
2,803;-102;-0,654
2,817;-102;-0,654
2,828;-102;-0,655
2,843;-103,5;-0,656
2,856;-103,5;-0,656
2,872;-103,5;-0,657
2,89;-104,5;-0,658
2,911;-104,5;-0,659
2,925;-104,5;-0,66
2,939;-104,5;-0,66
2,952;-106;-0,661
2,967;-106,5;-0,662
2,983;-106,5;-0,663
3,003;-107;-0,664
3,022;-107,5;-0,665
3,04;-107,5;-0,666
3,054;-108,5;-0,666
3,069;-108,5;-0,667
3,083;-109;-0,668
3,103;-109,5;-0,669
3,116;-109,5;-0,67
3,131;-110;-0,67
3,15;-111;-0,671
3,164;-111;-0,672
3,177;-111,5;-0,672
3,19;-111,5;-0,673
3,205;-111,5;-0,674
3,219;-111,5;-0,674
3,231;-112;-0,675
3,244;-112;-0,676
3,26;-113;-0,676
3,275;-113,5;-0,678
3,295;-113,5;-0,678
3,307;-114;-0,679
3,321;-114;-0,68
3,334;-114,5;-0,68
3,348;-114,5;-0,681
3,361;-115,5;-0,681
3,373;-115,5;-0,682
3,385;-116;-0,683
3,398;-116;-0,684
3,414;-116,5;-0,684
3,431;-116,5;-0,685
3,447;-117;-0,686
3,466;-117,5;-0,687
3,481;-117,5;-0,688
3,494;-118,5;-0,688
3,508;-118,5;-0,689
3,521;-119;-0,69
3,536;-119;-0,69
3,549;-119,5;-0,691
