Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,488
0;-40;-0,488
0,016;-40,5;-0,489
0,03;-40,5;-0,49
0,043;-42;-0,49
0,059;-42,5;-0,491
0,073;-42,5;-0,492
0,086;-42,5;-0,492
0,101;-42,5;-0,493
0,117;-43;-0,494
0,136;-44;-0,495
0,156;-44;-0,496
0,173;-44,5;-0,497
0,189;-45;-0,498
0,205;-45;-0,498
0,22;-45,5;-0,499
0,238;-46,5;-0,5
0,254;-46,5;-0,501
0,268;-46,5;-0,501
0,282;-46,5;-0,502
0,296;-47;-0,503
0,309;-47;-0,503
0,322;-48;-0,504
0,34;-48;-0,505
0,353;-49;-0,506
0,369;-49,5;-0,507
0,388;-49,5;-0,507
0,403;-50;-0,508
0,415;-50;-0,509
0,429;-50,5;-0,509
0,448;-51,5;-0,511
0,469;-52,5;-0,511
0,484;-52,5;-0,512
0,498;-53;-0,513
0,51;-53;-0,514
0,531;-53,5;-0,515
0,552;-55;-0,516
0,57;-55,5;-0,517
0,588;-55,5;-0,518
0,607;-56,5;-0,519
0,624;-57;-0,52
0,643;-57;-0,52
0,664;-58;-0,521
0,677;-59;-0,522
0,692;-59;-0,523
0,708;-59,5;-0,523
0,722;-59,5;-0,524
0,739;-60;-0,525
0,754;-61,5;-0,526
0,768;-61,5;-0,526
0,782;-62,5;-0,527
0,795;-62,5;-0,528
0,812;-63;-0,528
0,828;-63;-0,529
0,842;-63,5;-0,53
0,858;-65;-0,531
0,873;-65;-0,532
0,889;-65,5;-0,532
0,907;-66;-0,533
0,922;-66;-0,534
0,934;-66,5;-0,534
0,95;-66,5;-0,536
0,97;-68;-0,537
0,996;-69;-0,538
1,023;-69,5;-0,539
1,038;-70;-0,54
1,051;-70;-0,54
1,065;-71,5;-0,541
1,079;-71,5;-0,542
1,094;-72;-0,542
1,107;-72;-0,543
1,12;-73;-0,544
1,136;-73;-0,545
1,154;-73,5;-0,546
1,172;-75;-0,546
1,185;-75;-0,547
1,197;-76;-0,548
1,211;-76;-0,548
1,225;-77;-0,549
1,243;-77,5;-0,55
1,26;-77,5;-0,551
1,275;-79;-0,552
1,29;-79;-0,552
1,305;-79,5;-0,553
1,318;-79,5;-0,554
1,331;-80,5;-0,554
1,344;-80,5;-0,555
1,358;-81,5;-0,556
1,372;-83;-0,556
1,388;-83;-0,558
1,409;-83,5;-0,558
1,423;-84,5;-0,559
1,436;-84,5;-0,56
1,455;-85;-0,56
1,469;-85;-0,561
1,482;-86,5;-0,562
1,498;-87,5;-0,563
1,517;-87,5;-0,564
1,533;-88;-0,564
1,549;-88;-0,565
1,561;-88,5;-0,566
1,576;-90,5;-0,567
1,592;-90,5;-0,567
1,606;-91;-0,568
1,62;-91;-0,569
1,633;-92;-0,57
1,649;-92;-0,57
1,669;-92,5;-0,571
1,684;-94,5;-0,572
1,697;-94,5;-0,573
1,711;-95;-0,574
1,726;-95;-0,574
1,739;-96;-0,575
1,752;-96;-0,576
1,765;-96,5;-0,576
1,782;-98;-0,577
1,794;-98;-0,578
1,814;-99;-0,579
1,833;-99,5;-0,58
1,847;-99,5;-0,58
1,864;-100,5;-0,581
1,878;-100,5;-0,582
1,891;-102;-0,582
1,907;-102,5;-0,583
1,927;-102,5;-0,584
1,943;-103,5;-0,585
1,959;-103,5;-0,586
1,978;-104;-0,586
1,992;-105,5;-0,587
2,006;-105,5;-0,588
2,02;-106,5;-0,589
2,035;-106,5;-0,589
2,047;-107;-0,59
2,06;-107;-0,591
2,074;-107,5;-0,591
2,089;-107,5;-0,592
2,102;-109;-0,593
2,116;-110;-0,594
2,13;-110;-0,594
2,145;-111;-0,595
2,162;-111;-0,596
2,177;-111,5;-0,596
2,191;-111,5;-0,597
2,205;-113;-0,598
2,219;-113;-0,599
2,231;-113,5;-0,599
2,245;-113,5;-0,6
2,259;-114;-0,601
2,273;-114,5;-0,602
2,289;-114,5;-0,602
2,305;-116;-0,603
2,319;-116;-0,604
2,331;-116,5;-0,604
2,348;-117,5;-0,606
2,368;-117,5;-0,606
2,38;-118;-0,607
2,397;-118;-0,608
2,415;-119,5;-0,608
