Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,289
0;-40,5;-0,29
0,015;-40,5;-0,29
0,028;-41;-0,291
0,041;-41;-0,292
0,054;-41,5;-0,292
0,067;-41,5;-0,293
0,08;-42,5;-0,293
0,093;-42,5;-0,294
0,108;-43;-0,295
0,122;-43;-0,296
0,139;-43,5;-0,296
0,156;-43,5;-0,297
0,168;-44;-0,298
0,181;-45;-0,299
0,198;-45;-0,3
0,218;-45,5;-0,3
0,236;-46;-0,302
0,253;-46;-0,302
0,273;-46,5;-0,303
0,29;-48;-0,304
0,305;-48;-0,305
0,317;-48,5;-0,306
0,33;-48,5;-0,306
0,343;-49;-0,307
0,357;-49;-0,307
0,37;-49,5;-0,308
0,387;-51;-0,309
0,407;-51,5;-0,31
0,425;-51,5;-0,311
0,437;-52;-0,312
0,453;-52;-0,312
0,465;-53;-0,313
0,48;-53;-0,314
0,494;-54;-0,314
0,508;-54;-0,315
0,526;-55;-0,316
0,541;-55,5;-0,316
0,555;-55,5;-0,317
0,567;-56;-0,318
0,581;-56;-0,318
0,594;-57,5;-0,319
0,607;-57,5;-0,32
0,62;-58;-0,32
0,633;-58;-0,321
0,645;-58,5;-0,322
0,66;-58,5;-0,322
0,676;-59,5;-0,324
0,695;-60,5;-0,324
0,709;-60,5;-0,325
0,723;-61;-0,326
0,735;-61;-0,326
0,749;-61,5;-0,327
0,763;-61,5;-0,328
0,776;-62,5;-0,328
0,789;-62,5;-0,329
0,802;-64;-0,33
0,814;-64;-0,33
0,831;-64,5;-0,331
0,844;-64,5;-0,332
0,858;-65;-0,332
0,873;-65,5;-0,333
0,885;-65,5;-0,334
0,898;-67;-0,334
0,911;-67;-0,335
0,925;-68;-0,336
0,94;-68;-0,337
0,956;-68,5;-0,338
0,974;-69;-0,338
0,992;-69;-0,339
1,005;-70,5;-0,34
1,019;-70,5;-0,34
1,032;-71;-0,341
1,045;-71;-0,342
1,057;-72;-0,342
1,071;-72;-0,343
1,087;-73;-0,344
1,103;-74;-0,344
1,116;-74;-0,345
1,128;-74,5;-0,346
1,139;-74,5;-0,346
1,154;-75,5;-0,347
1,167;-75,5;-0,348
1,18;-76;-0,348
1,193;-76;-0,349
1,207;-77,5;-0,35
1,222;-77,5;-0,351
1,241;-78;-0,351
1,254;-78;-0,352
1,267;-79;-0,353
1,281;-79,5;-0,354
1,299;-79,5;-0,354
1,32;-81;-0,356
1,34;-82;-0,356
1,355;-82;-0,357
1,371;-83;-0,358
1,39;-83,5;-0,359
1,412;-85;-0,36
1,425;-85;-0,361
1,444;-85,5;-0,362
1,462;-86,5;-0,363
1,481;-86,5;-0,364
1,495;-87,5;-0,364
1,509;-87,5;-0,365
1,523;-89;-0,366
1,537;-89,5;-0,366
1,549;-89,5;-0,367
1,563;-90,5;-0,368
1,58;-90,5;-0,368
1,596;-91;-0,369
1,61;-91;-0,37
1,624;-92,5;-0,37
1,637;-92,5;-0,371
1,649;-93,5;-0,372
1,662;-93,5;-0,373
1,68;-94;-0,373
1,696;-94,5;-0,374
1,709;-94,5;-0,375
1,722;-96,5;-0,376
1,737;-96,5;-0,376
1,758;-97;-0,377
1,773;-98;-0,378
1,786;-98;-0,378
1,799;-98,5;-0,379
1,812;-98,5;-0,38
1,826;-100;-0,38
1,838;-100;-0,381
1,854;-101;-0,382
1,869;-101;-0,383
1,883;-101,5;-0,384
1,897;-101,5;-0,384
1,911;-102;-0,385
1,924;-102;-0,386
1,938;-103,5;-0,386
1,951;-104,5;-0,387
1,965;-104,5;-0,388
1,98;-105;-0,388
1,995;-105;-0,389
2,01;-106;-0,39
2,03;-107;-0,391
2,043;-107;-0,392
2,058;-108;-0,392
2,072;-108;-0,393
2,084;-108,5;-0,394
2,097;-108,5;-0,394
2,111;-109,5;-0,395
2,123;-109,5;-0,396
2,137;-111;-0,396
2,152;-111;-0,397
2,167;-111,5;-0,398
2,182;-112;-0,398
2,197;-112;-0,399
2,21;-112;-0,4
2,223;-112,5;-0,4
2,236;-113,5;-0,401
2,249;-113,5;-0,402
2,263;-114,5;-0,403
2,283;-114,5;-0,404
2,301;-115;-0,404
2,315;-116;-0,405
2,327;-116;-0,406
2,346;-117;-0,407
2,366;-117,5;-0,408
2,38;-117,5;-0,408
2,393;-118,5;-0,409
2,413;-118,5;-0,41
2,427;-119;-0,411
2,442;-119;-0,411
