Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,428
0;-40;-0,429
0,012;-40,5;-0,43
0,024;-40,5;-0,43
0,036;-41;-0,431
0,05;-41;-0,432
0,062;-41,5;-0,432
0,073;-41,5;-0,433
0,085;-41,5;-0,434
0,1;-41,5;-0,434
0,119;-42,5;-0,435
0,132;-42,5;-0,436
0,152;-42,5;-0,437
0,174;-43;-0,438
0,192;-43,5;-0,439
0,204;-43,5;-0,439
0,218;-44;-0,44
0,23;-44;-0,441
0,244;-44,5;-0,442
0,262;-44,5;-0,442
0,282;-44,5;-0,443
0,3;-45;-0,444
0,313;-46;-0,445
0,334;-46;-0,446
0,349;-46,5;-0,446
0,362;-46,5;-0,447
0,375;-47;-0,448
0,392;-47,5;-0,449
0,415;-48;-0,45
0,432;-48;-0,451
0,452;-48,5;-0,452
0,469;-49;-0,452
0,486;-49;-0,453
0,502;-49;-0,454
0,518;-50;-0,455
0,536;-50;-0,456
0,552;-50,5;-0,457
0,575;-50,5;-0,458
0,595;-51;-0,459
0,613;-51;-0,46
0,629;-52;-0,461
0,649;-52,5;-0,462
0,663;-52,5;-0,462
0,679;-53;-0,464
0,699;-53;-0,464
0,719;-54;-0,465
0,739;-54;-0,467
0,762;-54;-0,468
0,78;-55;-0,468
0,793;-55;-0,469
0,808;-55,5;-0,47
0,823;-55,5;-0,47
0,836;-56;-0,471
0,848;-56;-0,471
0,86;-56,5;-0,472
0,872;-56,5;-0,472
0,885;-57;-0,473
0,902;-57;-0,474
0,915;-57,5;-0,475
0,928;-58,5;-0,476
0,945;-58,5;-0,476
0,961;-59;-0,477
0,973;-59;-0,478
0,99;-59;-0,478
1,007;-59,5;-0,479
1,021;-59,5;-0,48
1,034;-60,5;-0,481
1,047;-60,5;-0,481
1,061;-61;-0,482
1,077;-61;-0,483
1,091;-61,5;-0,484
1,104;-61,5;-0,484
1,12;-62;-0,485
1,142;-62,5;-0,486
1,161;-63;-0,487
1,176;-63;-0,488
1,189;-63,5;-0,488
1,202;-63,5;-0,489
1,218;-64;-0,49
1,232;-64;-0,491
1,245;-65;-0,492
1,261;-65,5;-0,492
1,273;-65,5;-0,493
1,286;-66;-0,494
1,3;-66;-0,494
1,315;-66,5;-0,495
1,329;-66,5;-0,496
1,346;-67;-0,497
1,372;-67,5;-0,498
1,393;-68;-0,499
1,41;-68;-0,5
1,424;-68;-0,5
1,436;-68;-0,501
1,45;-69;-0,502
1,468;-69,5;-0,502
1,485;-69,5;-0,503
1,507;-70;-0,504
1,519;-70,5;-0,505
1,533;-70,5;-0,505
1,548;-71,5;-0,506
1,564;-71,5;-0,507
1,577;-72;-0,508
1,591;-72;-0,509
1,614;-72;-0,51
1,634;-72;-0,511
1,651;-73;-0,512
1,668;-73;-0,512
1,682;-73;-0,513
1,694;-73;-0,514
1,706;-73,5;-0,514
1,718;-73,5;-0,515
1,734;-74;-0,516
1,749;-74;-0,516
1,763;-74;-0,517
1,779;-74,5;-0,518
1,796;-74,5;-0,519
1,812;-74,5;-0,52
1,832;-74,5;-0,521
1,845;-74,5;-0,522
1,865;-74,5;-0,523
1,887;-73,5;-0,523
1,901;-69;-0,524
1,915;-69;-0,525
1,929;-62;-0,526
1,945;-62;-0,526
1,961;-62;-0,527
1,977;-62,5;-0,528
1,996;-62,5;-0,529
2,013;-63;-0,53
2,029;-63,5;-0,53
2,045;-63,5;-0,531
2,057;-64,5;-0,532
2,069;-64,5;-0,532
2,081;-65;-0,533
2,094;-65;-0,534
2,111;-65,5;-0,534
2,123;-65,5;-0,535
2,136;-66,5;-0,536
2,148;-66,5;-0,536
2,162;-67,5;-0,537
2,174;-67,5;-0,538
2,186;-68;-0,538
2,198;-68;-0,539
2,209;-68,5;-0,539
2,222;-68,5;-0,54
2,234;-68,5;-0,54
2,248;-69;-0,541
2,262;-70;-0,542
2,275;-70;-0,543
2,291;-70,5;-0,544
2,308;-70,5;-0,544
2,323;-71;-0,545
2,335;-71,5;-0,546
2,352;-71,5;-0,547
2,372;-72,5;-0,548
2,389;-73;-0,548
2,401;-73;-0,549
2,413;-73;-0,55
2,429;-73,5;-0,551
2,445;-74;-0,551
2,457;-74;-0,552
2,475;-74,5;-0,553
2,493;-75;-0,554
2,506;-75;-0,554
2,518;-75,5;-0,555
2,53;-75,5;-0,556
2,547;-75,5;-0,556
2,563;-75,5;-0,557
2,576;-76;-0,558
2,592;-76,5;-0,559
2,613;-76,5;-0,56
2,633;-77;-0,561
2,651;-77;-0,562
2,671;-78;-0,562
2,686;-78;-0,563
2,699;-78,5;-0,564
2,711;-78,5;-0,564
2,723;-79;-0,565
2,738;-79;-0,566
2,755;-79,5;-0,566
2,767;-79,5;-0,567
2,782;-80,5;-0,568
2,797;-80,5;-0,569
2,813;-81;-0,57
2,827;-81,5;-0,57
2,842;-81,5;-0,571
2,854;-82;-0,572
2,867;-82;-0,572
2,879;-83,5;-0,573
2,894;-83,5;-0,574
2,91;-84;-0,574
2,924;-84;-0,575
2,94;-84,5;-0,576
2,956;-85,5;-0,577
2,97;-85,5;-0,578
2,986;-86,5;-0,578
3,002;-86,5;-0,579
3,017;-87;-0,58
3,03;-87;-0,58
3,043;-87,5;-0,581
3,055;-87,5;-0,582
3,072;-88;-0,582
3,085;-89,5;-0,583
3,101;-89,5;-0,584
3,116;-90;-0,585
3,135;-90,5;-0,586
3,152;-90,5;-0,586
3,169;-91;-0,587
3,181;-91;-0,588
3,193;-92,5;-0,588
3,205;-92,5;-0,589
3,218;-93;-0,59
3,231;-93;-0,59
3,245;-93,5;-0,591
3,265;-94,5;-0,592
3,281;-94,5;-0,593
3,304;-95,5;-0,594
3,322;-96;-0,595
3,341;-97;-0,596
3,355;-97;-0,596
3,367;-97,5;-0,597
3,382;-97,5;-0,598
3,397;-98,5;-0,598
3,409;-98,5;-0,599
3,424;-99,5;-0,6
3,439;-99,5;-0,601
3,456;-100;-0,602
3,479;-100,5;-0,603
3,497;-101,5;-0,604
3,513;-101,5;-0,604
3,526;-102,5;-0,605
3,548;-103;-0,606
3,563;-103;-0,607
3,585;-103,5;-0,608
3,598;-105;-0,609
3,612;-105;-0,61
3,629;-105,5;-0,61
3,649;-106;-0,611
3,665;-106;-0,612
3,683;-106,5;-0,613
3,702;-108;-0,614
3,721;-108;-0,615
3,736;-108,5;-0,616
3,753;-109;-0,616
3,766;-109;-0,617
3,781;-109,5;-0,618
3,796;-109,5;-0,618
3,816;-111;-0,619
3,832;-111,5;-0,621
3,858;-112;-0,622
3,876;-112;-0,622
3,897;-112,5;-0,624
3,914;-114;-0,624
3,932;-114;-0,625
3,948;-114,5;-0,626
3,964;-115;-0,627
3,986;-115;-0,628
4;-116;-0,628
4,013;-116;-0,629
4,025;-117;-0,63
4,038;-117;-0,63
4,05;-118;-0,631
4,063;-118;-0,632
4,08;-118,5;-0,633
4,098;-119;-0,634
4,115;-119;-0,634
