Tijd (s),Kracht (N),Verplaatsing (mm)
0,-40,5,-0,424
0,-40,5,-0,424
0,015,-40,5,-0,425
0,035,-41,-0,426
0,051,-41,5,-0,427
0,063,-41,5,-0,427
0,078,-42,-0,428
0,091,-42,-0,429
0,107,-42,5,-0,43
0,124,-42,5,-0,43
0,14,-43,-0,431
0,159,-43,5,-0,432
0,172,-43,5,-0,433
0,19,-44,-0,434
0,21,-44,5,-0,435
0,233,-45,-0,436
0,253,-45,-0,437
0,272,-45,-0,438
0,29,-46,-0,439
0,31,-46,5,-0,44
0,329,-46,5,-0,441
0,347,-46,5,-0,442
0,361,-47,-0,442
0,378,-48,-0,443
0,397,-48,-0,444
0,41,-48,-0,445
0,423,-48,-0,445
0,435,-48,5,-0,446
0,447,-48,5,-0,447
0,467,-49,-0,448
0,487,-50,-0,448
0,499,-50,-0,45
0,519,-50,-0,45
0,535,-50,5,-0,451
0,553,-50,5,-0,452
0,568,-51,-0,453
0,58,-51,-0,453
0,592,-52,-0,454
0,604,-52,-0,454
0,617,-52,5,-0,455
0,632,-52,5,-0,456
0,649,-52,5,-0,456
0,661,-52,5,-0,457
0,673,-52,5,-0,458
0,685,-52,5,-0,458
0,697,-53,5,-0,459
0,715,-54,-0,46
0,731,-54,-0,461
0,747,-54,5,-0,462
0,763,-55,-0,463
0,785,-55,-0,463
0,802,-56,-0,464
0,814,-56,-0,465
0,828,-56,5,-0,466
0,843,-57,-0,466
0,856,-57,-0,467
0,874,-57,5,-0,468
0,89,-57,5,-0,468
0,904,-58,-0,469
0,917,-58,5,-0,47
0,931,-58,5,-0,471
0,95,-59,-0,472
0,97,-59,5,-0,473
0,989,-59,5,-0,474
1,007,-60,5,-0,475
1,023,-60,5,-0,476
1,044,-61,-0,476
1,061,-61,-0,477
1,076,-61,5,-0,478
1,09,-61,5,-0,478
1,101,-62,5,-0,479
1,116,-62,5,-0,48
1,132,-63,-0,481
1,148,-63,-0,482
1,162,-63,-0,482
1,177,-63,-0,483
1,19,-63,5,-0,484
1,212,-64,5,-0,485
1,23,-65,-0,486
1,249,-65,-0,487
1,269,-65,-0,487
1,283,-65,5,-0,488
1,3,-66,5,-0,49
1,325,-66,5,-0,49
1,346,-66,5,-0,492
1,366,-67,-0,492
1,381,-67,-0,493
1,394,-67,5,-0,494
1,406,-67,5,-0,494
1,419,-68,5,-0,495
1,434,-68,5,-0,496
1,447,-68,5,-0,496
1,459,-69,-0,497
1,475,-69,-0,498
1,492,-69,5,-0,499
1,504,-69,5,-0,499
1,516,-70,-0,5
1,529,-70,-0,501
1,546,-70,5,-0,501
1,561,-71,-0,502
