Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,423
0;-41;-0,424
0,011;-41;-0,424
0,026;-41,5;-0,425
0,044;-41,5;-0,426
0,062;-42,5;-0,427
0,079;-42,5;-0,428
0,102;-44;-0,429
0,121;-44;-0,43
0,137;-44,5;-0,431
0,155;-45;-0,432
0,17;-45;-0,432
0,185;-45;-0,433
0,202;-46,5;-0,434
0,22;-46,5;-0,435
0,239;-47;-0,436
0,253;-47,5;-0,437
0,274;-47,5;-0,438
0,293;-48;-0,438
0,307;-49;-0,439
0,32;-49;-0,44
0,332;-49,5;-0,44
0,344;-49,5;-0,441
0,356;-49,5;-0,441
0,368;-50;-0,442
0,38;-50;-0,442
0,392;-50,5;-0,443
0,409;-51,5;-0,444
0,425;-51,5;-0,445
0,437;-51,5;-0,446
0,45;-51,5;-0,446
0,463;-52,5;-0,447
0,478;-52,5;-0,448
0,495;-53;-0,448
0,51;-53;-0,449
0,523;-54;-0,45
0,544;-54,5;-0,451
0,559;-54,5;-0,452
0,571;-55;-0,452
0,585;-55;-0,453
0,599;-55,5;-0,454
0,615;-56,5;-0,454
0,628;-56,5;-0,455
0,648;-57;-0,456
0,663;-57;-0,457
0,676;-57,5;-0,458
0,694;-58;-0,459
0,715;-59,5;-0,46
0,733;-59,5;-0,461
0,75;-60;-0,461
0,765;-60;-0,462
0,777;-60,5;-0,463
0,79;-60,5;-0,463
0,805;-61;-0,464
0,825;-62;-0,465
0,839;-62;-0,466
0,859;-62,5;-0,467
0,873;-63;-0,467
0,887;-63;-0,468
0,909;-64;-0,469
0,926;-65;-0,47
0,944;-65,5;-0,471
0,966;-65,5;-0,472
0,979;-66,5;-0,473
1;-67;-0,474
1,015;-67;-0,474
1,029;-68;-0,475
1,049;-68;-0,476
1,069;-68;-0,477
1,084;-69,5;-0,478
1,098;-69,5;-0,478
1,113;-70;-0,479
1,126;-70;-0,48
1,14;-71,5;-0,481
1,153;-72;-0,482
1,176;-72;-0,482
1,19;-72,5;-0,483
1,203;-73;-0,484
1,222;-73;-0,485
1,241;-74,5;-0,486
1,257;-75,5;-0,487
1,272;-75,5;-0,488
1,289;-76;-0,488
1,303;-76;-0,489
1,322;-76,5;-0,49
1,342;-78;-0,491
1,359;-78,5;-0,492
1,373;-78,5;-0,492
1,389;-79,5;-0,493
1,403;-79,5;-0,494
1,421;-80;-0,495
1,436;-81,5;-0,496
1,456;-82,5;-0,497
1,476;-82,5;-0,497
1,49;-83;-0,498
1,504;-83;-0,499
1,518;-83,5;-0,5
1,537;-85;-0,5
1,554;-85;-0,501
1,569;-86;-0,502
1,582;-86;-0,502
1,595;-86,5;-0,503
1,608;-86,5;-0,504
1,621;-87;-0,505
1,643;-88,5;-0,506
1,659;-88,5;-0,506
1,673;-89,5;-0,507
1,691;-90;-0,508
1,711;-90;-0,509
1,732;-90,5;-0,51
1,747;-92;-0,511
1,768;-93;-0,512
1,785;-93;-0,513
1,802;-94;-0,514
1,821;-94,5;-0,515
1,835;-94,5;-0,516
1,851;-96;-0,516
1,863;-96;-0,517
1,875;-97;-0,517
1,887;-97;-0,518
1,907;-97,5;-0,519
1,922;-97,5;-0,52
1,934;-98,5;-0,52
1,946;-98,5;-0,521
1,96;-99,5;-0,522
1,973;-99,5;-0,522
1,985;-100,5;-0,523
2,001;-101;-0,524
2,017;-101;-0,524
2,032;-102;-0,525
2,049;-103,5;-0,526
2,07;-103,5;-0,527
2,088;-104;-0,528
2,11;-104,5;-0,529
2,124;-104,5;-0,53
2,137;-105;-0,53
2,152;-105;-0,531
2,171;-106,5;-0,532
2,186;-107,5;-0,533
2,205;-107,5;-0,534
2,223;-108;-0,534
2,235;-108,5;-0,535
2,255;-108,5;-0,536
2,269;-110;-0,537
2,286;-110,5;-0,538
2,304;-110,5;-0,539
2,318;-111,5;-0,539
2,333;-111,5;-0,54
2,345;-112;-0,541
2,358;-112;-0,542
2,371;-113,5;-0,542
2,384;-113,5;-0,543
2,404;-114,5;-0,544
2,423;-115;-0,545
2,436;-115;-0,546
2,454;-115,5;-0,546
2,471;-117;-0,547
2,484;-117;-0,548
2,498;-118;-0,548
2,513;-118;-0,55
2,532;-118,5;-0,55
2,545;-118,5;-0,551
