Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,335
0;-40;-0,336
0,015;-40,5;-0,337
0,03;-41;-0,337
0,043;-41;-0,338
0,055;-41;-0,339
0,066;-41,5;-0,339
0,08;-41,5;-0,34
0,092;-42;-0,34
0,106;-42;-0,341
0,12;-43;-0,342
0,133;-43;-0,343
0,145;-43;-0,344
0,163;-43,5;-0,344
0,179;-43,5;-0,345
0,191;-44;-0,346
0,204;-44;-0,346
0,22;-45;-0,347
0,234;-45,5;-0,348
0,248;-45,5;-0,348
0,26;-46;-0,349
0,273;-46;-0,35
0,288;-46,5;-0,35
0,303;-46,5;-0,351
0,316;-47,5;-0,352
0,33;-47,5;-0,352
0,343;-47,5;-0,353
0,356;-47,5;-0,354
0,369;-48;-0,354
0,383;-48;-0,355
0,397;-48,5;-0,356
0,414;-49,5;-0,357
0,426;-49,5;-0,357
0,441;-50,5;-0,358
0,454;-50,5;-0,359
0,467;-51;-0,359
0,48;-51;-0,36
0,495;-51,5;-0,361
0,509;-51,5;-0,362
0,526;-52,5;-0,362
0,541;-53;-0,363
0,555;-53;-0,364
0,567;-54;-0,364
0,583;-54;-0,365
0,595;-54,5;-0,366
0,608;-54,5;-0,366
0,621;-55,5;-0,367
0,633;-55,5;-0,368
0,645;-56;-0,368
0,662;-56;-0,369
0,678;-57;-0,37
0,691;-57;-0,37
0,705;-57,5;-0,371
0,72;-57,5;-0,372
0,735;-58,5;-0,373
0,748;-59;-0,374
0,762;-59;-0,374
0,775;-60;-0,375
0,791;-60;-0,376
0,804;-60,5;-0,376
0,816;-60,5;-0,377
0,829;-61,5;-0,377
0,841;-61,5;-0,378
0,855;-62,5;-0,379
0,869;-62,5;-0,379
0,882;-63;-0,38
0,894;-63;-0,381
0,91;-63,5;-0,381
0,925;-65;-0,382
0,943;-65;-0,384
0,963;-65,5;-0,384
0,983;-66,5;-0,385
1;-66,5;-0,386
1,014;-67;-0,387
1,03;-68;-0,388
1,045;-68;-0,388
1,06;-69;-0,389
1,075;-69;-0,39
1,089;-69,5;-0,39
1,103;-69,5;-0,391
1,116;-70;-0,392
1,131;-71,5;-0,393
1,153;-72;-0,394
1,174;-72;-0,395
1,189;-73;-0,396
1,203;-73;-0,396
1,218;-73,5;-0,397
1,233;-75;-0,398
1,249;-75;-0,398
1,261;-75,5;-0,399
1,275;-75,5;-0,4
1,289;-76,5;-0,401
1,306;-76,5;-0,401
1,32;-77;-0,402
1,335;-77;-0,403
1,35;-78,5;-0,404
1,361;-79,5;-0,404
1,375;-79,5;-0,405
1,391;-80;-0,406
1,405;-80;-0,406
1,421;-80,5;-0,407
1,438;-82;-0,408
1,453;-82;-0,409
1,468;-83;-0,409
1,485;-83;-0,41
1,498;-83,5;-0,411
1,514;-83,5;-0,412
1,528;-84;-0,412
1,545;-86;-0,414
1,566;-86,5;-0,414
1,584;-86,5;-0,415
1,596;-87,5;-0,416
1,609;-87,5;-0,416
1,624;-88;-0,417
1,637;-88;-0,418
1,65;-89,5;-0,418
1,667;-90,5;-0,419
1,683;-90,5;-0,42
1,696;-91;-0,421
1,711;-91;-0,422
1,725;-92;-0,422
1,741;-92;-0,423
1,758;-93,5;-0,424
1,772;-94;-0,424
1,785;-94;-0,425
1,799;-95;-0,426
1,812;-95;-0,426
1,825;-95,5;-0,428
1,843;-95,5;-0,428
1,856;-97;-0,429
1,869;-97;-0,43
1,882;-98;-0,43
1,898;-99;-0,431
1,915;-99;-0,432
1,932;-99,5;-0,433
1,95;-101;-0,434
1,967;-101;-0,434
1,984;-102;-0,435
2,001;-102;-0,436
2,015;-102,5;-0,436
2,028;-103;-0,438
2,051;-103;-0,439
2,071;-104,5;-0,439
2,084;-105,5;-0,44
2,096;-105,5;-0,44
2,11;-106;-0,441
2,125;-106;-0,442
2,139;-107;-0,443
2,153;-107;-0,443
2,165;-108,5;-0,444
2,177;-108,5;-0,445
2,189;-109,5;-0,445
2,204;-109,5;-0,446
2,217;-110;-0,447
2,23;-110;-0,447
2,243;-110,5;-0,448
2,257;-110,5;-0,449
2,27;-112,5;-0,449
2,284;-112,5;-0,45
2,296;-113;-0,451
2,308;-113;-0,451
2,323;-113,5;-0,452
2,337;-113,5;-0,453
2,35;-114,5;-0,453
2,364;-114,5;-0,454
2,377;-116;-0,455
2,395;-117;-0,456
2,411;-117;-0,456
2,425;-117,5;-0,457
2,439;-117,5;-0,458
2,455;-118,5;-0,459
2,469;-118,5;-0,459
