Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,572
0;-40;-0,573
0,013;-40,5;-0,574
0,026;-40,5;-0,574
0,038;-41;-0,575
0,051;-41;-0,576
0,064;-41,5;-0,577
0,079;-41,5;-0,577
0,095;-42;-0,578
0,111;-42,5;-0,579
0,124;-42,5;-0,58
0,138;-42,5;-0,58
0,152;-42,5;-0,581
0,166;-43,5;-0,582
0,179;-43,5;-0,582
0,192;-43,5;-0,583
0,204;-43,5;-0,583
0,217;-44;-0,584
0,23;-44;-0,585
0,244;-44;-0,585
0,256;-44;-0,586
0,271;-45;-0,587
0,287;-45;-0,587
0,302;-45;-0,588
0,317;-45,5;-0,589
0,333;-45,5;-0,59
0,346;-45,5;-0,59
0,359;-45,5;-0,591
0,371;-46,5;-0,592
0,384;-46,5;-0,592
0,397;-46,5;-0,593
0,413;-46,5;-0,594
0,427;-47;-0,595
0,447;-48;-0,595
0,461;-48;-0,596
0,473;-48;-0,597
0,492;-48;-0,598
0,506;-49;-0,598
0,519;-49;-0,599
0,532;-49,5;-0,6
0,55;-49,5;-0,601
0,567;-49,5;-0,602
0,582;-50,5;-0,602
0,596;-51;-0,603
0,616;-51;-0,604
0,63;-51,5;-0,605
0,643;-51,5;-0,605
0,655;-52;-0,606
0,669;-52;-0,607
0,684;-53;-0,608
0,7;-53,5;-0,608
0,713;-53,5;-0,609
0,726;-54;-0,61
0,744;-54;-0,61
0,761;-54,5;-0,611
0,773;-54,5;-0,612
0,786;-55;-0,612
0,799;-55;-0,613
0,813;-55,5;-0,614
0,828;-55,5;-0,614
0,842;-55,5;-0,615
0,854;-55,5;-0,616
0,867;-56,5;-0,617
0,888;-57;-0,617
0,902;-57;-0,618
0,915;-58;-0,619
0,928;-58;-0,62
0,944;-58;-0,62
0,964;-59;-0,621
0,98;-59;-0,622
0,993;-59,5;-0,622
1,005;-59,5;-0,623
1,017;-60;-0,624
1,03;-60;-0,624
1,044;-60,5;-0,625
1,056;-60,5;-0,626
1,069;-61;-0,626
1,083;-61;-0,628
1,103;-62;-0,628
1,123;-62,5;-0,629
1,14;-63;-0,63
1,153;-63;-0,631
1,166;-63,5;-0,631
1,181;-63,5;-0,632
1,195;-64,5;-0,633
1,207;-64,5;-0,634
1,22;-65;-0,634
1,236;-65;-0,635
1,25;-65,5;-0,636
1,264;-65,5;-0,636
1,279;-66;-0,637
1,292;-67,5;-0,638
1,304;-67,5;-0,638
1,318;-68;-0,639
1,331;-68;-0,64
1,348;-68,5;-0,64
1,363;-68,5;-0,641
1,379;-69;-0,642
1,396;-70;-0,643
1,409;-70;-0,643
1,421;-70,5;-0,644
1,433;-70,5;-0,644
1,445;-70,5;-0,645
1,459;-70,5;-0,646
1,477;-71,5;-0,647
1,495;-72,5;-0,648
1,514;-72,5;-0,649
1,532;-73;-0,65
1,549;-74;-0,65
1,565;-74;-0,651
1,583;-74;-0,653
1,608;-75,5;-0,654
1,623;-76;-0,654
1,638;-76;-0,655
1,653;-76,5;-0,656
1,667;-76,5;-0,656
1,681;-77;-0,657
1,695;-77;-0,658
1,709;-78;-0,658
1,722;-78;-0,659
1,736;-78,5;-0,66
1,75;-78,5;-0,661
1,764;-79,5;-0,661
1,778;-79,5;-0,662
1,792;-79,5;-0,663
1,807;-81;-0,664
1,825;-82;-0,664
1,839;-82;-0,665
1,851;-82;-0,666
1,866;-82;-0,666
1,879;-82;-0,667
1,894;-83;-0,668
1,907;-84;-0,668
1,92;-84;-0,669
1,934;-84,5;-0,67
1,947;-84,5;-0,67
1,963;-85;-0,671
1,977;-85;-0,672
1,993;-85,5;-0,673
2,01;-86,5;-0,673
2,023;-86,5;-0,674
2,036;-87;-0,675
2,049;-87;-0,675
2,062;-87,5;-0,676
2,075;-87,5;-0,676
2,088;-88;-0,677
2,102;-88;-0,678
2,115;-89;-0,679
2,129;-89;-0,679
2,14;-89,5;-0,68
2,154;-89,5;-0,68
2,167;-90,5;-0,681
2,181;-90,5;-0,682
2,194;-91;-0,683
2,212;-92;-0,684
2,231;-92;-0,684
2,247;-93;-0,685
2,263;-93;-0,686
2,28;-93;-0,687
2,295;-93,5;-0,688
2,308;-93,5;-0,688
2,322;-95;-0,689
2,338;-95;-0,69
2,351;-95,5;-0,691
2,371;-96;-0,692
2,387;-96;-0,692
2,4;-96,5;-0,693
2,414;-96,5;-0,694
2,43;-97,5;-0,694
2,442;-97,5;-0,695
2,459;-98;-0,696
2,476;-98,5;-0,697
2,489;-98,5;-0,697
2,506;-99,5;-0,698
2,524;-100,5;-0,699
2,542;-100,5;-0,7
2,558;-101;-0,701
2,574;-101,5;-0,702
2,59;-101,5;-0,703
2,614;-102;-0,704
2,64;-103,5;-0,705
2,655;-104;-0,706
2,668;-104;-0,706
2,683;-104,5;-0,707
2,695;-104,5;-0,708
2,709;-105;-0,708
2,724;-105;-0,709
2,739;-106,5;-0,71
2,753;-107;-0,711
2,77;-107;-0,712
2,79;-107;-0,712
2,803;-107;-0,713
2,816;-108;-0,714
2,83;-108;-0,715
2,846;-109;-0,715
2,861;-109,5;-0,716
2,873;-109,5;-0,717
2,889;-110;-0,717
2,902;-110;-0,718
2,916;-111;-0,719
2,929;-111;-0,719
2,941;-112;-0,72
2,954;-112;-0,72
2,967;-112,5;-0,721
2,981;-112,5;-0,722
2,994;-113;-0,722
3,007;-113;-0,723
3,021;-113,5;-0,724
3,034;-113,5;-0,724
3,048;-114,5;-0,725
3,06;-114,5;-0,726
3,073;-115;-0,726
3,087;-115;-0,727
3,105;-115,5;-0,728
3,121;-116;-0,729
3,134;-116;-0,729
3,147;-117;-0,73
3,16;-117;-0,731
3,18;-118;-0,732
3,194;-118;-0,732
3,206;-118,5;-0,733
3,219;-118,5;-0,734
3,233;-119;-0,734
