Tijd (s);Kracht (N);Verplaatsing (mm)
0;-40;-0,435
0;-40,5;-0,436
0,016;-40,5;-0,436
0,031;-40,5;-0,437
0,046;-41;-0,438
0,058;-41;-0,439
0,082;-42;-0,44
0,102;-42,5;-0,441
0,115;-42,5;-0,441
0,128;-43;-0,442
0,141;-43;-0,443
0,157;-43,5;-0,443
0,172;-44;-0,444
0,186;-44;-0,445
0,199;-44,5;-0,445
0,212;-44,5;-0,446
0,224;-45;-0,447
0,237;-45;-0,447
0,251;-45,5;-0,448
0,263;-45,5;-0,448
0,275;-46,5;-0,449
0,289;-46,5;-0,45
0,305;-47;-0,451
0,324;-47,5;-0,452
0,344;-47,5;-0,453
0,361;-48;-0,454
0,374;-48;-0,454
0,386;-49;-0,455
0,399;-49;-0,456
0,416;-49;-0,456
0,434;-49,5;-0,457
0,448;-49,5;-0,458
0,462;-50;-0,458
0,474;-50;-0,459
0,488;-51,5;-0,46
0,501;-51,5;-0,46
0,515;-51,5;-0,461
0,53;-52,5;-0,462
0,544;-52,5;-0,463
0,556;-53;-0,464
0,572;-53;-0,464
0,585;-54;-0,465
0,599;-54;-0,466
0,613;-54,5;-0,466
0,634;-55,5;-0,468
0,654;-55,5;-0,468
0,673;-55,5;-0,469
0,688;-57;-0,47
0,703;-57;-0,471
0,719;-58;-0,472
0,736;-58;-0,472
0,749;-58;-0,473
0,761;-58;-0,473
0,773;-59;-0,474
0,785;-59;-0,475
0,797;-60;-0,475
0,812;-60,5;-0,476
0,827;-60,5;-0,477
0,841;-61;-0,477
0,853;-61;-0,478
0,873;-62;-0,479
0,89;-63;-0,48
0,905;-63;-0,481
0,92;-63,5;-0,482
0,939;-64,5;-0,483
0,958;-64,5;-0,484
0,98;-65;-0,484
0,993;-66,5;-0,485
1,005;-66,5;-0,486
1,017;-67;-0,486
1,033;-67;-0,487
1,051;-68;-0,488
1,067;-68,5;-0,489
1,085;-68,5;-0,49
1,098;-69,5;-0,49
1,112;-69,5;-0,491
1,124;-69,5;-0,492
1,137;-69,5;-0,492
1,15;-71;-0,493
1,163;-71;-0,494
1,175;-72;-0,494
1,188;-72;-0,495
1,202;-73;-0,496
1,215;-73;-0,496
1,228;-74;-0,497
1,246;-74;-0,498
1,261;-74,5;-0,498
1,275;-75;-0,499
1,289;-75;-0,5
1,305;-76,5;-0,501
1,323;-76,5;-0,501
1,336;-77;-0,502
1,349;-77;-0,503
1,361;-78;-0,504
1,379;-78,5;-0,504
1,394;-78,5;-0,505
1,416;-80;-0,506
1,432;-80,5;-0,507
1,446;-80,5;-0,508
1,458;-81,5;-0,508
1,473;-81,5;-0,509
1,485;-82;-0,51
1,497;-82;-0,51
1,509;-83,5;-0,511
1,521;-83,5;-0,511
1,534;-84,5;-0,512
1,548;-84,5;-0,513
1,56;-85;-0,513
1,572;-85;-0,514
1,584;-85,5;-0,515
1,604;-85,5;-0,516
1,62;-87;-0,516
1,632;-88;-0,517
1,645;-88;-0,518
1,659;-88,5;-0,519
1,677;-88,5;-0,519
1,691;-89;-0,52
1,704;-89;-0,52
1,716;-91;-0,521
1,728;-91;-0,522
1,74;-91,5;-0,522
1,752;-91,5;-0,523
1,77;-92,5;-0,524
1,785;-92,5;-0,524
1,797;-93;-0,525
1,81;-93;-0,526
1,822;-94,5;-0,526
1,834;-94,5;-0,527
1,847;-95;-0,528
1,86;-95;-0,528
1,877;-96;-0,529
1,892;-96,5;-0,53
1,904;-96,5;-0,53
1,917;-98;-0,531
1,929;-98;-0,532
1,941;-98,5;-0,532
1,96;-98,5;-0,534
1,98;-99,5;-0,534
2;-100;-0,536
2,019;-102;-0,536
2,04;-102,5;-0,538
2,06;-102,5;-0,538
2,076;-103;-0,54
2,098;-104;-0,54
2,117;-104;-0,541
2,132;-105,5;-0,542
2,144;-105,5;-0,542
2,158;-106;-0,543
2,175;-107;-0,544
2,195;-107;-0,545
2,211;-107,5;-0,546
2,224;-107,5;-0,547
2,239;-109;-0,547
2,252;-109,5;-0,548
2,265;-109,5;-0,549
2,28;-110,5;-0,549
2,292;-110,5;-0,55
2,304;-111;-0,551
2,318;-111;-0,551
2,332;-112,5;-0,552
2,348;-112,5;-0,553
2,365;-113,5;-0,554
2,378;-113,5;-0,554
2,392;-114;-0,555
2,405;-114;-0,556
2,418;-114,5;-0,556
2,431;-114,5;-0,557
2,443;-116;-0,558
2,458;-116;-0,558
2,473;-116,5;-0,559
2,49;-117;-0,56
2,51;-117,5;-0,561
2,531;-117,5;-0,562
2,545;-119,5;-0,563
