Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,422
0	-30	-0,423
0,014	-30	-0,423
0,027	-30,5	-0,424
0,047	-30,5	-0,426
0,07	-31	-0,426
0,088	-32	-0,427
0,109	-32,5	-0,428
0,127	-32,5	-0,429
0,147	-32,5	-0,43
0,161	-33	-0,431
0,173	-33	-0,431
0,188	-34	-0,432
0,202	-34	-0,433
0,214	-34	-0,433
0,227	-34	-0,434
0,24	-34,5	-0,435
0,253	-34,5	-0,435
0,265	-35	-0,436
0,278	-35	-0,436
0,29	-35	-0,437
0,307	-35	-0,438
0,323	-35,5	-0,439
0,335	-36	-0,44
0,352	-36	-0,44
0,369	-36,5	-0,441
0,381	-36,5	-0,442
0,399	-37	-0,442
0,412	-37	-0,443
0,426	-37,5	-0,444
0,443	-37,5	-0,445
0,456	-37,5	-0,446
0,475	-38	-0,446
0,489	-38	-0,447
0,501	-38,5	-0,448
0,513	-38,5	-0,448
0,53	-39	-0,449
0,544	-39	-0,45
0,562	-39	-0,451
0,586	-39,5	-0,452
0,601	-40,5	-0,453
0,623	-40,5	-0,454
0,637	-40,5	-0,455
0,65	-41	-0,455
0,662	-41	-0,456
0,675	-41,5	-0,457
0,693	-41,5	-0,458
0,706	-42,5	-0,458
0,726	-42,5	-0,459
0,74	-42,5	-0,46
0,753	-43	-0,461
0,771	-43	-0,461
0,785	-43,5	-0,462
0,797	-43,5	-0,462
0,811	-44	-0,464
0,83	-44,5	-0,464
0,843	-44,5	-0,465
0,857	-45	-0,466
0,87	-45	-0,466
0,887	-45	-0,467
0,907	-46,5	-0,468
0,926	-46,5	-0,469
0,948	-46,5	-0,47
0,963	-47	-0,471
0,976	-47	-0,472
0,992	-47,5	-0,472
1,012	-48	-0,473
1,029	-48,5	-0,474
1,047	-48,5	-0,475
1,064	-49	-0,476
1,079	-49	-0,476
1,094	-49	-0,478
1,109	-50,5	-0,478
1,123	-50,5	-0,479
1,136	-51	-0,48
1,156	-51,5	-0,481
1,176	-51,5	-0,482
1,191	-51,5	-0,482
1,207	-51,5	-0,483
1,222	-53	-0,484
1,235	-53	-0,485
1,253	-53	-0,486
1,272	-53,5	-0,486
1,288	-54	-0,487
1,3	-54	-0,488
1,314	-55	-0,488
1,328	-55	-0,489
1,347	-55,5	-0,49
1,366	-56	-0,491
1,382	-56	-0,492
1,395	-56,5	-0,492
1,412	-56,5	-0,493
1,427	-57	-0,494
1,446	-57,5	-0,495
1,464	-57,5	-0,496
