Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,357
0	-30	-0,358
0,012	-30,5	-0,358
0,026	-30,5	-0,359
0,041	-30,5	-0,36
0,056	-30,5	-0,361
0,069	-31	-0,362
0,086	-31,5	-0,363
0,111	-31,5	-0,364
0,133	-32	-0,365
0,153	-32	-0,366
0,171	-32,5	-0,366
0,187	-32,5	-0,368
0,208	-33	-0,368
0,224	-33	-0,369
0,236	-33,5	-0,37
0,249	-33,5	-0,37
0,261	-33,5	-0,371
0,276	-33,5	-0,372
0,29	-34	-0,372
0,303	-34	-0,373
0,316	-34,5	-0,374
0,328	-34,5	-0,374
0,34	-35	-0,375
0,353	-35	-0,376
0,365	-35	-0,376
0,378	-35	-0,377
0,39	-35,5	-0,377
0,402	-35,5	-0,378
0,414	-35,5	-0,379
0,426	-36	-0,379
0,438	-36	-0,38
0,449	-36,5	-0,38
0,462	-36,5	-0,381
0,474	-36,5	-0,382
0,486	-36,5	-0,382
0,498	-37	-0,383
0,512	-37	-0,384
0,531	-37,5	-0,385
0,552	-38	-0,386
0,571	-38,5	-0,386
0,585	-38,5	-0,387
0,601	-39	-0,388
0,615	-39	-0,389
0,635	-39	-0,39
0,653	-39,5	-0,391
0,67	-40	-0,392
0,69	-40	-0,392
0,707	-40	-0,393
0,721	-40	-0,394
0,733	-41	-0,394
0,745	-41	-0,395
0,76	-41	-0,396
0,778	-41,5	-0,397
0,793	-41,5	-0,397
0,806	-41,5	-0,398
0,821	-41,5	-0,399
0,834	-42,5	-0,4
0,853	-42,5	-0,4
0,869	-42,5	-0,401
0,885	-43	-0,402
0,897	-43	-0,403
0,911	-43	-0,404
0,927	-44	-0,404
0,941	-44	-0,405
0,954	-44,5	-0,406
0,966	-44,5	-0,406
0,978	-44,5	-0,407
0,991	-45	-0,408
1,006	-45	-0,408
1,025	-45	-0,409
1,04	-46	-0,41
1,057	-46,5	-0,411
1,071	-46,5	-0,411
1,087	-46,5	-0,412
1,102	-46,5	-0,413
1,117	-47	-0,414
1,13	-47	-0,414
1,143	-48	-0,415
1,161	-48	-0,416
1,18	-48	-0,417
1,195	-48,5	-0,418
1,209	-48,5	-0,418
1,224	-49	-0,419
1,237	-50	-0,42
1,251	-50	-0,42
1,263	-50	-0,421
1,278	-50	-0,422
1,291	-50,5	-0,422
1,304	-50,5	-0,423
1,318	-51	-0,424
1,331	-51	-0,424
1,345	-51,5	-0,425
1,358	-51,5	-0,426
1,372	-52	-0,426
1,388	-52	-0,427
1,405	-52	-0,428
1,421	-52,5	-0,429
1,435	-52,5	-0,43
1,447	-53	-0,43
1,465	-53,5	-0,432
1,486	-53,5	-0,432
1,498	-54	-0,433
1,512	-54	-0,433
1,524	-54,5	-0,434
1,537	-54,5	-0,435
1,55	-55,5	-0,436
1,566	-55,5	-0,436
1,583	-55,5	-0,437
1,597	-56	-0,438
1,609	-56	-0,438
1,625	-56,5	-0,439
1,637	-56,5	-0,44
1,65	-57,5	-0,44
1,662	-57,5	-0,441
1,674	-58	-0,441
1,686	-58	-0,442
1,699	-58	-0,443
1,712	-58	-0,443
1,726	-58,5	-0,444
1,738	-58,5	-0,445
1,757	-59,5	-0,446
1,771	-59,5	-0,446
1,786	-59,5	-0,447
1,8	-60	-0,448
1,812	-60	-0,448
1,825	-60,5	-0,449
1,84	-60,5	-0,45
1,854	-61,5	-0,45
1,866	-61,5	-0,451
1,88	-61,5	-0,452
1,894	-61,5	-0,452
1,908	-62	-0,453
1,922	-62	-0,454
1,935	-62	-0,454
1,947	-62	-0,455
1,961	-63	-0,456
1,974	-63	-0,456
1,988	-63,5	-0,457
2,001	-63,5	-0,458
2,017	-64	-0,458
2,029	-64	-0,46
2,056	-65	-0,461
2,071	-65	-0,461
2,084	-65,5	-0,462
2,107	-65,5	-0,463
2,123	-65,5	-0,464
2,135	-66	-0,464
2,147	-66	-0,465
2,161	-67	-0,466
2,175	-67	-0,467
2,19	-67	-0,467
2,202	-67	-0,468
2,214	-67,5	-0,468
2,228	-67,5	-0,469
2,241	-68	-0,47
2,254	-68	-0,471
2,27	-68,5	-0,471
2,294	-69	-0,473
2,312	-69	-0,473
2,325	-69	-0,474
2,338	-69	-0,474
2,351	-69,5	-0,475
2,364	-70	-0,476
2,385	-70	-0,477
2,398	-70,5	-0,478
2,413	-70,5	-0,478
2,429	-70,5	-0,479
2,446	-71	-0,48
2,465	-72	-0,481
2,483	-72	-0,482
2,499	-72	-0,483
2,517	-72,5	-0,484
2,534	-72,5	-0,484
2,548	-73	-0,485
2,564	-73	-0,486
2,578	-73,5	-0,487
2,592	-73,5	-0,487
2,605	-74	-0,488
2,618	-74	-0,488
2,63	-74,5	-0,489
2,643	-74,5	-0,49
2,655	-74,5	-0,49
2,668	-74,5	-0,491
2,68	-75,5	-0,492
2,694	-76	-0,493
2,708	-76	-0,493
2,724	-76	-0,494
2,738	-76	-0,495
2,754	-76,5	-0,496
2,774	-77,5	-0,497
2,795	-78	-0,498
2,814	-78	-0,499
2,836	-78	-0,5
2,849	-78	-0,5
2,862	-78,5	-0,501
2,88	-79,5	-0,502
2,9	-79,5	-0,503
2,915	-79,5	-0,503
