Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,641
0	-30	-0,642
0,014	-30	-0,642
0,028	-30	-0,643
0,045	-30,5	-0,644
0,057	-30,5	-0,644
0,069	-31	-0,645
0,083	-31	-0,646
0,095	-31	-0,646
0,107	-31	-0,646
0,119	-31,5	-0,647
0,131	-31,5	-0,648
0,146	-32	-0,649
0,165	-32	-0,65
0,178	-32	-0,65
0,19	-32,5	-0,651
0,206	-32,5	-0,652
0,219	-32,5	-0,652
0,232	-32,5	-0,653
0,244	-33,5	-0,654
0,258	-33,5	-0,654
0,272	-33,5	-0,655
0,288	-33,5	-0,656
0,305	-34	-0,656
0,317	-34	-0,657
0,329	-34	-0,658
0,341	-34	-0,658
0,356	-35	-0,659
0,37	-35	-0,66
0,382	-35	-0,661
0,397	-35	-0,661
0,411	-35	-0,662
0,425	-35,5	-0,663
0,442	-36	-0,664
0,458	-36	-0,664
0,47	-36,5	-0,665
0,484	-36,5	-0,666
0,498	-36,5	-0,666
0,513	-36,5	-0,667
0,527	-37	-0,668
0,541	-37	-0,668
0,556	-37,5	-0,67
0,576	-38	-0,67
0,59	-38	-0,671
0,604	-38,5	-0,672
0,618	-38,5	-0,672
0,638	-38,5	-0,674
0,659	-39,5	-0,674
0,671	-39,5	-0,675
0,686	-39,5	-0,676
0,705	-40	-0,676
0,719	-40	-0,677
0,733	-40,5	-0,678
0,747	-40,5	-0,679
0,767	-41	-0,68
0,782	-41,5	-0,68
0,796	-41,5	-0,681
0,814	-42	-0,682
0,831	-42	-0,683
0,846	-42	-0,684
0,858	-43	-0,684
0,871	-43	-0,685
0,884	-43	-0,686
0,897	-43	-0,686
0,912	-43,5	-0,687
0,93	-44	-0,688
0,949	-44	-0,689
0,967	-44	-0,69
0,982	-44	-0,69
0,995	-44,5	-0,691
1,007	-44,5	-0,692
1,02	-45	-0,692
1,034	-45	-0,693
1,048	-45,5	-0,694
1,064	-46	-0,695
1,082	-46	-0,696
1,097	-46,5	-0,696
1,108	-46,5	-0,697
1,123	-46,5	-0,698
1,137	-47	-0,698
1,153	-47	-0,699
1,169	-47,5	-0,7
1,19	-48	-0,701
1,213	-48	-0,702
1,225	-48	-0,702
1,239	-48	-0,703
1,252	-48,5	-0,704
1,265	-49	-0,704
1,278	-49	-0,705
1,291	-49,5	-0,706
1,305	-49,5	-0,707
1,325	-50	-0,708
1,343	-50,5	-0,708
1,357	-50,5	-0,709
1,37	-51	-0,71
1,384	-51	-0,71
1,397	-51,5	-0,711
1,41	-51,5	-0,712
1,422	-51,5	-0,713
1,438	-51,5	-0,713
1,457	-52,5	-0,714
1,474	-53	-0,715
1,492	-53	-0,716
1,515	-53	-0,717
1,53	-53,5	-0,718
1,543	-53,5	-0,719
1,557	-54	-0,719
1,573	-55	-0,72
1,586	-55	-0,721
1,598	-55,5	-0,721
1,611	-55,5	-0,722
1,63	-55,5	-0,723
1,644	-55,5	-0,724
1,657	-56	-0,724
1,669	-56	-0,725
1,681	-57	-0,725
1,694	-57	-0,726
1,706	-57	-0,726
1,718	-57	-0,727
1,73	-57,5	-0,728
1,744	-57,5	-0,729
1,761	-57,5	-0,729
1,773	-57,5	-0,73
1,786	-58,5	-0,73
1,798	-58,5	-0,731
1,81	-58,5	-0,732
1,822	-58,5	-0,732
1,834	-59	-0,733
1,846	-59	-0,734
1,858	-59	-0,734
1,873	-59	-0,735
1,885	-60	-0,736
1,899	-60	-0,736
1,917	-60,5	-0,737
1,931	-60,5	-0,738
1,946	-60,5	-0,739
1,959	-61	-0,739
1,975	-61	-0,74
1,988	-61,5	-0,741
2,003	-61,5	-0,742
2,016	-62	-0,742
2,032	-62	-0,743
2,047	-62	-0,744
2,061	-62,5	-0,745
2,078	-62,5	-0,746
2,1	-63	-0,746
2,113	-63	-0,747
2,125	-63	-0,748
2,14	-63,5	-0,748
2,153	-63,5	-0,749
2,167	-64	-0,75
2,181	-64	-0,75
2,193	-64,5	-0,751
2,208	-64,5	-0,752
2,228	-65	-0,753
2,241	-65	-0,754
2,257	-65	-0,754
2,278	-65,5	-0,756
2,299	-66,5	-0,756
2,316	-66,5	-0,757
2,329	-66,5	-0,758
2,346	-66,5	-0,758
2,361	-66,5	-0,759
2,375	-67	-0,76
2,387	-67	-0,761
2,404	-67,5	-0,762
2,423	-68	-0,762
2,439	-68	-0,763
2,451	-68,5	-0,764
2,47	-68,5	-0,765
2,485	-68,5	-0,766
2,502	-69,5	-0,767
2,523	-69,5	-0,768
2,54	-69,5	-0,768
2,554	-70	-0,769
2,567	-70	-0,77
2,583	-70,5	-0,771
2,605	-71	-0,772
