Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,853
0	-30	-0,854
0,013	-30,5	-0,854
0,027	-30,5	-0,855
0,042	-30,5	-0,856
0,061	-31	-0,856
0,073	-31	-0,857
0,091	-31,5	-0,858
0,107	-31,5	-0,859
0,122	-31,5	-0,86
0,135	-32	-0,86
0,149	-32	-0,861
0,167	-32,5	-0,862
0,182	-33	-0,862
0,195	-33	-0,864
0,215	-33,5	-0,864
0,234	-33,5	-0,865
0,246	-33,5	-0,866
0,259	-33,5	-0,866
0,276	-34	-0,867
0,291	-35	-0,868
0,303	-35	-0,868
0,315	-35	-0,869
0,327	-35	-0,87
0,339	-35,5	-0,87
0,352	-35,5	-0,871
0,365	-36	-0,872
0,381	-36	-0,873
0,4	-37	-0,874
0,414	-37,5	-0,874
0,427	-37,5	-0,875
0,439	-37,5	-0,876
0,452	-37,5	-0,876
0,464	-37,5	-0,877
0,477	-38	-0,877
0,489	-38	-0,878
0,501	-39	-0,879
0,514	-39	-0,879
0,527	-39,5	-0,88
0,54	-39,5	-0,88
0,552	-40	-0,881
0,564	-40	-0,882
0,578	-40,5	-0,882
0,59	-41,5	-0,884
0,612	-41,5	-0,884
0,631	-41,5	-0,885
0,644	-42	-0,886
0,656	-42	-0,886
0,668	-42	-0,887
0,681	-42,5	-0,887
0,694	-43	-0,888
0,71	-43	-0,889
0,729	-43,5	-0,89
0,744	-43,5	-0,891
0,756	-44	-0,892
0,779	-44	-0,892
0,795	-45	-0,894
0,815	-45	-0,894
0,831	-45,5	-0,895
0,843	-45,5	-0,896
0,862	-45,5	-0,896
0,877	-46,5	-0,897
0,889	-46,5	-0,898
0,906	-47	-0,899
0,923	-47	-0,9
0,941	-47,5	-0,901
0,959	-48	-0,902
0,973	-48	-0,902
0,989	-48,5	-0,903
1,01	-49,5	-0,904
1,023	-49,5	-0,905
1,036	-49,5	-0,905
1,049	-49,5	-0,906
1,066	-50	-0,907
1,083	-50,5	-0,908
1,102	-51,5	-0,909
1,119	-51,5	-0,91
1,132	-52	-0,91
1,146	-52	-0,911
1,166	-52,5	-0,912
1,18	-52,5	-0,913
1,201	-52,5	-0,914
1,215	-53,5	-0,914
1,226	-53,5	-0,915
1,241	-54	-0,916
1,26	-54,5	-0,917
1,28	-54,5	-0,918
1,295	-55	-0,918
1,312	-56	-0,919
1,33	-56	-0,92
1,35	-56,5	-0,921
1,368	-57	-0,922
1,384	-57	-0,923
1,399	-57	-0,924
1,412	-57	-0,924
1,424	-58	-0,925
1,437	-59	-0,926
1,455	-59	-0,926
1,47	-59,5	-0,927
1,487	-59,5	-0,928
1,509	-60	-0,929
1,524	-61,5	-0,93
1,539	-61,5	-0,931
1,555	-61,5	-0,931
1,569	-62	-0,932
1,582	-62	-0,933
1,595	-63	-0,934
1,614	-63	-0,934
1,629	-64	-0,935
1,641	-64	-0,936
1,654	-64,5	-0,936
1,671	-65	-0,937
1,689	-65	-0,938
1,705	-65,5	-0,939
1,722	-66,5	-0,94
1,739	-66,5	-0,94
1,755	-67	-0,941
1,774	-67,5	-0,942
1,792	-67,5	-0,943
1,809	-68	-0,944
1,829	-69	-0,945
1,846	-69,5	-0,946
1,862	-69,5	-0,947
1,879	-70	-0,947
1,891	-70	-0,948
1,913	-70,5	-0,949
1,93	-71,5	-0,95
1,947	-71,5	-0,951
1,964	-72,5	-0,952
1,984	-73	-0,953
2,001	-73	-0,954
2,021	-73	-0,955
2,037	-74,5	-0,956
2,056	-75	-0,956
2,072	-75	-0,958
2,095	-75,5	-0,959
2,117	-76	-0,959
2,131	-77	-0,96
2,144	-77	-0,961
2,16	-77,5	-0,962
2,176	-77,5	-0,962
2,196	-78,5	-0,964
2,212	-78,5	-0,964
2,224	-78,5	-0,965
