Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,925
0	-30	-0,926
0,021	-30	-0,927
0,034	-30	-0,928
0,046	-30	-0,928
0,059	-30	-0,929
0,072	-30	-0,93
0,089	-30,5	-0,93
0,104	-30,5	-0,931
0,117	-31	-0,932
0,138	-31	-0,933
0,155	-31,5	-0,934
0,176	-31,5	-0,935
0,19	-32,5	-0,936
0,206	-32,5	-0,936
0,22	-33	-0,937
0,238	-33	-0,938
0,259	-33	-0,939
0,273	-33	-0,94
0,292	-34,5	-0,941
0,308	-34,5	-0,941
0,32	-35	-0,942
0,335	-35	-0,943
0,351	-35,5	-0,944
0,367	-36	-0,944
0,386	-36	-0,945
0,399	-37	-0,946
0,416	-37	-0,947
0,437	-37	-0,948
0,453	-37,5	-0,949
0,469	-38	-0,95
0,487	-38	-0,951
0,512	-39	-0,951
0,526	-39	-0,952
0,547	-39,5	-0,953
0,564	-39,5	-0,954
0,58	-40	-0,955
0,594	-40	-0,956
0,613	-41,5	-0,957
0,638	-41,5	-0,958
0,658	-42	-0,959
0,673	-42,5	-0,96
0,694	-42,5	-0,96
0,71	-43,5	-0,961
0,726	-44	-0,962
0,741	-44	-0,963
0,762	-44	-0,964
0,78	-44,5	-0,965
0,799	-46	-0,966
0,816	-46	-0,966
0,828	-46,5	-0,967
0,84	-46,5	-0,968
0,853	-46,5	-0,968
0,866	-46,5	-0,969
0,885	-47,5	-0,97
0,905	-48,5	-0,972
0,925	-48,5	-0,972
0,944	-49	-0,973
0,958	-49,5	-0,974
0,977	-49,5	-0,975
0,993	-50	-0,976
1,009	-51	-0,976
1,028	-51,5	-0,977
1,045	-51,5	-0,978
1,068	-52	-0,979
1,086	-52,5	-0,98
1,108	-53,5	-0,981
1,126	-53,5	-0,982
1,143	-54	-0,983
1,163	-54,5	-0,984
1,182	-54,5	-0,985
1,196	-55	-0,986
1,211	-56,5	-0,986
1,225	-56,5	-0,987
1,24	-57	-0,988
1,256	-57	-0,989
1,281	-57	-0,99
1,295	-58	-0,99
1,31	-58	-0,991
1,326	-59,5	-0,992
1,342	-60	-0,993
1,36	-60	-0,994
1,374	-60,5	-0,995
1,392	-61	-0,996
1,409	-61	-0,996
1,427	-62,5	-0,998
1,444	-63	-0,998
1,459	-63	-0,999
1,477	-63,5	-1
1,493	-63,5	-1
1,508	-64,5	-1,002
1,528	-65,5	-1,002
1,543	-65,5	-1,003
1,558	-66,5	-1,004
1,574	-67	-1,004
1,59	-67	-1,005
1,606	-67,5	-1,006
1,622	-67,5	-1,007
1,636	-68,5	-1,008
1,653	-69	-1,008
1,673	-69,5	-1,009
1,689	-69,5	-1,01
1,704	-70	-1,011
1,721	-70	-1,012
1,737	-71,5	-1,012
1,753	-72	-1,014
1,77	-72	-1,014
1,791	-72,5	-1,015
1,807	-72,5	-1,016
1,824	-72,5	-1,017
1,838	-74	-1,018
1,853	-74,5	-1,018
1,865	-74,5	-1,019
1,884	-75,5	-1,02
1,9	-75,5	-1,021
1,913	-76	-1,021
1,927	-76	-1,022
1,942	-77	-1,023
1,96	-78	-1,024
1,98	-78	-1,025
1,996	-78	-1,026
2,011	-79	-1,026
2,027	-79	-1,027
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,925
0	-30	-0,926
0,021	-30	-0,927
0,034	-30	-0,928
0,046	-30	-0,928
0,059	-30	-0,929
0,072	-30	-0,93
0,089	-30,5	-0,93
0,104	-30,5	-0,931
0,117	-31	-0,932
0,138	-31	-0,933
0,155	-31,5	-0,934
0,176	-31,5	-0,935
0,19	-32,5	-0,936
0,206	-32,5	-0,936
0,22	-33	-0,937
0,238	-33	-0,938
0,259	-33	-0,939
0,273	-33	-0,94
0,292	-34,5	-0,941
0,308	-34,5	-0,941
0,32	-35	-0,942
0,335	-35	-0,943
0,351	-35,5	-0,944
0,367	-36	-0,944
0,386	-36	-0,945
0,399	-37	-0,946
0,416	-37	-0,947
0,437	-37	-0,948
0,453	-37,5	-0,949
0,469	-38	-0,95
0,487	-38	-0,951
0,512	-39	-0,951
0,526	-39	-0,952
0,547	-39,5	-0,953
0,564	-39,5	-0,954
0,58	-40	-0,955
0,594	-40	-0,956
0,613	-41,5	-0,957
0,638	-41,5	-0,958
0,658	-42	-0,959
0,673	-42,5	-0,96
0,694	-42,5	-0,96
0,71	-43,5	-0,961
0,726	-44	-0,962
0,741	-44	-0,963
0,762	-44	-0,964
0,78	-44,5	-0,965
0,799	-46	-0,966
0,816	-46	-0,966
0,828	-46,5	-0,967
0,84	-46,5	-0,968
0,853	-46,5	-0,968
0,866	-46,5	-0,969
0,885	-47,5	-0,97
0,905	-48,5	-0,972
0,925	-48,5	-0,972
0,944	-49	-0,973
0,958	-49,5	-0,974
0,977	-49,5	-0,975
0,993	-50	-0,976
1,009	-51	-0,976
1,028	-51,5	-0,977
1,045	-51,5	-0,978
1,068	-52	-0,979
1,086	-52,5	-0,98
1,108	-53,5	-0,981
1,126	-53,5	-0,982
1,143	-54	-0,983
1,163	-54,5	-0,984
1,182	-54,5	-0,985
1,196	-55	-0,986
