Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,514
0	-30	-0,514
0,017	-30	-0,515
0,03	-30	-0,516
0,043	-30,5	-0,517
0,065	-30,5	-0,518
0,079	-31	-0,519
0,097	-31	-0,52
0,117	-31	-0,521
0,135	-31	-0,521
0,148	-31,5	-0,522
0,16	-31,5	-0,523
0,175	-32	-0,524
0,192	-32	-0,524
0,206	-32,5	-0,525
0,218	-32,5	-0,526
0,236	-32,5	-0,527
0,255	-33	-0,528
0,275	-33,5	-0,528
0,295	-33,5	-0,529
0,307	-34	-0,53
0,322	-34	-0,531
0,339	-34,5	-0,532
0,354	-34,5	-0,532
0,367	-34,5	-0,533
0,381	-35,5	-0,534
0,395	-35,5	-0,534
0,41	-35,5	-0,535
0,424	-35,5	-0,536
0,436	-36	-0,536
0,448	-36,5	-0,537
0,467	-36,5	-0,538
0,483	-37,5	-0,538
0,498	-37,5	-0,539
0,511	-38	-0,54
0,528	-38,5	-0,541
0,547	-38,5	-0,542
0,562	-39	-0,542
0,574	-39	-0,543
0,588	-40	-0,544
0,6	-40	-0,544
0,614	-40,5	-0,545
0,632	-40,5	-0,546
0,646	-40,5	-0,547
0,658	-41,5	-0,547
0,671	-41,5	-0,548
0,684	-42,5	-0,549
0,7	-42,5	-0,55
0,717	-42,5	-0,55
0,734	-43,5	-0,551
0,749	-43,5	-0,552
0,764	-44	-0,553
0,778	-44	-0,554
0,795	-45	-0,554
0,818	-45,5	-0,555
0,835	-45,5	-0,556
0,849	-46,5	-0,557
0,861	-46,5	-0,557
0,873	-46,5	-0,558
0,89	-48	-0,559
0,903	-48	-0,559
0,917	-48,5	-0,56
0,93	-48,5	-0,561
0,942	-49	-0,562
0,962	-49	-0,562
0,975	-49,5	-0,563
0,987	-49,5	-0,564
0,999	-51	-0,564
1,018	-51	-0,566
1,048	-51,5	-0,567
1,061	-51,5	-0,568
1,084	-52,5	-0,569
1,103	-53,5	-0,57
1,125	-54	-0,571
1,14	-54	-0,571
1,152	-55	-0,572
1,164	-55	-0,573
1,183	-55,5	-0,574
1,197	-57	-0,574
1,209	-57	-0,575
1,23	-57,5	-0,576
1,242	-57,5	-0,576
1,258	-58	-0,577
1,273	-58,5	-0,578
1,291	-58,5	-0,579
1,307	-60	-0,58
1,337	-60,5	-0,582
1,361	-61	-0,582
1,379	-61,5	-0,583
1,393	-61,5	-0,584
1,406	-63	-0,584
1,418	-63	-0,585
1,43	-63	-0,586
1,447	-63	-0,586
1,46	-63	-0,587
1,474	-63	-0,588
1,487	-64,5	-0,588
1,5	-64,5	-0,589
1,518	-65,5	-0,59
1,538	-66	-0,591
1,552	-66	-0,592
1,568	-66,5	-0,593
1,581	-66,5	-0,593
1,595	-67,5	-0,594
1,615	-69	-0,595
1,631	-69,5	-0,596
1,651	-69,5	-0,597
1,67	-70	-0,598
1,684	-70,5	-0,598
1,697	-70,5	-0,599
1,714	-72	-0,6
1,732	-72,5	-0,601
1,746	-72,5	-0,602
1,759	-73	-0,602
1,773	-73	-0,603
1,793	-74	-0,604
1,81	-74	-0,605
1,822	-75,5	-0,606
1,838	-76	-0,606
1,851	-76	-0,607
1,863	-77	-0,607
1,876	-77	-0,608
1,89	-77,5	-0,609
1,91	-78,5	-0,61
1,928	-78,5	-0,611
1,944	-79,5	-0,612
