Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,405
0	-30	-0,406
0,018	-30	-0,406
0,034	-30,5	-0,408
0,063	-30,5	-0,409
0,082	-30,5	-0,41
0,099	-31	-0,41
0,114	-31,5	-0,411
0,128	-31,5	-0,412
0,149	-31,5	-0,413
0,164	-32	-0,414
0,176	-32	-0,414
0,188	-32,5	-0,415
0,201	-32,5	-0,416
0,223	-33	-0,417
0,243	-33,5	-0,418
0,258	-33,5	-0,418
0,27	-34	-0,419
0,284	-34	-0,42
0,298	-34	-0,421
0,316	-35	-0,421
0,33	-35	-0,422
0,349	-35	-0,423
0,368	-35,5	-0,424
0,382	-35,5	-0,425
0,406	-36	-0,426
0,419	-37	-0,426
0,434	-37	-0,427
0,448	-37,5	-0,428
0,466	-37,5	-0,429
0,478	-38	-0,429
0,49	-38	-0,43
0,504	-38,5	-0,431
0,53	-39	-0,432
0,551	-39,5	-0,433
0,565	-39,5	-0,434
0,58	-40	-0,434
0,592	-40	-0,435
0,606	-40	-0,436
0,619	-40	-0,436
0,632	-41	-0,437
0,648	-41,5	-0,438
0,664	-41,5	-0,439
0,679	-42	-0,439
0,693	-42	-0,44
0,706	-42	-0,441
0,72	-42	-0,442
0,737	-43	-0,442
0,749	-43	-0,443
0,761	-43,5	-0,444
0,777	-44	-0,444
0,79	-44	-0,445
0,807	-44,5	-0,446
0,82	-44,5	-0,446
0,834	-46	-0,447
0,852	-46	-0,448
0,87	-46,5	-0,449
0,884	-46,5	-0,45
0,899	-46,5	-0,45
0,916	-47,5	-0,451
0,931	-48,5	-0,452
0,947	-48,5	-0,453
0,961	-49	-0,453
0,973	-49	-0,454
0,985	-49,5	-0,455
1,01	-50	-0,456
1,026	-50	-0,457
1,039	-51,5	-0,457
1,052	-51,5	-0,458
1,065	-51,5	-0,458
1,078	-51,5	-0,459
1,094	-52,5	-0,46
1,109	-52,5	-0,461
1,121	-52,5	-0,461
1,134	-52,5	-0,462
1,147	-54	-0,463
1,166	-54,5	-0,464
1,181	-54,5	-0,464
1,194	-55	-0,465
1,21	-55	-0,466
1,222	-55,5	-0,466
1,234	-55,5	-0,467
1,248	-56,5	-0,468
1,262	-56,5	-0,468
1,276	-57,5	-0,469
1,291	-58	-0,47
1,303	-58	-0,47
1,32	-58,5	-0,471
1,332	-58,5	-0,472
1,347	-60	-0,473
1,361	-60	-0,474
1,38	-60,5	-0,474
1,394	-61	-0,475
1,408	-61	-0,476
1,428	-61,5	-0,477
1,443	-62,5	-0,478
1,46	-62,5	-0,478
1,479	-63	-0,479
1,491	-63	-0,48
1,506	-64	-0,481
1,526	-64,5	-0,482
1,54	-64,5	-0,482
1,554	-66	-0,483
1,568	-66	-0,484
1,585	-66,5	-0,484
1,597	-66,5	-0,485
1,609	-67	-0,486
1,621	-67	-0,486
1,635	-67,5	-0,487
1,649	-69	-0,488
1,67	-69,5	-0,489
1,69	-70	-0,49
1,714	-70	-0,491
1,727	-70,5	-0,492
1,743	-70,5	-0,492
1,759	-72	-0,493
1,773	-72	-0,494
1,786	-72,5	-0,494
1,798	-73	-0,495
1,815	-73	-0,496
1,827	-73	-0,497
1,844	-74	-0,497
1,858	-75,5	-0,498
1,871	-75,5	-0,499
1,885	-75,5	-0,5
1,9	-75,5	-0,5
1,913	-76,5	-0,501
1,932	-76,5	-0,502
1,947	-77	-0,502
1,959	-78	-0,503
1,972	-78	-0,504
1,993	-79	-0,505
2,013	-79,5	-0,506
2,031	-79,5	-0,507
