Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,804
0	-30	-0,805
0,017	-30	-0,806
0,03	-30	-0,807
0,047	-30,5	-0,808
0,068	-31	-0,809
0,086	-31	-0,81
0,107	-31	-0,81
0,125	-31,5	-0,811
0,139	-32	-0,812
0,152	-32	-0,813
0,166	-32	-0,814
0,182	-32	-0,814
0,196	-32	-0,815
0,21	-32	-0,816
0,225	-33	-0,816
0,238	-33	-0,817
0,251	-33	-0,818
0,265	-33,5	-0,818
0,279	-33,5	-0,819
0,295	-33,5	-0,82
0,315	-34	-0,821
0,334	-34	-0,822
0,348	-34	-0,822
0,364	-34	-0,823
0,379	-34,5	-0,824
0,393	-34,5	-0,825
0,405	-34,5	-0,826
0,422	-35	-0,826
0,434	-35	-0,827
0,447	-35	-0,827
0,46	-35	-0,828
0,478	-35	-0,829
0,491	-35	-0,83
0,504	-35	-0,83
0,521	-35	-0,831
0,536	-35,5	-0,832
0,548	-35,5	-0,832
0,56	-35,5	-0,833
0,575	-35,5	-0,834
0,59	-35,5	-0,834
0,602	-36	-0,835
0,614	-36	-0,836
0,627	-36,5	-0,836
0,639	-36,5	-0,837
0,656	-36,5	-0,838
0,669	-36,5	-0,839
0,688	-36,5	-0,839
0,701	-36,5	-0,84
0,715	-36,5	-0,841
0,736	-37,5	-0,842
0,748	-37,5	-0,842
0,763	-37,5	-0,843
0,777	-37,5	-0,844
0,796	-37,5	-0,845
0,809	-38	-0,846
0,821	-38	-0,846
0,833	-38,5	-0,847
0,845	-38,5	-0,848
0,866	-38,5	-0,849
0,886	-39	-0,85
0,901	-39	-0,85
0,915	-39	-0,851
0,933	-39,5	-0,852
0,946	-39,5	-0,852
0,958	-40	-0,853
0,97	-40	-0,854
0,987	-40	-0,854
0,999	-40	-0,855
1,011	-40	-0,856
1,026	-40	-0,856
1,04	-40,5	-0,857
1,06	-40,5	-0,858
1,076	-40,5	-0,859
1,089	-41	-0,86
1,107	-41	-0,86
1,124	-41	-0,861
1,137	-41	-0,862
1,15	-41,5	-0,862
1,164	-41,5	-0,863
1,176	-41,5	-0,864
1,189	-41,5	-0,864
1,204	-41,5	-0,865
1,219	-42	-0,866
1,235	-42	-0,867
1,249	-42,5	-0,868
1,269	-42,5	-0,869
1,286	-42,5	-0,869
1,299	-42,5	-0,87
1,312	-42,5	-0,871
1,328	-43	-0,872
1,344	-43,5	-0,873
1,365	-43,5	-0,874
1,388	-43,5	-0,874
1,403	-43,5	-0,875
1,416	-43,5	-0,876
1,429	-43,5	-0,876
1,444	-43,5	-0,877
1,457	-44	-0,878
1,469	-44	-0,878
1,482	-44	-0,88
1,503	-44	-0,88
1,521	-44,5	-0,881
1,54	-44,5	-0,882
1,557	-44,5	-0,883
1,576	-45	-0,884
1,592	-45	-0,884
1,606	-45	-0,885
1,618	-45	-0,886
1,631	-45	-0,886
1,643	-45	-0,887
1,659	-45,5	-0,888
1,673	-45,5	-0,889
1,688	-45,5	-0,889
1,7	-45,5	-0,89
1,714	-45,5	-0,891
1,729	-45,5	-0,892
1,746	-45,5	-0,892
1,764	-46	-0,893
1,778	-46	-0,894
1,792	-46	-0,894
1,804	-46,5	-0,895
1,821	-46,5	-0,896
1,842	-46,5	-0,897
1,861	-46,5	-0,898
1,876	-46,5	-0,899
1,888	-47	-0,9
1,902	-47	-0,9
1,919	-47	-0,901
1,936	-47,5	-0,902
1,956	-47,5	-0,903
1,974	-47,5	-0,904
1,992	-48	-0,905
2,01	-48	-0,906
2,027	-48	-0,906
2,044	-48	-0,907
2,058	-48	-0,908
2,072	-48	-0,909
2,085	-48	-0,909
2,098	-48	-0,91
2,111	-48	-0,91
2,125	-48	-0,911
2,137	-48,5	-0,912
2,149	-48,5	-0,912
2,164	-48,5	-0,913
2,178	-48,5	-0,914
2,195	-48,5	-0,915
2,213	-49	-0,916
2,229	-49	-0,917
2,251	-49	-0,918
2,267	-49	-0,918
2,281	-49	-0,919
2,297	-49	-0,92
2,31	-49	-0,92
2,323	-49	-0,921
2,339	-49,5	-0,922
2,359	-49,5	-0,923
2,382	-49,5	-0,924
2,396	-50	-0,925
2,409	-50	-0,925
2,421	-50	-0,926
2,432	-50	-0,927
2,45	-50	-0,928
2,463	-50	-0,928
2,478	-50	-0,929
2,491	-50	-0,93
2,504	-50,5	-0,93
2,523	-50,5	-0,931
2,537	-50,5	-0,932
2,55	-50,5	-0,932
