Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,441
0	-30	-0,441
0,012	-30,5	-0,442
0,029	-30,5	-0,443
0,045	-31	-0,444
0,058	-31	-0,444
0,071	-31	-0,445
0,083	-31	-0,446
0,105	-31,5	-0,446
0,117	-32	-0,447
0,136	-32	-0,448
0,148	-32	-0,449
0,162	-32,5	-0,449
0,175	-32,5	-0,45
0,188	-33	-0,451
0,202	-33	-0,452
0,222	-33	-0,453
0,242	-33,5	-0,454
0,264	-34	-0,454
0,28	-34	-0,456
0,299	-34,5	-0,456
0,317	-35	-0,457
0,331	-35	-0,458
0,349	-35	-0,459
0,369	-35,5	-0,46
0,39	-35,5	-0,461
0,408	-36,5	-0,462
0,421	-37	-0,462
0,433	-37	-0,464
0,458	-37,5	-0,464
0,472	-37,5	-0,465
0,485	-37,5	-0,466
0,505	-38,5	-0,467
0,521	-39	-0,467
0,534	-39	-0,469
0,558	-39	-0,47
0,58	-39,5	-0,47
0,597	-40,5	-0,471
0,61	-40,5	-0,472
0,627	-41	-0,473
0,657	-41	-0,474
0,673	-41	-0,475
0,687	-41,5	-0,476
0,701	-42,5	-0,476
0,714	-42,5	-0,477
0,728	-42,5	-0,478
0,753	-43	-0,479
0,774	-43,5	-0,48
0,796	-43,5	-0,481
0,812	-44	-0,482
0,824	-44	-0,482
0,837	-44,5	-0,483
0,85	-44,5	-0,484
0,865	-45	-0,484
0,877	-45,5	-0,486
0,897	-45,5	-0,486
0,912	-46	-0,487
0,927	-46,5	-0,488
0,956	-47	-0,49
0,973	-47	-0,49
0,986	-47,5	-0,491
0,998	-47,5	-0,492
1,013	-48	-0,492
1,027	-48	-0,493
1,04	-48,5	-0,494
1,062	-49	-0,495
1,078	-49	-0,496
1,096	-49,5	-0,496
1,111	-50,5	-0,497
1,125	-50,5	-0,498
1,137	-50,5	-0,498
1,154	-50,5	-0,499
1,166	-51	-0,5
1,178	-51	-0,5
1,192	-51,5	-0,501
1,21	-51,5	-0,502
1,227	-52,5	-0,503
1,241	-53	-0,503
1,256	-53	-0,504
1,269	-53	-0,505
1,289	-53,5	-0,506
1,313	-54,5	-0,507
1,334	-54,5	-0,508
1,35	-55	-0,509
1,363	-55	-0,509
1,376	-55,5	-0,51
1,388	-55,5	-0,511
1,405	-56	-0,512
1,423	-57	-0,512
1,436	-57	-0,513
1,453	-57	-0,514
1,469	-57,5	-0,515
1,485	-57,5	-0,516
1,497	-58	-0,516
1,509	-58	-0,517
1,525	-59	-0,518
1,537	-59	-0,518
1,549	-59,5	-0,519
1,562	-59,5	-0,52
1,575	-60	-0,52
1,589	-60	-0,521
1,604	-60,5	-0,522
1,623	-61,5	-0,523
1,651	-61,5	-0,524
1,67	-61,5	-0,525
1,684	-62	-0,526
1,705	-62,5	-0,526
1,719	-62,5	-0,527
1,734	-63	-0,528
1,747	-63,5	-0,529
1,764	-63,5	-0,53
1,785	-64	-0,531
1,807	-64	-0,532
1,824	-64,5	-0,533
1,845	-64,5	-0,534
1,86	-65	-0,534
1,876	-65	-0,535
1,889	-65,5	-0,536
1,904	-66	-0,537
1,926	-66	-0,538
1,939	-67	-0,538
1,951	-67	-0,539
1,97	-67,5	-0,54
1,991	-68	-0,541
2,004	-68	-0,542
2,025	-68,5	-0,543
2,049	-69,5	-0,544
2,063	-70	-0,544
2,076	-70	-0,545
2,091	-70,5	-0,546
2,11	-71	-0,547
2,129	-71	-0,548
2,146	-72	-0,549
2,158	-72	-0,549
2,177	-72,5	-0,551
2,2	-73	-0,552
2,219	-73,5	-0,553
2,241	-74,5	-0,554
2,259	-74,5	-0,554
2,275	-75,5	-0,555
2,289	-76	-0,556
2,305	-76	-0,557
2,325	-76,5	-0,558
2,34	-76,5	-0,558
