Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,576
0	-30	-0,577
0,018	-30	-0,578
0,032	-30	-0,578
0,044	-30	-0,579
0,058	-30	-0,58
0,071	-30,5	-0,581
0,089	-31	-0,582
0,102	-31	-0,582
0,118	-31	-0,583
0,13	-31	-0,584
0,142	-31	-0,584
0,161	-31	-0,585
0,173	-31,5	-0,586
0,189	-31,5	-0,586
0,207	-32	-0,588
0,224	-32	-0,588
0,239	-32	-0,589
0,255	-32,5	-0,59
0,272	-32,5	-0,591
0,287	-32,5	-0,592
0,3	-33	-0,592
0,312	-33	-0,593
0,324	-33,5	-0,593
0,335	-33,5	-0,594
0,348	-33,5	-0,595
0,363	-33,5	-0,595
0,377	-34	-0,596
0,399	-34,5	-0,597
0,412	-34,5	-0,598
0,427	-35	-0,598
0,442	-35	-0,599
0,456	-35	-0,6
0,468	-35	-0,6
0,481	-35	-0,601
0,493	-35	-0,602
0,505	-36	-0,602
0,517	-36	-0,603
0,529	-36,5	-0,603
0,541	-36,5	-0,604
0,559	-36,5	-0,605
0,573	-36,5	-0,606
0,594	-37	-0,607
0,61	-37,5	-0,608
0,628	-37,5	-0,609
0,646	-37,5	-0,61
0,665	-38	-0,61
0,679	-38,5	-0,611
0,693	-38,5	-0,612
0,709	-39	-0,613
0,734	-39	-0,614
0,75	-39	-0,614
0,762	-39,5	-0,615
0,776	-39,5	-0,616
0,795	-40	-0,617
0,81	-40,5	-0,618
0,823	-40,5	-0,618
0,838	-41	-0,619
0,852	-41	-0,62
0,864	-41,5	-0,62
0,881	-41,5	-0,621
0,893	-41,5	-0,622
0,909	-42,5	-0,623
0,924	-42,5	-0,623
0,939	-42,5	-0,624
0,953	-42,5	-0,625
0,973	-43	-0,626
0,99	-43,5	-0,627
1,006	-43,5	-0,628
1,023	-44	-0,628
1,042	-44	-0,629
1,056	-44	-0,63
1,072	-44,5	-0,63
1,084	-44,5	-0,631
1,096	-45	-0,632
1,121	-45,5	-0,633
1,134	-45,5	-0,634
1,147	-46	-0,634
1,161	-46	-0,635
1,174	-46,5	-0,636
1,187	-46,5	-0,636
1,2	-46,5	-0,637
1,218	-47,5	-0,638
1,233	-47,5	-0,638
1,247	-48	-0,639
1,263	-48	-0,64
1,283	-48	-0,641
1,301	-48,5	-0,642
1,315	-48,5	-0,643
1,327	-49,5	-0,644
1,343	-50	-0,644
1,355	-50	-0,645
1,367	-50	-0,646
1,381	-50,5	-0,646
1,396	-50,5	-0,647
1,41	-50,5	-0,648
1,425	-51,5	-0,648
1,441	-51,5	-0,649
1,453	-51,5	-0,65
1,466	-51,5	-0,65
1,478	-52	-0,651
1,49	-52	-0,652
1,507	-52,5	-0,652
1,52	-52,5	-0,653
1,532	-53,5	-0,654
1,546	-53,5	-0,655
1,567	-53,5	-0,655
1,582	-54	-0,656
1,594	-54	-0,656
1,606	-54,5	-0,657
1,618	-54,5	-0,658
1,631	-55,5	-0,659
1,648	-55,5	-0,659
1,66	-55,5	-0,66
1,674	-55,5	-0,66
1,688	-56	-0,661
1,705	-56,5	-0,662
1,721	-56,5	-0,663
1,738	-57	-0,664
1,754	-57,5	-0,665
1,768	-57,5	-0,665
1,781	-58	-0,666
1,798	-58	-0,667
1,815	-58	-0,668
1,827	-58	-0,668
1,839	-59	-0,669
1,851	-59	-0,67
1,865	-59,5	-0,67
1,878	-59,5	-0,671
1,891	-59,5	-0,671
1,903	-59,5	-0,672
1,915	-60	-0,673
1,928	-60	-0,673
1,943	-61	-0,674
1,955	-61	-0,675
1,973	-61	-0,676
1,987	-61,5	-0,677
2,009	-61,5	-0,677
2,021	-62	-0,678
2,034	-62	-0,679
2,045	-63	-0,679
2,06	-63	-0,68
2,077	-63	-0,681
2,09	-63,5	-0,682
2,105	-63,5	-0,682
2,121	-64	-0,683
2,142	-65	-0,684
2,158	-65	-0,685
2,174	-65	-0,686
2,187	-65	-0,686
2,201	-65,5	-0,687
2,224	-66	-0,688
2,236	-66	-0,688
2,252	-66,5	-0,69
2,268	-67	-0,69
2,284	-67	-0,691
2,305	-67,5	-0,692
2,325	-68	-0,693
2,339	-68	-0,694
2,353	-69	-0,694
2,368	-69	-0,695
2,38	-69	-0,696
2,393	-69	-0,696
2,407	-69,5	-0,697
2,424	-70	-0,698
2,437	-70	-0,699
2,454	-70,5	-0,7
2,468	-70,5	-0,7
2,48	-71,5	-0,701
2,494	-71,5	-0,702
2,506	-71,5	-0,702
2,519	-71,5	-0,703
2,533	-71,5	-0,704
2,546	-73	-0,704
2,563	-73	-0,705
2,575	-73	-0,706
2,588	-73	-0,706
2,605	-73,5	-0,707
2,622	-73,5	-0,708
2,637	-74	-0,709
2,653	-75	-0,71
2,669	-75	-0,71
2,685	-75,5	-0,711
2,701	-75,5	-0,712
2,716	-75,5	-0,713
2,733	-76	-0,714
2,752	-76	-0,714
2,769	-77	-0,715
2,782	-77	-0,716
2,794	-77	-0,717
2,812	-77,5	-0,717
2,824	-77,5	-0,718
2,838	-78	-0,719
2,854	-78	-0,719
2,867	-79	-0,72
2,881	-79	-0,721
2,896	-79,5	-0,722
2,909	-79,5	-0,722
2,922	-79,5	-0,723
2,934	-79,5	-0,724
