Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,366
0	-30	-0,366
0,013	-30	-0,367
0,035	-30	-0,368
0,049	-30	-0,369
0,069	-30,5	-0,37
0,083	-30,5	-0,371
0,102	-30,5	-0,371
0,115	-30,5	-0,372
0,129	-30,5	-0,373
0,144	-31	-0,374
0,158	-31	-0,374
0,179	-31	-0,375
0,195	-31,5	-0,376
0,208	-31,5	-0,377
0,229	-31,5	-0,378
0,248	-31,5	-0,379
0,273	-32	-0,38
0,289	-32	-0,381
0,304	-32	-0,381
0,317	-32,5	-0,382
0,336	-32,5	-0,383
0,355	-33	-0,384
0,368	-33	-0,385
0,392	-33,5	-0,386
0,407	-33,5	-0,387
0,424	-34	-0,388
0,442	-34	-0,388
0,459	-34	-0,389
0,478	-34,5	-0,39
0,499	-35	-0,392
0,524	-35	-0,392
0,541	-35	-0,394
0,563	-35	-0,395
0,594	-35,5	-0,396
0,614	-36	-0,397
0,633	-36,5	-0,398
0,649	-36,5	-0,399
0,669	-36,5	-0,4
0,688	-37,5	-0,401
0,707	-37,5	-0,402
0,726	-37,5	-0,403
0,743	-37,5	-0,404
0,766	-38	-0,404
0,781	-38,5	-0,405
0,794	-38,5	-0,406
0,805	-38,5	-0,407
0,824	-39	-0,408
0,843	-39	-0,408
0,861	-39	-0,41
0,883	-40	-0,41
0,896	-40	-0,411
0,918	-40	-0,412
0,94	-40	-0,413
0,957	-40	-0,414
0,971	-40,5	-0,415
0,985	-41,5	-0,416
1	-41,5	-0,416
1,019	-41,5	-0,417
1,035	-42	-0,418
1,05	-42	-0,419
1,063	-42	-0,419
1,076	-42	-0,42
1,095	-43	-0,421
1,112	-43,5	-0,422
1,129	-43,5	-0,423
1,144	-43,5	-0,423
1,158	-43,5	-0,424
1,173	-44	-0,425
1,185	-45	-0,426
1,205	-45	-0,426
1,22	-45	-0,427
1,237	-45	-0,428
1,251	-45,5	-0,429
1,263	-45,5	-0,43
1,282	-46	-0,431
1,304	-47	-0,432
1,322	-47,5	-0,432
1,336	-47,5	-0,433
1,353	-47,5	-0,434
1,369	-48	-0,435
1,391	-48	-0,436
1,407	-48,5	-0,436
1,421	-49	-0,437
1,433	-49	-0,438
1,449	-49	-0,438
1,462	-49	-0,439
1,48	-49,5	-0,44
1,496	-50,5	-0,441
1,519	-50,5	-0,442
1,537	-50,5	-0,443
1,553	-51	-0,444
1,573	-51,5	-0,445
1,592	-51,5	-0,446
1,611	-52	-0,446
1,624	-52,5	-0,448
1,645	-52,5	-0,449
1,668	-52,5	-0,45
1,685	-53	-0,45
1,705	-54	-0,452
1,723	-54	-0,452
1,736	-54,5	-0,453
1,749	-54,5	-0,454
1,763	-54,5	-0,454
1,783	-55	-0,456
1,8	-55	-0,456
1,815	-56	-0,457
1,837	-56,5	-0,458
1,854	-57	-0,459
1,87	-57	-0,46
1,894	-57	-0,461
1,909	-58	-0,462
1,924	-58	-0,462
1,94	-58	-0,463
1,954	-58	-0,464
1,973	-58,5	-0,465
1,989	-59	-0,465
2,003	-59	-0,466
2,018	-60	-0,467
2,037	-60	-0,468
2,054	-60	-0,469
2,069	-60,5	-0,47
2,087	-61	-0,47
2,104	-61	-0,471
2,118	-61,5	-0,472
2,137	-62	-0,473
2,156	-62	-0,474
2,175	-62,5	-0,475
2,19	-63	-0,476
2,211	-64	-0,477
2,227	-64	-0,478
2,244	-64	-0,478
2,257	-64	-0,479
2,279	-64,5	-0,48
2,294	-65	-0,481
2,307	-65	-0,482
2,32	-66	-0,483
2,343	-66,5	-0,483
2,357	-66,5	-0,484
2,37	-66,5	-0,485
2,388	-66,5	-0,486
2,408	-67	-0,487
2,424	-68	-0,487
2,437	-68	-0,488
2,458	-68,5	-0,489
2,474	-69	-0,49
2,489	-69	-0,49
2,506	-69	-0,492
2,53	-70	-0,493
2,549	-70,5	-0,494
2,564	-70,5	-0,494
2,579	-71	-0,495
2,592	-71	-0,496
2,606	-71	-0,496
2,62	-71	-0,497
2,638	-72	-0,498
2,649	-72,5	-0,498
2,663	-72,5	-0,499
2,678	-73	-0,5
2,694	-73	-0,501
2,708	-73	-0,501
2,722	-73	-0,502
2,737	-74,5	-0,503
2,75	-74,5	-0,504
2,768	-75	-0,505
2,79	-75	-0,505
2,804	-75,5	-0,506
2,821	-75,5	-0,507
2,845	-76,5	-0,508
2,859	-77	-0,509
2,871	-77	-0,51
2,886	-77	-0,511
2,905	-77,5	-0,511
2,925	-77,5	-0,512
2,942	-78,5	-0,513
2,959	-79	-0,514
2,972	-79	-0,515
2,996	-79,5	-0,516
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,366
0	-30	-0,366
0,013	-30	-0,367
0,035	-30	-0,368
0,049	-30	-0,369
0,069	-30,5	-0,37
0,083	-30,5	-0,371
0,102	-30,5	-0,371
0,115	-30,5	-0,372
0,129	-30,5	-0,373
0,144	-31	-0,374
0,158	-31	-0,374
0,179	-31	-0,375
0,195	-31,5	-0,376
0,208	-31,5	-0,377
0,229	-31,5	-0,378
0,248	-31,5	-0,379
0,273	-32	-0,38
0,289	-32	-0,381
0,304	-32	-0,381
0,317	-32,5	-0,382
0,336	-32,5	-0,383
0,355	-33	-0,384
0,368	-33	-0,385
0,392	-33,5	-0,386
0,407	-33,5	-0,387
0,424	-34	-0,388
0,442	-34	-0,388
0,459	-34	-0,389
0,478	-34,5	-0,39
0,499	-35	-0,392
0,524	-35	-0,392
0,541	-35	-0,394
0,563	-35	-0,395
0,594	-35,5	-0,396
0,614	-36	-0,397
0,633	-36,5	-0,398
0,649	-36,5	-0,399
0,669	-36,5	-0,4
0,688	-37,5	-0,401
0,707	-37,5	-0,402
0,726	-37,5	-0,403
0,743	-37,5	-0,404
0,766	-38	-0,404
0,781	-38,5	-0,405
0,794	-38,5	-0,406
0,805	-38,5	-0,407
0,824	-39	-0,408
0,843	-39	-0,408
0,861	-39	-0,41
0,883	-40	-0,41
0,896	-40	-0,411
0,918	-40	-0,412
0,94	-40	-0,413
0,957	-40	-0,414
0,971	-40,5	-0,415
0,985	-41,5	-0,416
1	-41,5	-0,416
1,019	-41,5	-0,417
1,035	-42	-0,418
1,05	-42	-0,419
1,063	-42	-0,419
1,076	-42	-0,42
1,095	-43	-0,421
1,112	-43,5	-0,422
1,129	-43,5	-0,423
1,144	-43,5	-0,423
1,158	-43,5	-0,424
1,173	-44	-0,425
1,185	-45	-0,426
1,205	-45	-0,426
1,22	-45	-0,427
1,237	-45	-0,428
1,251	-45,5	-0,429
1,263	-45,5	-0,43
1,282	-46	-0,431
1,304	-47	-0,432
1,322	-47,5	-0,432
1,336	-47,5	-0,433
1,353	-47,5	-0,434
1,369	-48	-0,435
1,391	-48	-0,436
1,407	-48,5	-0,436
1,421	-49	-0,437
1,433	-49	-0,438
1,449	-49	-0,438
1,462	-49	-0,439
1,48	-49,5	-0,44
1,496	-50,5	-0,441
1,519	-50,5	-0,442
1,537	-50,5	-0,443
1,553	-51	-0,444
1,573	-51,5	-0,445
1,592	-51,5	-0,446
1,611	-52	-0,446
1,624	-52,5	-0,448
1,645	-52,5	-0,449
1,668	-52,5	-0,45
1,685	-53	-0,45
1,705	-54	-0,452
1,723	-54	-0,452
1,736	-54,5	-0,453
1,749	-54,5	-0,454
1,763	-54,5	-0,454
1,783	-55	-0,456
1,8	-55	-0,456
1,815	-56	-0,457
1,837	-56,5	-0,458
1,854	-57	-0,459
1,87	-57	-0,46
1,894	-57	-0,461
1,909	-58	-0,462
1,924	-58	-0,462
1,94	-58	-0,463
1,954	-58	-0,464
1,973	-58,5	-0,465
1,989	-59	-0,465
2,003	-59	-0,466
2,018	-60	-0,467
2,037	-60	-0,468
2,054	-60	-0,469
2,069	-60,5	-0,47
2,087	-61	-0,47
2,104	-61	-0,471
2,118	-61,5	-0,472
2,137	-62	-0,473
2,156	-62	-0,474
2,175	-62,5	-0,475
2,19	-63	-0,476
2,211	-64	-0,477
2,227	-64	-0,478
2,244	-64	-0,478
2,257	-64	-0,479
2,279	-64,5	-0,48
2,294	-65	-0,481
2,307	-65	-0,482
2,32	-66	-0,483
2,343	-66,5	-0,483
2,357	-66,5	-0,484
2,37	-66,5	-0,485
2,388	-66,5	-0,486
2,408	-67	-0,487
2,424	-68	-0,487
2,437	-68	-0,488
2,458	-68,5	-0,489
2,474	-69	-0,49
2,489	-69	-0,49
2,506	-69	-0,492
2,53	-70	-0,493
2,549	-70,5	-0,494
2,564	-70,5	-0,494
2,579	-71	-0,495
2,592	-71	-0,496
2,606	-71	-0,496
2,62	-71	-0,497
2,638	-72	-0,498
2,649	-72,5	-0,498
2,663	-72,5	-0,499
2,678	-73	-0,5
2,694	-73	-0,501
2,708	-73	-0,501
2,722	-73	-0,502
2,737	-74,5	-0,503
2,75	-74,5	-0,504
2,768	-75	-0,505
2,79	-75	-0,505
2,804	-75,5	-0,506
2,821	-75,5	-0,507
2,845	-76,5	-0,508
2,859	-77	-0,509
2,871	-77	-0,51
2,886	-77	-0,511
2,905	-77,5	-0,511
2,925	-77,5	-0,512
2,942	-78,5	-0,513
2,959	-79	-0,514
2,972	-79	-0,515
2,996	-79,5	-0,516
