Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,477
0	-30	-0,478
0,014	-30	-0,478
0,03	-30	-0,479
0,046	-31	-0,48
0,066	-31,5	-0,481
0,081	-31,5	-0,482
0,099	-32	-0,483
0,112	-32,5	-0,483
0,126	-32,5	-0,484
0,15	-33	-0,485
0,162	-34	-0,486
0,179	-34	-0,487
0,194	-34,5	-0,488
0,215	-35	-0,489
0,231	-35	-0,49
0,247	-35,5	-0,49
0,266	-36,5	-0,491
0,278	-36,5	-0,492
0,292	-37	-0,493
0,311	-37	-0,494
0,33	-37,5	-0,494
0,346	-38	-0,495
0,359	-38	-0,496
0,375	-39	-0,497
0,392	-39	-0,498
0,406	-39	-0,498
0,419	-39,5	-0,499
0,435	-39,5	-0,5
0,461	-40	-0,501
0,478	-41	-0,502
0,493	-41	-0,502
0,508	-41	-0,503
0,521	-41,5	-0,504
0,541	-41,5	-0,505
0,556	-42	-0,506
0,571	-42,5	-0,507
0,598	-43	-0,508
0,617	-43	-0,509
0,632	-43,5	-0,509
0,645	-43,5	-0,51
0,659	-44	-0,511
0,674	-45	-0,511
0,692	-45	-0,512
0,709	-45	-0,513
0,725	-45,5	-0,514
0,747	-45,5	-0,515
0,763	-46	-0,516
0,775	-47	-0,517
0,791	-47	-0,518
0,809	-47,5	-0,518
0,825	-48	-0,52
0,847	-48	-0,52
0,863	-48,5	-0,521
0,881	-49,5	-0,522
0,899	-49,5	-0,523
0,914	-50	-0,524
0,93	-50,5	-0,525
0,952	-50,5	-0,526
0,967	-51	-0,526
0,987	-52	-0,527
1,004	-52,5	-0,528
1,021	-52,5	-0,529
1,035	-53	-0,53
1,052	-53	-0,53
1,07	-53	-0,531
1,087	-54	-0,532
1,103	-54	-0,533
1,122	-54,5	-0,534
1,138	-55	-0,535
1,156	-55	-0,536
1,175	-55,5	-0,536
1,19	-56,5	-0,537
1,205	-56,5	-0,538
1,224	-57	-0,539
1,237	-57,5	-0,54
1,253	-57,5	-0,54
1,27	-58	-0,541
1,284	-58	-0,542
1,302	-59,5	-0,543
1,318	-59,5	-0,544
1,336	-59,5	-0,545
1,354	-60,5	-0,546
1,37	-60,5	-0,546
1,387	-60,5	-0,547
1,406	-60,5	-0,548
1,42	-62	-0,549
1,436	-62	-0,55
1,452	-62,5	-0,551
1,471	-63	-0,552
1,492	-63	-0,552
1,509	-64	-0,554
1,531	-64,5	-0,554
1,544	-65	-0,555
1,56	-65	-0,556
1,577	-65,5	-0,557
1,592	-65,5	-0,558
1,612	-66,5	-0,558
1,629	-67	-0,559
1,648	-67	-0,56
1,667	-67	-0,561
1,682	-67,5	-0,562
1,697	-67,5	-0,562
1,711	-68,5	-0,564
1,73	-69	-0,564
1,742	-69	-0,565
1,755	-69,5	-0,566
1,769	-69,5	-0,566
1,787	-70	-0,567
1,804	-70,5	-0,568
1,817	-70,5	-0,569
1,84	-71,5	-0,57
1,857	-72	-0,571
1,873	-72	-0,572
1,889	-72	-0,572
1,907	-73	-0,573
1,923	-73	-0,574
1,939	-73,5	-0,575
1,953	-74	-0,576
1,972	-74	-0,577
1,989	-74,5	-0,578
2,006	-75,5	-0,578
2,023	-75,5	-0,579
2,041	-76	-0,58
2,056	-76	-0,581
2,071	-76,5	-0,582
2,087	-77	-0,582
2,104	-77	-0,583
2,12	-78	-0,584
2,142	-78	-0,585
2,165	-78,5	-0,586
2,182	-78,5	-0,587
2,197	-79	-0,588
